day,asset,close,volume
2017-02-05,komodo,0.110987,22486.5
2017-02-06,komodo,0.159718,236727
2017-02-07,komodo,0.149072,141788
2017-02-08,komodo,0.141392,62766.69921875
2017-02-09,komodo,0.120351,56820.8984375
2017-02-10,komodo,0.109228,75267
2017-02-11,komodo,0.116169,43869.1015625
2017-02-12,komodo,0.116802,38080.8984375
2017-02-13,komodo,0.127777,165505
2017-02-14,komodo,0.119972,102272
2017-02-15,komodo,0.118915,56768.6015625
2017-02-16,komodo,0.1193,53164.3984375
2017-02-17,komodo,0.111069,69614.1015625
2017-02-18,komodo,0.115351,84479.8984375
2017-02-19,komodo,0.118835,46355.8984375
2017-02-20,komodo,0.116306,34053.80078125
2017-02-21,komodo,0.103864,107788
2017-02-22,komodo,0.104522,20111.900390625
2017-02-23,komodo,0.112626,144899
2017-02-24,komodo,0.110815,50325
2017-02-25,komodo,0.109108,15702.900390625
2017-02-26,komodo,0.104956,8765.1298828125
2017-02-27,komodo,0.105117,13808.2998046875
2017-02-28,komodo,0.0969775,63644.1015625
2017-03-01,komodo,0.0970982,101609
2017-03-02,komodo,0.0968726,57553.69921875
2017-03-03,komodo,0.087649,65175.19921875
2017-03-04,komodo,0.0880569,24346.599609375
2017-03-05,komodo,0.091104,20605.400390625
2017-03-06,komodo,0.102734,23278.30078125
2017-03-07,komodo,0.0870097,32391.099609375
2017-03-08,komodo,0.0816254,18934.5
2017-03-09,komodo,0.0872621,14565.099609375
2017-03-10,komodo,0.0783396,46427.69921875
2017-03-11,komodo,0.0824403,26417.900390625
2017-03-12,komodo,0.0857417,62661.30078125
2017-03-13,komodo,0.0370672,564.552001953125
2017-03-14,komodo,0.00930936,9521.8701171875
2017-03-15,komodo,0.0614456,14990.7998046875
2017-03-16,komodo,0.0983792,38713
2017-03-17,komodo,0.0991462,23989.900390625
2017-03-18,komodo,0.0856114,22237.099609375
2017-03-19,komodo,0.0813713,22686.69921875
2017-03-20,komodo,0.0879774,67626.296875
2017-03-21,komodo,0.089962,47751.19921875
2017-03-22,komodo,0.0886096,40015.8984375
2017-03-23,komodo,0.093382,27133.900390625
2017-03-24,komodo,0.0868108,30822.5
2017-03-25,komodo,0.0917523,16036.2001953125
2017-03-26,komodo,0.106602,46156.80078125
2017-03-27,komodo,0.13374,182978
2017-03-28,komodo,0.171518,387683
2017-03-29,komodo,0.150957,223124
2017-03-30,komodo,0.15724,211277
2017-03-31,komodo,0.17223,78458.703125
2017-04-01,komodo,0.183477,83611.5
2017-04-02,komodo,0.177399,156261
