day,asset,close,volume
2016-09-09,neo,0.558478,1348.8599853515625
2016-09-10,neo,0.391001,810.7979736328125
2016-09-11,neo,0.37615,878.7009887695312
2016-09-12,neo,0.374598,1115.8399658203125
2016-09-13,neo,0.309509,3336.909912109375
2016-09-14,neo,0.325127,4129.14013671875
2016-09-15,neo,0.349832,1981.6300048828125
2016-09-16,neo,0.388858,15105.2001953125
2016-09-17,neo,0.426568,21060.19921875
2016-09-18,neo,0.384916,105159
2016-09-19,neo,0.331296,1447.93994140625
2016-09-20,neo,0.312621,1171.1400146484375
2016-09-21,neo,0.303794,155.9429931640625
2016-09-22,neo,0.252723,54002.30078125
2016-09-23,neo,0.243237,16845.19921875
2016-09-24,neo,0.213843,21739.69921875
2016-09-25,neo,0.198994,3074.8798828125
2016-09-26,neo,0.202491,9656.51953125
2016-09-27,neo,0.197913,19805.80078125
2016-09-28,neo,0.194798,6353.64013671875
2016-09-29,neo,0.191738,11050.400390625
2016-09-30,neo,0.184939,2031.56005859375
2016-10-01,neo,0.202293,2747.89990234375
2016-10-02,neo,0.177279,4177.64990234375
2016-10-03,neo,0.178713,913.1380004882812
2016-10-04,neo,0.185843,505.9800109863281
2016-10-05,neo,0.289392,1864.1600341796875
2016-10-06,neo,0.180059,2611.97998046875
2016-10-07,neo,0.20284,5784.5
2016-10-08,neo,0.205229,31829.69921875
2016-10-09,neo,0.186541,30052.099609375
2016-10-10,neo,0.193108,11203.7998046875
2016-10-11,neo,0.193575,5948.64990234375
2016-10-12,neo,0.186052,12201.400390625
2016-10-13,neo,0.185407,1317.9100341796875
2016-10-14,neo,0.191014,2334.52001953125
2016-10-15,neo,0.179885,595.9769897460938
2016-10-16,neo,0.175901,16019
2016-10-17,neo,0.192747,12988.7001953125
2016-10-18,neo,0.19744,406917
2016-10-19,neo,0.117084,228476
2016-10-20,neo,0.0926821,286750
2016-10-21,neo,0.0801805,269793
2016-10-22,neo,0.0814843,293121
2016-10-23,neo,0.0827265,107073
2016-10-24,neo,0.0937622,522611
2016-10-25,neo,0.135712,365986
2016-10-26,neo,0.129615,494772
2016-10-27,neo,0.127426,169528
2016-10-28,neo,0.151552,545958
2016-10-29,neo,0.170166,714101
2016-10-30,neo,0.181026,377793
2016-10-31,neo,0.228251,917488
2016-11-01,neo,0.211322,411699
2016-11-02,neo,0.197941,242163
2016-11-03,neo,0.173534,265799
2016-11-04,neo,0.175917,123337
2016-11-05,neo,0.160797,165265
2016-11-06,neo,0.164002,52678.8984375
2016-11-07,neo,0.173087,264007
2016-11-08,neo,0.161594,64486.6015625
2016-11-09,neo,0.159859,51100.5
2016-11-10,neo,0.168272,226859
2016-11-11,neo,0.176226,92296.203125
2016-11-12,neo,0.168695,38920
2016-11-13,neo,0.169917,47661
2016-11-14,neo,0.183786,161342
2016-11-15,neo,0.173875,58216.8984375
2016-11-16,neo,0.162529,52766.5
2016-11-17,neo,0.17328,115600
2016-11-18,neo,0.172177,170258
2016-11-19,neo,0.169928,20977.30078125
2016-11-20,neo,0.170999,6887.83984375
2016-11-21,neo,0.173476,13976.7001953125
2016-11-22,neo,0.168892,30457.099609375
2016-11-23,neo,0.167085,18865.5
2016-11-24,neo,0.171955,252878
2016-11-25,neo,0.174514,148809
2016-11-26,neo,0.174141,53456.1015625
2016-11-27,neo,0.17305,34618.1015625
2016-11-28,neo,0.167994,92873.203125
2016-11-29,neo,0.149953,121979
2016-11-30,neo,0.144636,63418.19921875
2016-12-01,neo,0.140114,62768.8984375
2016-12-02,neo,0.141991,69741.6015625
2016-12-03,neo,0.142444,121437
2016-12-04,neo,0.14717,109462
2016-12-05,neo,0.141459,71656.1015625
2016-12-06,neo,0.136097,54376.3984375
2016-12-07,neo,0.13745,51152.3984375
2016-12-08,neo,0.134429,31065
2016-12-09,neo,0.13007,54783.1015625
2016-12-10,neo,0.125328,37026.5
2016-12-11,neo,0.122134,41966.6015625
2016-12-12,neo,0.129977,57019.19921875
2016-12-13,neo,0.127959,30845.099609375
2016-12-14,neo,0.121008,50947.69921875
2016-12-15,neo,0.109837,38085.80078125
2016-12-16,neo,0.114432,49515.30078125
2016-12-17,neo,0.105842,62650.1015625
2016-12-18,neo,0.11526,37745.5
2016-12-19,neo,0.121387,55325.80078125
2016-12-20,neo,0.120868,73913.296875
2016-12-21,neo,0.167117,635204
2016-12-22,neo,0.155065,544880
2016-12-23,neo,0.137593,187645
2016-12-24,neo,0.146916,132934
2016-12-25,neo,0.146788,239670
2016-12-26,neo,0.166597,579250
2016-12-27,neo,0.158032,265268
2016-12-28,neo,0.150689,118030
2016-12-29,neo,0.14095,100992
2016-12-30,neo,0.147527,69464.203125
2016-12-31,neo,0.144763,60999.8984375
2017-01-01,neo,0.141841,63512.19921875
2017-01-02,neo,0.145642,75921.1015625
2017-01-03,neo,0.140422,90544
2017-01-04,neo,0.136734,94044.5
2017-01-05,neo,0.13107,206224
2017-01-06,neo,0.135472,54666.3984375
2017-01-07,neo,0.131104,53817.80078125
2017-01-08,neo,0.132609,69033.3984375
2017-01-09,neo,0.123767,90000.296875
2017-01-10,neo,0.133864,126915
2017-01-11,neo,0.115138,120522
2017-01-12,neo,0.124122,59945.30078125
2017-01-13,neo,0.121321,50364.69921875
2017-01-14,neo,0.122939,9261.51953125
2017-01-15,neo,0.123732,6953.740234375
2017-01-16,neo,0.119649,5111.72998046875
