day,asset,close,volume
2016-12-13,nexium,0.0127222,38.552101135253906
2016-12-14,nexium,0.0182094,82.31999969482422
2016-12-15,nexium,0.0189346,359.7569885253906
2016-12-16,nexium,0.0191009,362.9169921875
2016-12-19,nexium,0.0261576,11250.599609375
2016-12-20,nexium,0.0130629,200546
2016-12-21,nexium,0.0136071,77157.6015625
2016-12-22,nexium,0.0128652,35632.30078125
2016-12-23,nexium,0.0111773,30609.80078125
2016-12-24,nexium,0.0111052,7922.2001953125
2016-12-25,nexium,0.0143384,15194.400390625
2016-12-26,nexium,0.0135234,6329.77978515625
2016-12-27,nexium,0.0114581,8903.2900390625
2016-12-28,nexium,0.0108588,11255.2001953125
2016-12-29,nexium,0.0122271,21338.400390625
2016-12-30,nexium,0.0129479,20182.30078125
2016-12-31,nexium,0.0157186,29922.900390625
2017-01-01,nexium,0.0137769,13886.400390625
2017-01-02,nexium,0.0148052,14290.599609375
2017-01-03,nexium,0.0162213,8793
2017-01-04,nexium,0.0144803,26681
2017-01-05,nexium,0.0126571,20871.599609375
2017-01-06,nexium,0.0121256,6910.3701171875
2017-01-07,nexium,0.0136922,20818.099609375
2017-01-08,nexium,0.0144425,12947.2998046875
2017-01-09,nexium,0.0133619,10579.7998046875
2017-01-10,nexium,0.0137513,4549.81982421875
2017-01-11,nexium,0.0123663,4826.009765625
2017-01-12,nexium,0.0129739,29355.400390625
2017-01-13,nexium,0.0123598,4004.530029296875
2017-01-14,nexium,0.0131323,6248.5
2017-01-15,nexium,0.0148833,24560.099609375
2017-01-16,nexium,0.0216864,181333
2017-01-17,nexium,0.0222445,115038
2017-01-18,nexium,0.0310228,303963
2017-01-19,nexium,0.0344884,143128
2017-01-20,nexium,0.0361501,340009
2017-01-21,nexium,0.0410207,57355.19921875
2017-01-22,nexium,0.0383739,50594.69921875
2017-01-23,nexium,0.033915,71328.6015625
2017-01-24,nexium,0.0284232,104561
2017-01-25,nexium,0.0302378,81401.8984375
2017-01-26,nexium,0.0334462,143448
2017-01-27,nexium,0.0658492,7107230
2017-01-28,nexium,0.0606344,0.03031110018491745
2017-01-29,nexium,0.0549319,640715
2017-01-30,nexium,0.050216,313426
2017-01-31,nexium,0.0474139,179261
2017-02-01,nexium,0.0549354,189853
2017-02-02,nexium,0.0629336,178349
2017-02-03,nexium,0.0675434,366507
2017-02-04,nexium,0.0609471,265359
2017-02-05,nexium,0.0662121,115388
2017-02-06,nexium,0.0623146,121363
2017-02-07,nexium,0.0578757,83819.6015625
2017-02-08,nexium,0.0555986,63202.5
2017-02-09,nexium,0.054522,91098.796875
2017-02-10,nexium,0.055257,32215.30078125
2017-02-11,nexium,0.056199,20026.80078125
2017-02-12,nexium,0.0679343,258460
2017-02-13,nexium,0.0656796,161572
2017-02-14,nexium,0.0635679,94842.5
2017-02-15,nexium,0.0682568,89478.296875
2017-02-16,nexium,0.0801403,619314
2017-02-17,nexium,0.0823472,436789
2017-02-18,nexium,0.0818335,309510
2017-02-19,nexium,0.0786611,84300.5
2017-02-20,nexium,0.0795297,265269
2017-02-21,nexium,0.0810489,239589
2017-02-22,nexium,0.0670129,331720
2017-02-23,nexium,0.0675298,182550
2017-02-24,nexium,0.0698105,225790
2017-02-25,nexium,0.06147,93878.1015625
2017-02-26,nexium,0.0589475,68632.296875
2017-02-27,nexium,0.0598717,49728.6015625
2017-02-28,nexium,0.0615944,59307.80078125
2017-03-01,nexium,0.0506972,95470.3984375
2017-03-02,nexium,0.0487918,131404
2017-03-03,nexium,0.0555258,54706.80078125
2017-03-04,nexium,0.0520636,32311
2017-03-05,nexium,0.0509889,11194.599609375
2017-03-06,nexium,0.0501622,20452.900390625
2017-03-07,nexium,0.0520494,19648.599609375
2017-03-08,nexium,0.05428,102499
2017-03-09,nexium,0.0554193,126321
2017-03-10,nexium,0.0522067,90002.6015625
2017-03-11,nexium,0.0544292,39663.5
2017-03-12,nexium,0.0586751,89510.3984375
2017-03-13,nexium,0.059859,67366.3984375
2017-03-14,nexium,0.0648644,85216.296875
2017-03-15,nexium,0.0679413,87237.1015625
2017-03-16,nexium,0.0653296,115643
2017-03-17,nexium,0.0571458,126386
2017-03-18,nexium,0.0527517,205001
2017-03-19,nexium,0.0540973,75217.8984375
2017-03-20,nexium,0.0600806,79051.203125
2017-03-21,nexium,0.0624925,167233
2017-03-22,nexium,0.0562236,126856
2017-03-23,nexium,0.0548427,54263.8984375
2017-03-24,nexium,0.0483771,57604
2017-03-25,nexium,0.0476662,82998.5
2017-03-26,nexium,0.0483459,55022.6015625
2017-03-27,nexium,0.0530205,60673
2017-03-28,nexium,0.0549125,70173.5
2017-03-29,nexium,0.055316,72228.6015625
2017-03-30,nexium,0.0557044,147629
2017-03-31,nexium,0.0566334,83650.203125
2017-04-01,nexium,0.0604108,46445.5
2017-04-02,nexium,0.0588215,67806.6015625
