day,asset,close,volume
2017-11-07,aeron,0.405516,8757.4599609375
2017-11-08,aeron,0.409193,12304.099609375
2017-11-09,aeron,0.301159,53175.5
2017-11-10,aeron,0.258775,145464
2017-11-11,aeron,0.308008,71936.796875
2017-11-12,aeron,0.3082,30301.30078125
2017-11-13,aeron,0.4368,309224
2017-11-14,aeron,0.649079,745653
2017-11-15,aeron,0.587885,2159790
2017-11-16,aeron,0.4275,593668
2017-11-17,aeron,0.36985,207614
2017-11-18,aeron,0.529032,914274
2017-11-19,aeron,0.432708,724316
2017-11-20,aeron,0.358629,426967
2017-11-21,aeron,0.399601,434965
2017-11-22,aeron,0.522613,1826880
2017-11-23,aeron,0.414036,946675
2017-11-24,aeron,0.393698,1037270
2017-11-25,aeron,0.499528,2289220
2017-11-26,aeron,0.570038,4644140
2017-11-27,aeron,0.525177,5029670
2017-11-28,aeron,0.44726,7123810
2017-11-29,aeron,0.428471,17130300
2017-11-30,aeron,0.433214,2745270
2017-12-01,aeron,0.428721,2250470
2017-12-02,aeron,0.390181,2290030
2017-12-03,aeron,0.368282,2012870
2017-12-04,aeron,0.375844,1883860
2017-12-05,aeron,0.45877,4878610
2017-12-06,aeron,0.396767,3646760
2017-12-07,aeron,0.332279,3368770
2017-12-08,aeron,0.34912,3184720
2017-12-09,aeron,0.380245,2319150
2017-12-10,aeron,0.313591,2156110
2017-12-11,aeron,0.332323,2104580
2017-12-12,aeron,0.310024,2277320
2017-12-13,aeron,0.293513,1795730
2017-12-14,aeron,0.294539,2169510
2017-12-15,aeron,0.327236,2201720
2017-12-16,aeron,0.424104,2828110
2017-12-17,aeron,0.774203,21341000
2017-12-18,aeron,1.04308,27886100
2017-12-19,aeron,0.812405,7857450
2017-12-20,aeron,0.687136,4586780
2017-12-21,aeron,0.667188,5438250
2017-12-22,aeron,0.53927,4887560
2017-12-23,aeron,0.760746,8853020
2017-12-24,aeron,1.00362,19853500
2017-12-25,aeron,0.813452,8124980
