day,asset,close,volume
2017-10-18,aion,0.625569,20957.5
2017-10-19,aion,0.773419,173574
2017-10-20,aion,0.587602,80847.5
2017-10-21,aion,0.569156,26035
2017-10-22,aion,0.591343,166006
2017-10-23,aion,1.20908,86388.5
2017-10-24,aion,0.606494,62508.5
2017-10-25,aion,0.59796,76102.203125
2017-10-26,aion,0.660869,265716
2017-10-27,aion,0.552044,255065
2017-10-28,aion,0.565778,71165.5
2017-10-29,aion,0.608042,40316.80078125
2017-10-30,aion,0.607011,79874.203125
2017-10-31,aion,0.510795,173262
2017-11-01,aion,0.497287,10754.7998046875
2017-11-02,aion,0.560354,42524.6015625
2017-11-03,aion,0.594023,44646.3984375
2017-11-04,aion,0.574854,15314.7001953125
2017-11-05,aion,0.604929,45059.8984375
2017-11-06,aion,0.57824,31525.599609375
2017-11-07,aion,0.628758,142634
2017-11-08,aion,0.73862,92374.3984375
2017-11-09,aion,0.76124,46634.5
2017-11-10,aion,0.705463,52205.3984375
2017-11-11,aion,0.675031,55593
2017-11-12,aion,0.702282,261653
2017-11-13,aion,0.768962,65937.6015625
2017-11-14,aion,0.81913,75478.3984375
2017-11-15,aion,0.825692,94207.703125
2017-11-16,aion,0.749103,67004.3984375
2017-11-17,aion,0.769519,50092.5
2017-11-18,aion,0.813248,75408.3984375
2017-11-19,aion,0.868525,20095.599609375
2017-11-20,aion,0.892454,23302.099609375
2017-11-21,aion,0.860091,32732.80078125
2017-11-22,aion,0.798101,74346.6015625
2017-11-23,aion,0.819596,131685
2017-11-24,aion,1.49394,354338
2017-11-25,aion,1.15788,358097
2017-11-26,aion,1.15997,152946
2017-11-27,aion,1.21511,478944
2017-11-28,aion,1.8931,2219830
2017-11-29,aion,1.70478,799269
2017-11-30,aion,1.71486,224195
2017-12-01,aion,1.54652,953008
2017-12-02,aion,1.50519,456170
2017-12-03,aion,1.4929,170430
2017-12-04,aion,1.53594,85214.703125
2017-12-05,aion,1.58638,307559
2017-12-06,aion,2.27304,497558
2017-12-07,aion,2.1211,463551
2017-12-08,aion,2.32173,460544
2017-12-09,aion,2.40925,54054.30078125
2017-12-10,aion,2.23953,72057
2017-12-11,aion,3.04093,118258
2017-12-12,aion,4.5046,254581
2017-12-13,aion,5.20879,277482
2017-12-14,aion,2.03347,947561
2017-12-15,aion,2.51132,2868550
2017-12-16,aion,2.10893,1085950
2017-12-17,aion,2.0439,1341740
2017-12-18,aion,2.92065,1969200
2017-12-19,aion,2.97856,1916510
2017-12-20,aion,2.80894,732495
2017-12-21,aion,4.32453,24759100
2017-12-22,aion,3.41045,7399020
2017-12-23,aion,4.10489,10526600
2017-12-24,aion,3.94215,3438260
2017-12-25,aion,5.61012,16399600
2017-12-26,aion,5.54157,18545700
2017-12-27,aion,5.42754,7937650
2017-12-28,aion,4.83345,9574050
2017-12-29,aion,4.74753,7855150
2017-12-30,aion,5.07591,14581700
2017-12-31,aion,5.18751,8494970
2018-01-01,aion,5.44491,6965630
2018-01-02,aion,8.62939,60766500
2018-01-03,aion,8.16565,38547600
2018-01-04,aion,8.45411,34096500
2018-01-05,aion,7.56067,23812600
2018-01-06,aion,8.93269,32543100
2018-01-07,aion,10.1785,38810000
2018-01-08,aion,9.06852,22421000
2018-01-09,aion,10.5232,39709700
2018-01-10,aion,9.36344,18884400
2018-01-11,aion,7.93143,14125800
2018-01-12,aion,7.98981,14320900
2018-01-13,aion,7.88235,11409100
2018-01-14,aion,8.4735,19130800
2018-01-15,aion,7.33373,14280800
2018-01-16,aion,5.26895,12032900
2018-01-17,aion,5.47857,9660630
2018-01-18,aion,5.30945,9861930
2018-01-19,aion,5.49297,11250900
2018-01-20,aion,6.64985,14322800
2018-01-21,aion,5.57599,9671770
2018-01-22,aion,4.88034,10585900
2018-01-23,aion,4.66768,12975300
2018-01-24,aion,4.91155,11096400
2018-01-25,aion,4.7915,8417130
2018-01-26,aion,4.64975,7589420
2018-01-27,aion,5.78771,15774200
2018-01-28,aion,5.54985,29936500
2018-01-29,aion,5.12794,8850330
2018-01-30,aion,4.30486,11258100
2018-01-31,aion,4.29791,4764260
2018-02-01,aion,3.69939,7184050
2018-02-02,aion,3.32362,4535680
2018-02-03,aion,3.57431,3183990
2018-02-04,aion,3.08252,3626910
2018-02-05,aion,2.26771,4358980
2018-02-06,aion,2.81507,6819200
2018-02-07,aion,2.58239,4393470
2018-02-08,aion,2.82546,4641160
2018-02-09,aion,3.03661,433567
2018-02-10,aion,2.82378,2470310
2018-02-11,aion,2.81688,3658390
2018-02-12,aion,2.99076,3045520
2018-02-13,aion,2.81297,3371000
2018-02-14,aion,2.96287,4198830
2018-02-15,aion,3.04284,4510460
2018-02-16,aion,3.34557,3644260
2018-02-17,aion,3.92158,12628600
2018-02-18,aion,3.38591,9934800
2018-02-19,aion,3.80599,5406820
2018-02-20,aion,3.30936,8465910
2018-02-21,aion,2.93941,5061120
2018-02-22,aion,3.0456,3738040
2018-02-23,aion,3.00974,3484600
2018-02-24,aion,2.92,1624660
2018-02-25,aion,3.25545,4143510
2018-02-26,aion,3.03798,4363930
2018-02-27,aion,3.0346,3612460
2018-02-28,aion,2.76842,2374630
2018-03-01,aion,3.09197,5253550
2018-03-02,aion,3.26209,9399520
2018-03-03,aion,3.1711,4288150
2018-03-04,aion,3.15595,3182500
2018-03-05,aion,3.22501,2551950
2018-03-06,aion,2.90829,2337060
2018-03-07,aion,2.63045,3815490
2018-03-08,aion,2.47606,4268540
2018-03-09,aion,2.44891,2096300
2018-03-10,aion,2.31935,1906220
2018-03-11,aion,2.47274,1478910
2018-03-12,aion,2.33684,1714070
2018-03-13,aion,2.35887,1847310
2018-03-14,aion,2.17542,3572270
2018-03-15,aion,2.70358,35087700
2018-03-16,aion,2.5966,23713000
2018-03-17,aion,2.26237,10819600
2018-03-18,aion,2.53973,12385300
2018-03-19,aion,2.73328,12853700
2018-03-20,aion,2.8263,10819600
2018-03-21,aion,3.12281,15123400
2018-03-22,aion,2.9691,12338600
2018-03-23,aion,2.77891,13428800
2018-03-24,aion,2.88123,12010700
2018-03-25,aion,2.72604,12101300
2018-03-26,aion,2.54437,10717600
2018-03-27,aion,2.42674,9755060
2018-03-28,aion,2.40941,9569080
2018-03-29,aion,2.07784,8734720
2018-03-30,aion,2.01225,7960780
2018-03-31,aion,2.01241,8095720
2018-04-01,aion,1.92661,7798500
2018-04-02,aion,2.087,7628410
