day,asset,close,volume
2017-10-17,airswap,0.403462,3654270
2017-10-18,airswap,0.324418,3027440
2017-10-19,airswap,0.274173,3606770
2017-10-20,airswap,0.255162,2484350
2017-10-21,airswap,0.241828,2380200
2017-10-22,airswap,0.264445,1855200
2017-10-23,airswap,0.229958,1631230
2017-10-24,airswap,0.217432,1897600
2017-10-25,airswap,0.218602,1649550
2017-10-26,airswap,0.207908,1799920
2017-10-27,airswap,0.201748,1753510
2017-10-28,airswap,0.188855,1669940
2017-10-29,airswap,0.20652,1797930
2017-10-30,airswap,0.209359,2053380
2017-10-31,airswap,0.202149,1658900
2017-11-01,airswap,0.199491,2954350
2017-11-02,airswap,0.2345,2054830
2017-11-03,airswap,0.228534,1704310
2017-11-04,airswap,0.239303,1664990
2017-11-05,airswap,0.244646,1847880
2017-11-06,airswap,0.237707,1888510
2017-11-07,airswap,0.246954,2066790
2017-11-08,airswap,0.260774,2803730
2017-11-09,airswap,0.284562,3148290
2017-11-10,airswap,0.24172,2845070
2017-11-11,airswap,0.244201,2567260
2017-11-12,airswap,0.219047,2178070
2017-11-13,airswap,0.23057,1828930
2017-11-14,airswap,0.230716,2431870
2017-11-15,airswap,0.222056,1889060
2017-11-16,airswap,0.227078,2051200
2017-11-17,airswap,0.200928,1791930
2017-11-18,airswap,0.206344,1474640
2017-11-19,airswap,0.210899,1772770
2017-11-20,airswap,0.205489,1819930
2017-11-21,airswap,0.196161,1738120
2017-11-22,airswap,0.221272,2832990
2017-11-23,airswap,0.214101,1977020
2017-11-24,airswap,0.209432,1814810
2017-11-25,airswap,0.217868,1825470
2017-11-26,airswap,0.234338,1405400
2017-11-27,airswap,0.238389,3202410
2017-11-28,airswap,0.238613,3649230
2017-11-29,airswap,0.200965,2802610
2017-11-30,airswap,0.248866,3447700
2017-12-01,airswap,0.257623,4074770
2017-12-02,airswap,0.243304,3140980
2017-12-03,airswap,0.241056,3512820
2017-12-04,airswap,0.248539,3704660
2017-12-05,airswap,0.291643,5218470
