day,asset,close,volume
2017-05-18,aragon,1.52438,2745280
2017-05-19,aragon,1.33077,1655390
2017-05-20,aragon,1.43403,1272560
2017-05-21,aragon,1.41018,1152680
2017-05-22,aragon,1.53604,1358470
2017-05-23,aragon,2.10575,2436560
2017-05-24,aragon,2.64681,3619740
2017-05-25,aragon,2.1087,1535420
2017-05-26,aragon,1.96156,1150820
2017-05-27,aragon,1.72457,713711
2017-05-28,aragon,1.84493,801602
2017-05-29,aragon,1.8299,653050
2017-05-30,aragon,1.84438,1345200
2017-05-31,aragon,2.09032,1365970
2017-06-01,aragon,2.08742,630982
2017-06-02,aragon,2.1555,759428
2017-06-03,aragon,2.21623,963743
2017-06-04,aragon,2.1044,1065030
2017-06-05,aragon,2.21552,973493
2017-06-06,aragon,2.445,1266720
2017-06-07,aragon,2.56754,1762630
2017-06-08,aragon,3.13237,3743020
2017-06-09,aragon,3.29962,1877340
2017-06-10,aragon,4.0025,2275360
2017-06-11,aragon,4.1604,3049210
2017-06-12,aragon,3.73435,2292920
2017-06-13,aragon,3.89843,1369980
2017-06-14,aragon,3.15517,1610150
2017-06-15,aragon,4.04251,1173940
2017-06-16,aragon,3.22363,787317
2017-06-17,aragon,3.10763,766546
2017-06-18,aragon,2.89824,929574
2017-06-19,aragon,2.81419,1110070
2017-06-20,aragon,2.64736,938596
2017-06-21,aragon,2.69935,1428180
2017-06-22,aragon,2.76603,788086
2017-06-23,aragon,2.95407,878484
2017-06-24,aragon,2.70215,1043750
2017-06-25,aragon,2.4092,656243
2017-06-26,aragon,2.29483,997967
2017-06-27,aragon,2.4463,608510
2017-06-28,aragon,2.97088,1176160
2017-06-29,aragon,2.64254,772157
2017-06-30,aragon,2.30379,585257
2017-07-01,aragon,2.20693,450321
2017-07-02,aragon,2.42523,388197
2017-07-03,aragon,2.37154,471371
2017-07-04,aragon,2.21317,434296
2017-07-05,aragon,2.31697,404513
2017-07-06,aragon,2.45249,555626
2017-07-07,aragon,2.08781,647124
2017-07-08,aragon,2.1643,350485
2017-07-09,aragon,2.12551,305830
2017-07-10,aragon,1.60835,487679
2017-07-11,aragon,1.73854,907017
2017-07-12,aragon,2.00294,565016
2017-07-13,aragon,1.98011,435082
2017-07-14,aragon,1.81126,315431
2017-07-15,aragon,1.52045,288078
2017-07-16,aragon,1.42913,327985
2017-07-17,aragon,1.70999,477114
2017-07-18,aragon,2.01597,508917
2017-07-19,aragon,1.79847,423748
2017-07-20,aragon,2.0018,445853
2017-07-21,aragon,2.08275,312070
2017-07-22,aragon,2.26183,322467
2017-07-23,aragon,2.19043,339806
2017-07-24,aragon,2.15349,276677
2017-07-25,aragon,1.68681,593523
2017-07-26,aragon,1.76925,445200
2017-07-27,aragon,1.68325,265010
2017-07-28,aragon,1.59081,490408
2017-07-29,aragon,1.62662,350613
2017-07-30,aragon,1.63818,239215
2017-07-31,aragon,1.68364,265313
2017-08-01,aragon,1.81015,299507
2017-08-02,aragon,1.75586,306111
2017-08-03,aragon,1.88074,409120
2017-08-04,aragon,1.91634,362206
2017-08-05,aragon,2.09126,472444
2017-08-06,aragon,2.09328,404444
2017-08-07,aragon,2.09244,403798
2017-08-08,aragon,2.14913,587613
2017-08-09,aragon,2.3607,727888
2017-08-10,aragon,2.56317,1299060
2017-08-11,aragon,2.957,2631060
2017-08-12,aragon,2.9164,1078570
2017-08-13,aragon,2.51653,1102490
2017-08-14,aragon,2.69698,932953
2017-08-15,aragon,2.45079,767516
2017-08-16,aragon,2.54051,750076
2017-08-17,aragon,2.45215,742746
2017-08-18,aragon,2.35498,543222
2017-08-19,aragon,2.56094,795690
2017-08-20,aragon,2.76634,739923
2017-08-21,aragon,2.65267,867557
2017-08-22,aragon,2.54173,405765
2017-08-23,aragon,2.55682,467406
2017-08-24,aragon,2.78436,624648
