day,asset,close,volume
2017-09-19,atbcoin,1.16207,558166
2017-09-20,atbcoin,1.42619,525318
2017-09-21,atbcoin,1.32794,526997
2017-09-22,atbcoin,1.29601,179877
2017-09-23,atbcoin,1.26995,776556
2017-09-24,atbcoin,1.2574,612978
2017-09-25,atbcoin,1.34897,866136
2017-09-26,atbcoin,1.3077,197789
2017-09-27,atbcoin,1.13939,1229130
2017-09-28,atbcoin,0.934766,442570
2017-09-29,atbcoin,0.938583,13290.599609375
2017-09-30,atbcoin,0.968374,590769
2017-10-01,atbcoin,0.967217,27922.599609375
2017-10-02,atbcoin,0.989898,596168
2017-10-03,atbcoin,0.935204,613696
2017-10-04,atbcoin,0.86853,481691
2017-10-05,atbcoin,0.929074,545519
2017-10-06,atbcoin,0.90365,587258
2017-10-07,atbcoin,0.920778,266214
2017-10-08,atbcoin,0.947978,572238
2017-10-09,atbcoin,0.941366,495451
2017-10-10,atbcoin,0.8915,669032
2017-10-11,atbcoin,0.916209,643198
2017-10-12,atbcoin,1.05941,738172
2017-10-13,atbcoin,0.961318,33267.1015625
2017-10-14,atbcoin,1.08452,744887
2017-10-15,atbcoin,1.07676,768041
2017-10-16,atbcoin,1.3194,956934
2017-10-17,atbcoin,1.22443,983206
2017-10-18,atbcoin,1.29765,1266030
2017-10-19,atbcoin,1.30604,938846
2017-10-20,atbcoin,1.23624,1017030
2017-10-21,atbcoin,1.24249,1195050
2017-10-22,atbcoin,1.1602,1238310
2017-10-23,atbcoin,1.2163,1690750
2017-10-24,atbcoin,1.08586,1335420
2017-10-25,atbcoin,1.30094,555241
2017-10-26,atbcoin,1.06646,1105020
2017-10-27,atbcoin,1.01858,1158200
2017-10-28,atbcoin,1.0311,743396
2017-10-29,atbcoin,1.12249,917416
2017-10-30,atbcoin,1.15875,391549
2017-10-31,atbcoin,0.948119,1068700
2017-11-01,atbcoin,1.00658,1156990
2017-11-02,atbcoin,0.949906,1935110
2017-11-03,atbcoin,0.806525,709651
2017-11-04,atbcoin,0.809917,894098
2017-11-05,atbcoin,0.8713,1006860
2017-11-06,atbcoin,0.652395,927245
2017-11-07,atbcoin,0.64252,953875
2017-11-08,atbcoin,0.636281,853401
2017-11-09,atbcoin,0.591068,961310
2017-11-10,atbcoin,0.648341,857219
2017-11-11,atbcoin,0.597583,664916
2017-11-12,atbcoin,0.600475,775316
2017-11-13,atbcoin,0.629008,895222
2017-11-14,atbcoin,0.637555,815216
2017-11-15,atbcoin,0.680558,803356
2017-11-16,atbcoin,0.843281,1098100
2017-11-17,atbcoin,0.792082,2234050
2017-11-18,atbcoin,0.807937,1506600
2017-11-19,atbcoin,0.76001,990300
2017-11-20,atbcoin,0.769539,1647660
2017-11-21,atbcoin,0.72776,2695820
2017-11-22,atbcoin,0.682619,2035480
2017-11-23,atbcoin,0.676655,2919380
2017-11-24,atbcoin,0.695883,2572380
2017-11-25,atbcoin,0.7575,2494030
2017-11-26,atbcoin,0.678407,1908000
2017-11-27,atbcoin,0.792512,2742560
2017-11-28,atbcoin,0.753682,2519840
2017-11-29,atbcoin,0.779841,2472780
2017-11-30,atbcoin,0.832358,2600680
2017-12-01,atbcoin,0.779747,2517100
2017-12-02,atbcoin,0.755904,2177740
2017-12-03,atbcoin,0.755816,2386220
2017-12-04,atbcoin,0.758798,2434920
2017-12-05,atbcoin,0.728189,2809240
2017-12-06,atbcoin,0.779044,3279100
2017-12-07,atbcoin,0.832143,3914530
2017-12-08,atbcoin,0.578301,3375850
2017-12-09,atbcoin,0.547945,3011140
2017-12-10,atbcoin,0.497102,2650880
2017-12-11,atbcoin,0.461304,3300960
2017-12-12,atbcoin,0.520538,3378590
2017-12-13,atbcoin,0.392815,3153750
2017-12-14,atbcoin,0.450265,3152760
2017-12-15,atbcoin,0.649789,4251790
2017-12-16,atbcoin,0.715579,5761340
2017-12-17,atbcoin,0.621068,4529950
2017-12-18,atbcoin,0.653399,5242990
2017-12-19,atbcoin,0.49229,4010570
2017-12-20,atbcoin,0.47502,3977820
2017-12-21,atbcoin,0.553268,3685260
2017-12-22,atbcoin,0.473262,3349920
2017-12-23,atbcoin,0.435037,3540260
