day,asset,close,volume
2017-11-20,b2bx,1.75658,144393
2017-11-21,b2bx,0.856665,177165
2017-11-22,b2bx,0.766994,65053.5
2017-11-23,b2bx,0.641505,98014.296875
2017-11-24,b2bx,0.636281,28122.599609375
2017-11-25,b2bx,0.621049,37746.6015625
2017-11-26,b2bx,0.564818,21699.400390625
2017-11-27,b2bx,0.516855,18411.900390625
2017-11-28,b2bx,0.696673,16278.2001953125
2017-11-29,b2bx,0.561105,18370.69921875
2017-11-30,b2bx,0.382698,26774
2017-12-01,b2bx,0.401815,9550.6904296875
2017-12-02,b2bx,0.36837,8478.830078125
2017-12-03,b2bx,0.35589,6150.89013671875
2017-12-04,b2bx,0.34728,2957.7099609375
2017-12-05,b2bx,0.450103,2752.550048828125
2017-12-06,b2bx,0.416429,2271.659912109375
2017-12-07,b2bx,0.354424,938.802001953125
2017-12-08,b2bx,0.405862,3420.830078125
2017-12-09,b2bx,0.341271,526.8159790039062
2017-12-10,b2bx,0.307508,7018.8798828125
2017-12-11,b2bx,0.36974,7698.68017578125
2017-12-12,b2bx,0.392316,22305.80078125
2017-12-13,b2bx,0.701681,13143.599609375
2017-12-14,b2bx,0.747253,40136.19921875
2017-12-15,b2bx,0.751397,12749.7998046875
2017-12-16,b2bx,0.703989,10540.5
2017-12-17,b2bx,0.627232,32223.30078125
2017-12-18,b2bx,0.597466,17226.400390625
2017-12-19,b2bx,0.596659,8342.3203125
2017-12-20,b2bx,0.820069,28070.69921875
2017-12-21,b2bx,0.799563,31893.400390625
2017-12-22,b2bx,0.561739,9139.349609375
2017-12-23,b2bx,0.557171,45481
2017-12-24,b2bx,0.546824,15735.099609375
2017-12-25,b2bx,0.910032,11715.2001953125
2017-12-26,b2bx,0.831785,36527.3984375
2017-12-27,b2bx,0.800406,29555.900390625
2017-12-28,b2bx,0.786579,17551.80078125
2017-12-29,b2bx,0.602704,19781.400390625
2017-12-30,b2bx,0.59354,7492.91015625
2017-12-31,b2bx,0.695511,7873.81982421875
2018-01-01,b2bx,0.666665,2425.31005859375
2018-01-02,b2bx,0.701797,19626.69921875
2018-01-03,b2bx,0.779352,134474
2018-01-04,b2bx,0.768643,100865
2018-01-05,b2bx,0.767965,79914.703125
