day,asset,close,volume
2017-06-18,bancor,19.984,16871.30078125
2017-06-19,bancor,23.731,51908.30078125
2017-06-20,bancor,21.4079,28295.099609375
2017-06-21,bancor,20.0065,28089.099609375
2017-06-22,bancor,4.18829,2399260
2017-06-23,bancor,4.04152,8023600
2017-06-24,bancor,3.39932,4176390
2017-06-25,bancor,2.85638,4202840
2017-06-26,bancor,2.47918,8236810
2017-06-27,bancor,3.04505,4432880
2017-06-28,bancor,3.48493,7524550
2017-06-29,bancor,3.15894,3625460
2017-06-30,bancor,2.84693,3329010
2017-07-01,bancor,2.70048,3321100
2017-07-02,bancor,2.92439,2457840
2017-07-03,bancor,2.8923,3030160
2017-07-04,bancor,2.84811,1823890
2017-07-05,bancor,2.78676,2600760
2017-07-06,bancor,2.77606,1497570
2017-07-07,bancor,2.49184,1849670
2017-07-08,bancor,2.50476,1452940
2017-07-09,bancor,2.41079,661295
2017-07-10,bancor,2.10388,2403320
2017-07-11,bancor,1.93875,1557010
2017-07-12,bancor,2.17479,831411
2017-07-13,bancor,2.0577,23188800
2017-07-14,bancor,1.97616,65835700
2017-07-15,bancor,1.71208,72605904
2017-07-16,bancor,1.56004,1499730
2017-07-17,bancor,1.8704,958200
2017-07-18,bancor,2.25934,1752420
2017-07-19,bancor,1.81153,5602570
2017-07-20,bancor,2.09458,2628320
2017-07-21,bancor,1.9921,1501240
2017-07-22,bancor,2.15201,1247180
2017-07-23,bancor,2.25828,2861240
2017-07-24,bancor,2.25149,1818030
2017-07-25,bancor,1.93709,1741270
2017-07-26,bancor,1.99771,1496860
2017-07-27,bancor,2.01584,1665700
2017-07-28,bancor,1.794,2822560
2017-07-29,bancor,1.8299,1713160
2017-07-30,bancor,1.80803,1329730
2017-07-31,bancor,1.87171,1465680
2017-08-01,bancor,2.02486,1499590
2017-08-02,bancor,1.98426,1735610
2017-08-03,bancor,2.01269,1605640
2017-08-04,bancor,2.0136,1483470
2017-08-05,bancor,2.28626,1305200
2017-08-06,bancor,2.36578,1500290
2017-08-07,bancor,2.44923,2195170
2017-08-08,bancor,2.55762,2240360
2017-08-09,bancor,2.56767,2988450
2017-08-10,bancor,2.6456,2526260
2017-08-11,bancor,2.77932,4985580
2017-08-12,bancor,2.96444,6900550
2017-08-13,bancor,2.82157,4273330
2017-08-14,bancor,2.76776,4883460
2017-08-15,bancor,2.60645,3388150
2017-08-16,bancor,2.7477,3129120
2017-08-17,bancor,2.70039,2441650
2017-08-18,bancor,2.601,3111720
2017-08-19,bancor,2.57721,2970530
2017-08-20,bancor,2.59813,2516270
2017-08-21,bancor,2.72179,3867280
2017-08-22,bancor,2.66962,2669290
2017-08-23,bancor,2.6583,2206580
2017-08-24,bancor,2.70658,2396130
2017-08-25,bancor,2.64103,1993490
2017-08-26,bancor,2.72052,2847010
2017-08-27,bancor,2.98947,4833680
2017-08-28,bancor,2.95632,3378000
2017-08-29,bancor,3.1836,3987800
2017-08-30,bancor,3.17526,3915320
2017-08-31,bancor,3.17757,2488720
2017-09-01,bancor,3.23498,2272360
2017-09-02,bancor,2.8513,1526370
2017-09-03,bancor,2.84489,1272440
2017-09-04,bancor,2.38396,1831740
2017-09-05,bancor,2.51713,1601870
2017-09-06,bancor,2.68701,1515920
2017-09-07,bancor,2.69858,1503880
2017-09-08,bancor,2.43727,1249460
2017-09-09,bancor,2.39808,639025
2017-09-10,bancor,2.30941,1005960
2017-09-11,bancor,2.37702,1080540
2017-09-12,bancor,2.31909,1835300
2017-09-13,bancor,2.11912,1345710
2017-09-14,bancor,1.70867,1091670
2017-09-15,bancor,1.94576,1489820
2017-09-16,bancor,1.98481,1130950
2017-09-17,bancor,1.95006,991284
2017-09-18,bancor,2.2371,1209200
2017-09-19,bancor,2.13496,1031180
2017-09-20,bancor,2.15748,783909
2017-09-21,bancor,1.97722,752825
2017-09-22,bancor,2.02074,833754
2017-09-23,bancor,2.15067,874673
2017-09-24,bancor,2.10658,658734
2017-09-25,bancor,2.2364,603259
2017-09-26,bancor,2.18058,955106
2017-09-27,bancor,2.33336,706819
2017-09-28,bancor,2.31799,879419
2017-09-29,bancor,2.28199,1216580
2017-09-30,bancor,2.32493,2447150
2017-10-01,bancor,2.33763,2128430
2017-10-02,bancor,2.20855,1153440
2017-10-03,bancor,2.15611,1593020
2017-10-04,bancor,2.20737,571837
2017-10-05,bancor,2.18261,703998
2017-10-06,bancor,2.28493,1260730
2017-10-07,bancor,2.31566,1224100
2017-10-08,bancor,2.26127,1787620
2017-10-09,bancor,2.19828,2280330
2017-10-10,bancor,2.17485,696724
2017-10-11,bancor,2.20294,776844
2017-10-12,bancor,2.20166,760881
2017-10-13,bancor,2.42356,1328750
2017-10-14,bancor,2.38694,681128
2017-10-15,bancor,2.33744,823784
2017-10-16,bancor,2.32617,892768
2017-10-17,bancor,2.1885,2294300
2017-10-18,bancor,2.1371,1583160
2017-10-19,bancor,2.10366,1496620
2017-10-20,bancor,2.05321,1148670
2017-10-21,bancor,2.02163,1005330
2017-10-22,bancor,1.98737,1271590
2017-10-23,bancor,1.88085,1459900
2017-10-24,bancor,1.97278,1901180
2017-10-25,bancor,1.99452,1485030
2017-10-26,bancor,1.93511,2022500
2017-10-27,bancor,1.91996,1320880
2017-10-28,bancor,1.90802,1137270
2017-10-29,bancor,1.96137,1154460
2017-10-30,bancor,1.99288,1090470
2017-10-31,bancor,1.99579,990337
2017-11-01,bancor,1.9257,1171980
2017-11-02,bancor,1.78253,1379960
2017-11-03,bancor,1.93483,1324870
2017-11-04,bancor,1.92863,1567020
2017-11-05,bancor,1.86288,2012750
2017-11-06,bancor,1.85144,1586090
2017-11-07,bancor,1.87491,1025090
2017-11-08,bancor,1.94764,1957250
2017-11-09,bancor,2.03255,2044140
2017-11-10,bancor,1.8694,1861230
2017-11-11,bancor,1.92247,2650010
2017-11-12,bancor,1.80763,2634170
2017-11-13,bancor,1.95752,2738800
2017-11-14,bancor,2.03666,2596440
2017-11-15,bancor,2.01631,2464150
2017-11-16,bancor,1.98173,2081880
2017-11-17,bancor,1.96987,1564790
2017-11-18,bancor,2.06536,1545720
2017-11-19,bancor,2.09333,1980670
2017-11-20,bancor,2.16742,1705110
2017-11-21,bancor,2.121,1940570
2017-11-22,bancor,2.2429,1954530
2017-11-23,bancor,2.40692,3682080
2017-11-24,bancor,2.73021,4389420
2017-11-25,bancor,2.65235,3577920
2017-11-26,bancor,2.66817,4779860
2017-11-27,bancor,2.68333,4448550
2017-11-28,bancor,2.6046,3413550
2017-11-29,bancor,2.35148,4369150
2017-11-30,bancor,2.44625,2397210
2017-12-01,bancor,2.53939,2934080
2017-12-02,bancor,2.50757,3549220
2017-12-03,bancor,2.55999,3197670
2017-12-04,bancor,2.67146,3796320
2017-12-05,bancor,2.79901,8684160
2017-12-06,bancor,2.49764,5482920
2017-12-07,bancor,2.49642,5255870
2017-12-08,bancor,2.66334,4422620
2017-12-09,bancor,2.72472,4901430
2017-12-10,bancor,2.53552,2993900
2017-12-11,bancor,2.97814,5695280
2017-12-12,bancor,3.64647,8958670
2017-12-13,bancor,3.85763,9020600
2017-12-14,bancor,3.73616,6513150
2017-12-15,bancor,3.69162,6491670
2017-12-16,bancor,3.76591,4245120
2017-12-17,bancor,3.99803,5357790
2017-12-18,bancor,4.72706,13199900
2017-12-19,bancor,4.73115,10141400
2017-12-20,bancor,4.48663,8022840
2017-12-21,bancor,4.53787,8224620
2017-12-22,bancor,3.7365,5516460
2017-12-23,bancor,3.8716,10164900
2017-12-24,bancor,3.81171,6153670
2017-12-25,bancor,4.91334,28141600
2017-12-26,bancor,4.95298,24474500
2017-12-27,bancor,4.95927,11689200
2017-12-28,bancor,5.06068,18151200
2017-12-29,bancor,5.41924,18013400
2017-12-30,bancor,4.92167,9956090
2017-12-31,bancor,5.28138,7434550
2018-01-01,bancor,5.35835,7968180
2018-01-02,bancor,6.01284,14395900
2018-01-03,bancor,6.61321,11675000
2018-01-04,bancor,7.05429,16215600
2018-01-05,bancor,7.15633,16267500
2018-01-06,bancor,7.40212,11898200
2018-01-07,bancor,8.18999,14097700
2018-01-08,bancor,8.6536,20321200
2018-01-09,bancor,10.0092,22186700
2018-01-10,bancor,9.35033,24478900
2018-01-11,bancor,8.44701,13715300
2018-01-12,bancor,9.20554,8363290
2018-01-13,bancor,10.096,11140400
2018-01-14,bancor,9.74328,13120600
2018-01-15,bancor,8.79268,13456800
2018-01-16,bancor,6.92987,11670400
2018-01-17,bancor,6.68898,11429900
2018-01-18,bancor,6.83318,8910910
2018-01-19,bancor,6.95563,6741280
2018-01-20,bancor,7.81977,32620800
2018-01-21,bancor,7.01556,9263360
2018-01-22,bancor,6.74242,8864110
2018-01-23,bancor,6.74856,6955220
2018-01-24,bancor,7.06553,6319190
2018-01-25,bancor,7.16647,11843100
2018-01-26,bancor,7.08383,10578800
2018-01-27,bancor,7.2962,22854400
2018-01-28,bancor,8.02963,11141900
2018-01-29,bancor,7.57252,8017380
2018-01-30,bancor,6.69283,7960670
2018-01-31,bancor,6.91662,5229000
2018-02-01,bancor,6.42735,16943600
2018-02-02,bancor,5.80803,15758600
2018-02-03,bancor,6.06427,7297230
2018-02-04,bancor,5.20766,8342590
2018-02-05,bancor,4.17501,10330700
2018-02-06,bancor,4.77648,9932820
2018-02-07,bancor,4.57989,7140200
2018-02-08,bancor,4.88917,7021540
2018-02-09,bancor,5.33714,7438740
2018-02-10,bancor,5.16459,7705840
2018-02-11,bancor,4.89142,4394220
2018-02-12,bancor,5.16296,4348820
2018-02-13,bancor,5.0046,9288810
2018-02-14,bancor,5.47354,6093060
2018-02-15,bancor,5.53987,4539380
2018-02-16,bancor,5.59107,4204030
2018-02-17,bancor,5.90062,7018130
2018-02-18,bancor,5.46726,22189100
2018-02-19,bancor,5.63288,5679900
2018-02-20,bancor,5.30197,8803870
2018-02-21,bancor,5.00838,6416960
2018-02-22,bancor,4.77779,4642030
2018-02-23,bancor,5.04555,4480830
2018-02-24,bancor,4.83504,4331290
2018-02-25,bancor,4.8929,3705220
2018-02-26,bancor,5.04784,5681650
2018-02-27,bancor,5.08816,5586980
2018-02-28,bancor,4.84018,7993500
2018-03-01,bancor,5.06124,7657490
2018-03-02,bancor,4.98124,7102660
2018-03-03,bancor,4.96321,7420780
2018-03-04,bancor,5.00319,5103170
2018-03-05,bancor,4.8983,6577140
2018-03-06,bancor,4.70231,5732700
2018-03-07,bancor,4.22461,6757670
2018-03-08,bancor,3.95699,5435600
2018-03-09,bancor,4.04667,5327570
2018-03-10,bancor,3.80473,3019420
2018-03-11,bancor,3.98432,5110830
2018-03-12,bancor,3.83397,6402490
2018-03-13,bancor,3.75951,4927140
2018-03-14,bancor,3.33369,4115390
2018-03-15,bancor,3.28763,4492260
2018-03-16,bancor,3.24007,4696370
2018-03-17,bancor,2.99096,3134330
2018-03-18,bancor,2.89617,5820200
2018-03-19,bancor,2.99916,6970000
2018-03-20,bancor,3.03236,7161360
2018-03-21,bancor,3.10088,9267060
2018-03-22,bancor,3.00016,7062780
2018-03-23,bancor,3.04887,10059900
2018-03-24,bancor,2.977,6911570
2018-03-25,bancor,2.95252,5884440
2018-03-26,bancor,2.71833,4557760
2018-03-27,bancor,2.51159,6865390
2018-03-28,bancor,2.52209,11401200
2018-03-29,bancor,2.21606,5692260
2018-03-30,bancor,2.24919,5849750
2018-03-31,bancor,2.26468,3792780
2018-04-01,bancor,2.17512,3586730
2018-04-02,bancor,2.19918,3620410
