day,asset,close,volume
2018-01-13,bankex,2.84225,371912
2018-01-14,bankex,2.46048,256737
2018-01-15,bankex,2.28086,134093
2018-01-16,bankex,1.72935,126362
2018-01-17,bankex,1.73337,152511
2018-01-18,bankex,1.82214,242955
2018-01-19,bankex,1.83187,277931
2018-01-20,bankex,2.05533,324752
2018-01-21,bankex,1.89741,146729
2018-01-22,bankex,1.75311,141615
2018-01-23,bankex,1.71361,68071.8984375
2018-01-24,bankex,1.81703,129199
2018-01-25,bankex,1.79229,134081
2018-01-26,bankex,1.86973,106649
2018-01-27,bankex,1.97478,153541
2018-01-28,bankex,1.8627,368067
2018-01-29,bankex,1.78163,88331.8984375
2018-01-30,bankex,1.3171,60618.19921875
2018-01-31,bankex,1.24302,89510.8984375
2018-02-01,bankex,1.24065,17267.599609375
2018-02-02,bankex,1.08216,27532.099609375
2018-02-03,bankex,1.26851,55539.1015625
2018-02-04,bankex,0.985422,22598.69921875
2018-02-05,bankex,0.789739,41973.30078125
2018-02-06,bankex,0.888331,93640.5
2018-02-07,bankex,0.838146,46939.80078125
2018-02-08,bankex,0.870925,12854.7998046875
2018-02-09,bankex,0.927026,5223.06982421875
2018-02-10,bankex,1.0598,12610.099609375
2018-02-11,bankex,0.930929,6119.06005859375
2018-02-12,bankex,0.967488,18194.599609375
2018-02-13,bankex,0.916878,26974.69921875
2018-02-14,bankex,1.02197,48493.69921875
2018-02-15,bankex,1.051,18140.30078125
2018-02-16,bankex,1.12953,14583.7001953125
2018-02-17,bankex,1.28379,75201
2018-02-18,bankex,1.10288,22109.5
2018-02-19,bankex,1.01174,24382.5
2018-02-20,bankex,1.02068,44543.80078125
2018-02-21,bankex,0.965959,139095
2018-02-22,bankex,0.910559,96068.796875
2018-02-23,bankex,1.01456,255416
2018-02-24,bankex,1.07312,133203
2018-02-25,bankex,0.997945,74957
2018-02-26,bankex,1.31289,370350
2018-02-27,bankex,0.896124,6041970
2018-02-28,bankex,0.830736,4795380
2018-03-01,bankex,0.964102,7055020
2018-03-02,bankex,0.83587,1199910
2018-03-03,bankex,0.838125,1102870
2018-03-04,bankex,0.806739,631136
2018-03-05,bankex,0.732507,1400790
2018-03-06,bankex,0.629141,2793470
2018-03-07,bankex,0.524482,1482880
2018-03-08,bankex,0.580041,2219910
2018-03-09,bankex,0.508013,1732200
2018-03-10,bankex,0.470003,874955
2018-03-11,bankex,0.487537,544991
2018-03-12,bankex,0.468402,435221
2018-03-13,bankex,0.46707,790612
2018-03-14,bankex,0.41263,1087070
2018-03-15,bankex,0.392842,1380630
2018-03-16,bankex,0.372075,1150950
2018-03-17,bankex,0.33452,1629480
2018-03-18,bankex,0.304753,2026590
2018-03-19,bankex,0.304707,858545
2018-03-20,bankex,0.31437,628726
2018-03-21,bankex,0.320547,1113470
2018-03-22,bankex,0.325632,918675
2018-03-23,bankex,0.319111,844376
2018-03-24,bankex,0.308774,1195140
2018-03-25,bankex,0.30976,1239380
2018-03-26,bankex,0.287897,860894
2018-03-27,bankex,0.267372,715747
2018-03-28,bankex,0.283292,1012120
2018-03-29,bankex,0.255746,992800
2018-03-30,bankex,0.256711,795464
2018-03-31,bankex,0.263288,1493300
2018-04-01,bankex,0.232207,1161170
2018-04-02,bankex,0.245218,888188
