day,asset,close,volume
2017-08-09,blocktix,0.198276,11878.2001953125
2017-08-10,blocktix,0.183283,9072.5595703125
2017-08-11,blocktix,0.17523,31527
2017-08-12,blocktix,0.262967,14088.599609375
2017-08-13,blocktix,0.262283,25041.5
2017-08-14,blocktix,0.2784,25182.400390625
2017-08-15,blocktix,0.389336,86529.6015625
2017-08-16,blocktix,0.304793,21565.80078125
2017-08-17,blocktix,0.383637,41228.80078125
2017-08-18,blocktix,0.351831,65511.30078125
2017-08-19,blocktix,0.555707,289140
2017-08-20,blocktix,0.579179,351198
2017-08-21,blocktix,0.461121,153173
2017-08-22,blocktix,0.346508,43069.30078125
2017-08-23,blocktix,0.361697,38009
2017-08-24,blocktix,0.433627,61976.30078125
2017-08-25,blocktix,0.332227,95622.703125
2017-08-26,blocktix,0.383013,75033.796875
2017-08-27,blocktix,0.347643,100347
2017-08-28,blocktix,0.412087,90706.796875
2017-08-29,blocktix,0.366277,55512.80078125
2017-08-30,blocktix,0.333498,46513.80078125
2017-08-31,blocktix,0.295925,33301.8984375
2017-09-01,blocktix,0.245842,39559.5
2017-09-02,blocktix,0.203587,15875.5
2017-09-03,blocktix,0.221496,31920.599609375
2017-09-04,blocktix,0.151295,26940.099609375
2017-09-05,blocktix,0.175073,7252.60986328125
2017-09-06,blocktix,0.198236,23570
2017-09-07,blocktix,0.197527,19701.69921875
2017-09-08,blocktix,0.179776,29624.30078125
2017-09-09,blocktix,0.218576,28222
2017-09-10,blocktix,0.187622,5779.64013671875
2017-09-11,blocktix,0.182833,29014
2017-09-12,blocktix,0.196135,18306.30078125
2017-09-13,blocktix,0.204753,57902.80078125
2017-09-14,blocktix,0.198419,32040.900390625
2017-09-15,blocktix,0.178759,27171.900390625
2017-09-16,blocktix,0.20341,2977.489990234375
2017-09-17,blocktix,0.202943,5798.830078125
2017-09-18,blocktix,0.222276,18565.5
2017-09-19,blocktix,0.212144,15900.2001953125
2017-09-20,blocktix,0.19356,5882.009765625
2017-09-21,blocktix,0.177447,14654.2001953125
2017-09-22,blocktix,0.141199,8558.8603515625
2017-09-23,blocktix,0.183273,11864.2001953125
2017-09-24,blocktix,0.182377,15.186800003051758
2017-09-25,blocktix,0.16323,22471.900390625
2017-09-26,blocktix,0.159241,24647.80078125
2017-09-27,blocktix,0.207542,12856.2001953125
2017-09-28,blocktix,0.182681,31793.19921875
2017-09-29,blocktix,0.175502,16825.900390625
2017-09-30,blocktix,0.180108,3762.7900390625
2017-10-01,blocktix,0.16053,7558.39990234375
2017-10-02,blocktix,0.180903,9594.41015625
2017-10-03,blocktix,0.166383,10739.5
2017-10-04,blocktix,0.125911,9766.919921875
2017-10-05,blocktix,0.16049,5641.18017578125
2017-10-06,blocktix,0.152704,5092.7998046875
2017-10-07,blocktix,0.179369,14066.7998046875
2017-10-08,blocktix,0.15095,8015.169921875
2017-10-09,blocktix,0.122211,3457.820068359375
2017-10-10,blocktix,0.130389,4722.490234375
2017-10-11,blocktix,0.179325,18026.30078125
2017-10-12,blocktix,0.144159,8849
2017-10-13,blocktix,0.156655,4921.259765625
2017-10-14,blocktix,0.131891,4681.75
2017-10-15,blocktix,0.147225,6610.259765625
2017-10-16,blocktix,0.156832,3656.489990234375
