day,asset,close,volume
2017-11-28,blockv,0.0216368,492028
2017-11-29,blockv,0.0189696,161214
2017-11-30,blockv,0.0166432,148455
2017-12-01,blockv,0.0179232,118383
2017-12-02,blockv,0.0188947,68097
2017-12-03,blockv,0.0184846,86907.3984375
2017-12-04,blockv,0.024972,194709
2017-12-05,blockv,0.0242823,181930
2017-12-06,blockv,0.0231598,97221.703125
2017-12-07,blockv,0.0234422,233069
2017-12-08,blockv,0.0227837,104369
2017-12-09,blockv,0.026631,49504.19921875
2017-12-10,blockv,0.0276092,72853.6015625
2017-12-11,blockv,0.0285464,82984.796875
2017-12-12,blockv,0.0345332,118149
2017-12-13,blockv,0.0348999,303879
2017-12-14,blockv,0.0308646,707127
2017-12-15,blockv,0.0341492,622934
2017-12-16,blockv,0.0349707,879102
2017-12-17,blockv,0.037969,1122340
2017-12-18,blockv,0.0369416,1075180
2017-12-19,blockv,0.0349743,1321540
2017-12-20,blockv,0.0374187,1422550
2017-12-21,blockv,0.0371537,643207
2017-12-22,blockv,0.0307821,461044
2017-12-23,blockv,0.0332654,274573
2017-12-24,blockv,0.0353702,438908
2017-12-25,blockv,0.0415055,792903
2017-12-26,blockv,0.0453239,857816
2017-12-27,blockv,0.0460588,369799
2017-12-28,blockv,0.0496701,685827
2017-12-29,blockv,0.060127,788181
2017-12-30,blockv,0.055601,897584
2017-12-31,blockv,0.0898734,2965000
2018-01-01,blockv,0.0751637,1492340
2018-01-02,blockv,0.0859993,1568760
2018-01-03,blockv,0.114325,3829030
2018-01-04,blockv,0.123212,6710560
2018-01-05,blockv,0.140741,4592510
2018-01-06,blockv,0.24471,26660300
2018-01-07,blockv,0.283565,26554100
2018-01-08,blockv,0.265994,18241000
2018-01-09,blockv,0.26727,11792200
2018-01-10,blockv,0.241586,9181860
2018-01-11,blockv,0.217368,5589100
2018-01-12,blockv,0.219474,6021360
2018-01-13,blockv,0.204523,4928700
2018-01-14,blockv,0.199983,4825110
2018-01-15,blockv,0.180446,3935180
2018-01-16,blockv,0.128003,3106180
2018-01-17,blockv,0.132327,14034700
2018-01-18,blockv,0.193546,11199900
2018-01-19,blockv,0.153801,7319830
2018-01-20,blockv,0.182609,3262500
2018-01-21,blockv,0.141075,3569190
2018-01-22,blockv,0.12886,4719570
2018-01-23,blockv,0.1226,5619590
2018-01-24,blockv,0.137965,5419870
2018-01-25,blockv,0.127528,5143650
2018-01-26,blockv,0.117932,3865570
2018-01-27,blockv,0.11476,3098160
2018-01-28,blockv,0.111091,5961780
2018-01-29,blockv,0.103778,2188100
2018-01-30,blockv,0.0929044,2712660
2018-01-31,blockv,0.098139,1710870
2018-02-01,blockv,0.0832522,2469150
2018-02-02,blockv,0.0775893,2044390
2018-02-03,blockv,0.0824003,1467820
2018-02-04,blockv,0.0719063,693216
2018-02-05,blockv,0.0579457,1595260
2018-02-06,blockv,0.0668983,2015600
2018-02-07,blockv,0.0660941,1093730
2018-02-08,blockv,0.0670941,907326
2018-02-09,blockv,0.0696689,622105
2018-02-10,blockv,0.0739532,1428730
2018-02-11,blockv,0.0649268,1033080
2018-02-12,blockv,0.0697565,461465
2018-02-13,blockv,0.0672476,422390
2018-02-14,blockv,0.0765447,979193
2018-02-15,blockv,0.0853541,1876880
2018-02-16,blockv,0.124923,22633800
2018-02-17,blockv,0.109426,26788200
2018-02-18,blockv,0.0919053,5053320
2018-02-19,blockv,0.0992739,7483750
2018-02-20,blockv,0.0804773,6416290
2018-02-21,blockv,0.0729633,3389450
2018-02-22,blockv,0.0649393,3600680
2018-02-23,blockv,0.0686584,2815580
2018-02-24,blockv,0.0708366,5561390
2018-02-25,blockv,0.0722132,3162080
2018-02-26,blockv,0.0736715,4636270
2018-02-27,blockv,0.0720276,4208690
2018-02-28,blockv,0.0638867,3042300
2018-03-01,blockv,0.0727258,3772850
2018-03-02,blockv,0.0725784,3633980
2018-03-03,blockv,0.0716054,1857170
2018-03-04,blockv,0.0710663,781358
2018-03-05,blockv,0.0686368,1533460
2018-03-06,blockv,0.0597754,1421890
2018-03-07,blockv,0.0515021,3175430
2018-03-08,blockv,0.0465833,1210020
2018-03-09,blockv,0.0522145,3790420
2018-03-10,blockv,0.04988,1183380
2018-03-11,blockv,0.0544333,480183
2018-03-12,blockv,0.0502101,401884
2018-03-13,blockv,0.0463092,496577
2018-03-14,blockv,0.0402797,764735
2018-03-15,blockv,0.0359863,803934
2018-03-16,blockv,0.0372955,497389
2018-03-17,blockv,0.0339946,241107
2018-03-18,blockv,0.0331318,665028
2018-03-19,blockv,0.0340013,603223
2018-03-20,blockv,0.0392693,659936
2018-03-21,blockv,0.03631,2621260
2018-03-22,blockv,0.0324568,1461830
2018-03-23,blockv,0.033793,1487490
2018-03-24,blockv,0.0373815,701739
2018-03-25,blockv,0.0374956,655248
2018-03-26,blockv,0.037895,1554230
2018-03-27,blockv,0.0359895,323208
2018-03-28,blockv,0.0363228,739383
2018-03-29,blockv,0.0301506,823499
2018-03-30,blockv,0.0299236,433144
2018-03-31,blockv,0.0296067,197211
2018-04-01,blockv,0.0268555,297725
2018-04-02,blockv,0.0288027,502289
