day,asset,close,volume
2017-12-26,bounty0x,0.0759551,1059090
2017-12-27,bounty0x,0.18468,6568720
2017-12-28,bounty0x,0.264737,9028810
2017-12-29,bounty0x,0.192273,4576080
2017-12-30,bounty0x,0.172631,1792580
2017-12-31,bounty0x,0.155239,1513290
2018-01-01,bounty0x,0.154837,1407870
2018-01-02,bounty0x,0.158949,1690370
2018-01-03,bounty0x,0.271111,3295840
2018-01-04,bounty0x,0.258375,2252120
2018-01-05,bounty0x,0.262601,2845000
2018-01-06,bounty0x,0.461524,3843130
2018-01-07,bounty0x,0.66969,7603480
2018-01-08,bounty0x,0.881063,8552860
2018-01-09,bounty0x,0.787895,5539860
2018-01-10,bounty0x,0.836947,5141730
2018-01-11,bounty0x,0.644806,4467030
2018-01-12,bounty0x,0.574761,2641520
2018-01-13,bounty0x,0.546548,3031850
2018-01-14,bounty0x,0.449936,1917440
2018-01-15,bounty0x,0.390967,1864600
2018-01-16,bounty0x,0.312276,1481730
2018-01-17,bounty0x,0.366529,1207570
2018-01-18,bounty0x,0.376051,1781730
2018-01-19,bounty0x,0.401645,985258
2018-01-20,bounty0x,0.418342,1354650
2018-01-21,bounty0x,0.336677,699213
2018-01-22,bounty0x,0.297983,622489
2018-01-23,bounty0x,0.297191,559667
2018-01-24,bounty0x,0.296082,685949
2018-01-25,bounty0x,0.284451,806086
2018-01-26,bounty0x,0.333034,1017350
2018-01-27,bounty0x,0.306182,816788
2018-01-28,bounty0x,0.29127,610636
2018-01-29,bounty0x,0.241225,866181
2018-01-30,bounty0x,0.212401,675200
2018-01-31,bounty0x,0.207024,484297
2018-02-01,bounty0x,0.161888,390280
2018-02-02,bounty0x,0.160614,345102
2018-02-03,bounty0x,0.157615,350888
2018-02-04,bounty0x,0.115787,255725
2018-02-05,bounty0x,0.107341,336620
2018-02-06,bounty0x,0.130275,323047
2018-02-07,bounty0x,0.11813,292407
2018-02-08,bounty0x,0.150904,253128
2018-02-09,bounty0x,0.155299,314983
2018-02-10,bounty0x,0.137984,269541
2018-02-11,bounty0x,0.125878,253403
2018-02-12,bounty0x,0.147776,294713
2018-02-13,bounty0x,0.159682,237597
2018-02-14,bounty0x,0.166143,315668
2018-02-15,bounty0x,0.163318,1210200
2018-02-16,bounty0x,0.162638,632577
2018-02-17,bounty0x,0.162726,538096
2018-02-18,bounty0x,0.150705,466086
2018-02-19,bounty0x,0.143877,409253
2018-02-20,bounty0x,0.125099,592950
2018-02-21,bounty0x,0.123045,292268
2018-02-22,bounty0x,0.103809,275394
2018-02-23,bounty0x,0.106048,312932
2018-02-24,bounty0x,0.0993991,113614
2018-02-25,bounty0x,0.0985811,181931
2018-02-26,bounty0x,0.106363,167363
2018-02-27,bounty0x,0.127242,159793
2018-02-28,bounty0x,0.111482,124583
2018-03-01,bounty0x,0.10866,137825
2018-03-02,bounty0x,0.147404,131568
2018-03-03,bounty0x,0.130758,110984
2018-03-04,bounty0x,0.109926,113590
2018-03-05,bounty0x,0.101511,73803.8984375
2018-03-06,bounty0x,0.0877786,185831
2018-03-07,bounty0x,0.0803147,98185.703125
2018-03-08,bounty0x,0.0670764,127515
2018-03-09,bounty0x,0.0746268,126798
2018-03-10,bounty0x,0.0690661,123659
2018-03-11,bounty0x,0.075949,51193.1015625
2018-03-12,bounty0x,0.0632144,77053.8984375
2018-03-13,bounty0x,0.0738453,91807
2018-03-14,bounty0x,0.0616974,77453.5
2018-03-15,bounty0x,0.0621627,108556
2018-03-16,bounty0x,0.0636211,52846.8984375
2018-03-17,bounty0x,0.0585186,54400.19921875
2018-03-18,bounty0x,0.0569648,67368.296875
2018-03-19,bounty0x,0.0631735,64553.5
2018-03-20,bounty0x,0.0624486,100115
2018-03-21,bounty0x,0.0640391,56125.6015625
2018-03-22,bounty0x,0.0624769,49288.8984375
2018-03-23,bounty0x,0.0607072,53670.8984375
2018-03-24,bounty0x,0.058076,72233.8984375
2018-03-25,bounty0x,0.0594025,30152.099609375
2018-03-26,bounty0x,0.0564465,50124.80078125
2018-03-27,bounty0x,0.0531777,42571.6015625
2018-03-28,bounty0x,0.0493527,52539
2018-03-29,bounty0x,0.0430069,34723.8984375
2018-03-30,bounty0x,0.041985,29892.900390625
2018-03-31,bounty0x,0.0424286,33677
2018-04-01,bounty0x,0.0386512,16738.400390625
2018-04-02,bounty0x,0.0381325,27315.80078125
