day,asset,close,volume
2018-02-15,cashaa,0.118165,34753.3984375
2018-02-16,cashaa,0.151407,109356
2018-02-17,cashaa,0.14654,55403
2018-02-18,cashaa,0.135124,20826.099609375
2018-02-19,cashaa,0.134075,22051.5
2018-02-20,cashaa,0.126435,12335.099609375
2018-02-21,cashaa,0.118236,29911
2018-02-22,cashaa,0.115268,14053.2998046875
2018-02-23,cashaa,0.125952,29646.5
2018-02-24,cashaa,0.165092,40726.80078125
2018-02-25,cashaa,0.122525,68932.203125
2018-02-26,cashaa,0.111395,66110.6015625
2018-02-27,cashaa,0.124545,69019.5
2018-02-28,cashaa,0.0965626,45757.8984375
2018-03-01,cashaa,0.0808052,83051.1015625
2018-03-02,cashaa,0.0747664,57807.19921875
2018-03-03,cashaa,0.0780889,56164.1015625
2018-03-04,cashaa,0.0692676,49443
2018-03-05,cashaa,0.0614772,37158.69921875
2018-03-06,cashaa,0.0580391,67437.5
2018-03-07,cashaa,0.0494968,56682.1015625
2018-03-08,cashaa,0.0441272,25697.099609375
2018-03-09,cashaa,0.0485145,19573.19921875
2018-03-10,cashaa,0.0437646,55235.1015625
2018-03-11,cashaa,0.0430757,46071.5
2018-03-12,cashaa,0.0428025,23926.19921875
2018-03-13,cashaa,0.041678,55748.8984375
2018-03-14,cashaa,0.0357299,51122.19921875
2018-03-15,cashaa,0.0341224,24019
2018-03-16,cashaa,0.0375494,30984.5
2018-03-17,cashaa,0.0340794,14971.599609375
2018-03-18,cashaa,0.0310069,11140.5
2018-03-19,cashaa,0.0318269,14852
2018-03-20,cashaa,0.0369078,23437.5
2018-03-21,cashaa,0.0350805,21047.69921875
2018-03-22,cashaa,0.0327269,27537.19921875
2018-03-23,cashaa,0.032204,49828.1015625
2018-03-24,cashaa,0.0319802,55368.80078125
2018-03-25,cashaa,0.0362703,46209.5
2018-03-26,cashaa,0.032244,62107.30078125
2018-03-27,cashaa,0.0327673,21108.900390625
2018-03-28,cashaa,0.0315141,27865.400390625
2018-03-29,cashaa,0.0288142,37522.6015625
2018-03-30,cashaa,0.0305677,34390.1015625
2018-03-31,cashaa,0.0389503,42720.80078125
2018-04-01,cashaa,0.0408599,44279
2018-04-02,cashaa,0.0436899,59227.5
