day,asset,close,volume
2018-01-10,cfun,0.105191,14156000
2018-01-11,cfun,0.0853692,21284800
2018-01-12,cfun,0.0989556,9304630
2018-01-13,cfun,0.078654,507955
2018-01-14,cfun,0.080678,734658
2018-01-15,cfun,0.0693407,1223790
2018-01-16,cfun,0.0491587,772053
2018-01-17,cfun,0.0399015,353240
2018-01-18,cfun,0.0447064,223455
2018-01-19,cfun,0.0419983,121914
2018-01-20,cfun,0.0588294,113828
2018-01-21,cfun,0.0452051,73255
2018-01-22,cfun,0.0399715,177600
2018-01-23,cfun,0.0352415,54846.30078125
2018-01-24,cfun,0.0440746,109802
2018-01-25,cfun,0.0443517,614862
2018-01-26,cfun,0.0477985,862559
2018-01-27,cfun,0.0494317,224726
2018-01-28,cfun,0.0448518,522876
2018-01-29,cfun,0.0431945,1201880
2018-01-30,cfun,0.0367839,1321670
2018-01-31,cfun,0.0440934,2001940
2018-02-01,cfun,0.0400168,1296760
2018-02-02,cfun,0.0301551,222426
2018-02-03,cfun,0.0332001,106404
2018-02-04,cfun,0.0313826,831223
2018-02-05,cfun,0.0229341,526507
2018-02-06,cfun,0.0265665,162404
2018-02-07,cfun,0.0255578,1136990
2018-02-08,cfun,0.0268878,285394
2018-02-09,cfun,0.0284921,365389
2018-02-10,cfun,0.0296273,333992
2018-02-11,cfun,0.0247617,813392
2018-02-12,cfun,0.0307474,1808240
2018-02-13,cfun,0.0280413,1196990
2018-02-14,cfun,0.0299249,1851570
2018-02-15,cfun,0.0309207,2263440
2018-02-16,cfun,0.0326399,2921210
2018-02-17,cfun,0.0320453,3225140
2018-02-18,cfun,0.0271116,1353940
2018-02-19,cfun,0.0308124,5401690
2018-02-20,cfun,0.0288486,2367900
2018-02-21,cfun,0.0255637,3068310
2018-02-22,cfun,0.0237964,2654340
2018-02-23,cfun,0.0257662,1487810
2018-02-24,cfun,0.0242164,2183300
2018-02-25,cfun,0.0222998,2282330
2018-02-26,cfun,0.0235354,995913
2018-02-27,cfun,0.0240921,2262740
2018-02-28,cfun,0.0233813,1947110
2018-03-01,cfun,0.024573,1502150
2018-03-02,cfun,0.0236364,2043750
2018-03-03,cfun,0.0218353,2183360
2018-03-04,cfun,0.0207618,1213420
2018-03-05,cfun,0.0196493,1405390
2018-03-06,cfun,0.0166587,1375410
2018-03-07,cfun,0.0116406,325829
2018-03-08,cfun,0.00938049,86136.5
2018-03-09,cfun,0.00837114,188700
2018-03-10,cfun,0.00651476,177496
2018-03-11,cfun,0.00894992,265905
2018-03-12,cfun,0.0085204,245775
2018-03-13,cfun,0.0087386,122160
2018-03-14,cfun,0.0075536,60605
2018-03-15,cfun,0.00775507,654877
2018-03-16,cfun,0.00702219,146524
2018-03-17,cfun,0.00671821,394930
2018-03-18,cfun,0.00524952,40376.3984375
2018-03-19,cfun,0.0087402,79154.6015625
2018-03-20,cfun,0.00611796,177276
2018-03-21,cfun,0.00670953,270564
2018-03-22,cfun,0.00633302,288196
2018-03-23,cfun,0.00554845,217624
2018-03-24,cfun,0.00608294,38385.69921875
2018-03-25,cfun,0.0060501,164792
2018-03-26,cfun,0.00528075,179664
2018-03-27,cfun,0.00573789,166846
2018-03-28,cfun,0.00543885,279394
2018-03-29,cfun,0.00503303,197892
2018-03-30,cfun,0.00506342,193025
2018-03-31,cfun,0.00503518,6792.41015625
2018-04-01,cfun,0.00483635,5962.330078125
2018-04-02,cfun,0.00555492,151727
