day,asset,close,volume
2017-07-17,civic,0.17672,9750800
2017-07-18,civic,0.175628,7932920
2017-07-19,civic,0.14317,3096710
2017-07-20,civic,0.152927,2553680
2017-07-21,civic,0.151939,1299210
2017-07-22,civic,0.187813,1828370
2017-07-23,civic,0.182603,1297280
2017-07-24,civic,0.203122,5167200
2017-07-25,civic,0.173919,2490100
2017-07-26,civic,0.173144,1086920
2017-07-27,civic,0.162523,1193380
2017-07-28,civic,0.154507,1140120
2017-07-29,civic,0.168981,617954
2017-07-30,civic,0.163244,601016
2017-07-31,civic,0.163067,633192
2017-08-01,civic,0.169814,965800
2017-08-02,civic,0.161933,917333
2017-08-03,civic,0.173523,860385
2017-08-04,civic,0.194942,1658350
2017-08-05,civic,0.211694,2692140
2017-08-06,civic,0.208471,1383270
2017-08-07,civic,0.197375,1543070
2017-08-08,civic,0.204725,1775290
2017-08-09,civic,0.22423,1663640
2017-08-10,civic,0.455159,51701100
2017-08-11,civic,0.636189,71905400
2017-08-12,civic,0.563463,30224400
2017-08-13,civic,0.726801,25452100
2017-08-14,civic,0.647281,23191200
2017-08-15,civic,0.59673,11123900
2017-08-16,civic,0.622938,11901600
2017-08-17,civic,0.56281,11211700
2017-08-18,civic,0.489716,10102400
2017-08-19,civic,0.56083,9626780
2017-08-20,civic,0.560707,8170140
2017-08-21,civic,0.4929,6230230
2017-08-22,civic,0.48771,4403160
2017-08-23,civic,0.510672,7812220
2017-08-24,civic,0.528758,8358530
2017-08-25,civic,0.511392,3269230
2017-08-26,civic,0.512205,3825960
2017-08-27,civic,0.513145,3202900
2017-08-28,civic,0.528397,5596950
2017-08-29,civic,0.538425,6538250
2017-08-30,civic,0.518152,4372520
2017-08-31,civic,0.521158,5411070
2017-09-01,civic,0.490485,5070740
2017-09-02,civic,0.440751,4603280
2017-09-03,civic,0.434601,2665590
2017-09-04,civic,0.380404,5168010
2017-09-05,civic,0.423138,4372530
2017-09-06,civic,0.444055,3002330
2017-09-07,civic,0.435786,2327450
2017-09-08,civic,0.381295,3212060
2017-09-09,civic,0.400861,1723970
2017-09-10,civic,0.493396,24241000
2017-09-11,civic,0.455897,8713800
2017-09-12,civic,0.422417,5117500
2017-09-13,civic,0.395767,3486050
2017-09-14,civic,0.306586,3020930
2017-09-15,civic,0.354097,2980950
2017-09-16,civic,0.359206,1522100
2017-09-17,civic,0.366509,1393970
2017-09-18,civic,0.425604,3767800
2017-09-19,civic,0.392402,1441530
2017-09-20,civic,0.381383,968362
2017-09-21,civic,0.325971,1596430
2017-09-22,civic,0.34216,1159450
2017-09-23,civic,0.348813,932345
2017-09-24,civic,0.344088,915894
2017-09-25,civic,0.407532,2400050
2017-09-26,civic,0.382342,2015270
2017-09-27,civic,0.43817,3435760
2017-09-28,civic,0.421131,4003030
2017-09-29,civic,0.396276,1794850
2017-09-30,civic,0.406795,1742710
2017-10-01,civic,0.389191,1352750
2017-10-02,civic,0.378324,1274070
2017-10-03,civic,0.356747,1683960
2017-10-04,civic,0.361381,1445990
2017-10-05,civic,0.357264,916245
2017-10-06,civic,0.350239,1150200
2017-10-07,civic,0.336502,1188570
2017-10-08,civic,0.29363,2174650
2017-10-09,civic,0.290862,2143930
2017-10-10,civic,0.331197,2210750
2017-10-11,civic,0.330372,1879520
2017-10-12,civic,0.334841,2374970
2017-10-13,civic,0.333237,1736880
2017-10-14,civic,0.325214,1250580
2017-10-15,civic,0.326004,809264
2017-10-16,civic,0.324898,1741720
2017-10-17,civic,0.324114,1162410
2017-10-18,civic,0.339798,1328400
2017-10-19,civic,0.325235,1359060
2017-10-20,civic,0.33828,4161900
2017-10-21,civic,0.314041,1671120
2017-10-22,civic,0.301218,1787080
2017-10-23,civic,0.299039,4158060
2017-10-24,civic,0.333547,4614250
2017-10-25,civic,0.308155,1463440
2017-10-26,civic,0.315954,1936510
2017-10-27,civic,0.298272,2194740
2017-10-28,civic,0.304418,1024230
2017-10-29,civic,0.325195,8122790
2017-10-30,civic,0.351004,4276360
2017-10-31,civic,0.351524,4477810
2017-11-01,civic,0.30493,3011650
2017-11-02,civic,0.280457,2949440
2017-11-03,civic,0.291119,1929280
2017-11-04,civic,0.294734,1133490
2017-11-05,civic,0.29326,864493
2017-11-06,civic,0.290517,1727980
2017-11-07,civic,0.28918,1069900
2017-11-08,civic,0.309467,4968840
2017-11-09,civic,0.315095,2248450
2017-11-10,civic,0.283352,1598880
2017-11-11,civic,0.275242,1422900
2017-11-12,civic,0.268403,3091960
2017-11-13,civic,0.28214,2218070
2017-11-14,civic,0.286186,1310850
2017-11-15,civic,0.291401,1824740
2017-11-16,civic,0.283301,4720710
2017-11-17,civic,0.273207,2245460
2017-11-18,civic,0.281262,1249320
2017-11-19,civic,0.295572,2102940
2017-11-20,civic,0.314852,16029800
2017-11-21,civic,0.304136,2540700
2017-11-22,civic,0.305603,2358700
2017-11-23,civic,0.314825,2814990
2017-11-24,civic,0.324429,2354040
2017-11-25,civic,0.339592,2663010
2017-11-26,civic,0.345944,3359780
2017-11-27,civic,0.356117,2737270
2017-11-28,civic,0.345966,3991740
2017-11-29,civic,0.268847,3906220
2017-11-30,civic,0.293578,2299640
2017-12-01,civic,0.309329,1923460
2017-12-02,civic,0.306496,2191650
2017-12-03,civic,0.326767,6129390
2017-12-04,civic,0.403178,7555250
2017-12-05,civic,0.398387,11119400
2017-12-06,civic,0.349948,6745530
2017-12-07,civic,0.297476,5701890
2017-12-08,civic,0.292517,4057130
2017-12-09,civic,0.304354,3315750
2017-12-10,civic,0.285519,2726510
2017-12-11,civic,0.326224,4467000
2017-12-12,civic,0.359601,13456200
2017-12-13,civic,0.35915,5153920
2017-12-14,civic,0.463335,19093400
2017-12-15,civic,0.41998,16070000
2017-12-16,civic,0.420824,10484400
2017-12-17,civic,0.45739,11491700
2017-12-18,civic,0.578776,16799500
2017-12-19,civic,0.587545,21439800
2017-12-20,civic,0.637924,14772900
2017-12-21,civic,0.705089,22480900
2017-12-22,civic,0.537883,14321700
2017-12-23,civic,0.666228,16799800
2017-12-24,civic,0.788419,16964500
2017-12-25,civic,0.961668,165316000
2017-12-26,civic,1.00598,49257800
2017-12-27,civic,0.969022,27191100
2017-12-28,civic,0.897079,24238700
2017-12-29,civic,0.948419,37251600
2017-12-30,civic,0.793762,18738300
2017-12-31,civic,0.864755,17690000
2018-01-01,civic,0.906649,19144800
2018-01-02,civic,1.08065,47442300
2018-01-03,civic,1.34789,80342304
