day,asset,close,volume
2017-10-01,cobinhood,0.0516572,41445.6015625
2017-10-02,cobinhood,0.04573,102164
2017-10-03,cobinhood,0.0530662,60750.5
2017-10-04,cobinhood,0.0554848,47853.6015625
2017-10-05,cobinhood,0.0582339,47460.69921875
2017-10-06,cobinhood,0.066364,55101.5
2017-10-07,cobinhood,0.0593658,58419.5
2017-10-08,cobinhood,0.0560083,81603.1015625
2017-10-09,cobinhood,0.062204,40605.6015625
2017-10-10,cobinhood,0.059731,57519.1015625
2017-10-11,cobinhood,0.0711469,41505
2017-10-12,cobinhood,0.0641344,34159.5
2017-10-13,cobinhood,0.0549771,13234.599609375
2017-10-14,cobinhood,0.0655593,16458.099609375
2017-10-15,cobinhood,0.0534653,27118.30078125
2017-10-16,cobinhood,0.0486379,33266.30078125
2017-10-17,cobinhood,0.0523943,99115.5
2017-10-18,cobinhood,0.0553522,116894
2017-10-19,cobinhood,0.0607917,44674.6015625
2017-10-20,cobinhood,0.0605307,151363
2017-10-21,cobinhood,0.0598414,160161
2017-10-22,cobinhood,0.0692515,271732
2017-10-23,cobinhood,0.0490585,141242
2017-10-24,cobinhood,0.0756737,135025
2017-10-25,cobinhood,0.0493861,168393
2017-10-26,cobinhood,0.0528023,57735.3984375
2017-10-27,cobinhood,0.0532669,52456.3984375
2017-10-28,cobinhood,0.0581149,58318
2017-10-29,cobinhood,0.0574758,33765
2017-10-30,cobinhood,0.0648222,135062
2017-10-31,cobinhood,0.0562302,64205.19921875
2017-11-01,cobinhood,0.0479595,79227.6015625
2017-11-02,cobinhood,0.0464399,38337
2017-11-03,cobinhood,0.0519934,54402.30078125
2017-11-04,cobinhood,0.052931,24788.30078125
2017-11-05,cobinhood,0.0520716,21507.5
2017-11-06,cobinhood,0.0487198,34093.30078125
2017-11-07,cobinhood,0.0501656,53843.6015625
2017-11-08,cobinhood,0.0685763,120575
2017-11-09,cobinhood,0.0646563,125663
2017-11-10,cobinhood,0.0632103,58773.6015625
2017-11-11,cobinhood,0.0680172,141164
2017-11-12,cobinhood,0.06088,58055.5
2017-11-13,cobinhood,0.0683656,79651.5
2017-11-14,cobinhood,0.0701576,137297
2017-11-15,cobinhood,0.0725463,76588.5
2017-11-16,cobinhood,0.0682055,44699.19921875
2017-11-17,cobinhood,0.0675858,68414.703125
2017-11-18,cobinhood,0.0662122,70447
2017-11-19,cobinhood,0.076993,34756.80078125
2017-11-20,cobinhood,0.066692,42849.6015625
2017-11-21,cobinhood,0.0795372,79929.8984375
2017-11-22,cobinhood,0.0986543,194565
2017-11-23,cobinhood,0.112994,279304
2017-11-24,cobinhood,0.128956,126458
2017-11-25,cobinhood,0.129511,153692
2017-11-26,cobinhood,0.119121,252495
2017-11-27,cobinhood,0.133885,304647
2017-11-28,cobinhood,0.133478,206522
2017-11-29,cobinhood,0.112566,149848
2017-11-30,cobinhood,0.126069,186285
2017-12-01,cobinhood,0.181088,434455
2017-12-02,cobinhood,0.204256,320065
2017-12-03,cobinhood,0.201983,218934
2017-12-04,cobinhood,0.196665,188618
2017-12-05,cobinhood,0.202633,121596
2017-12-06,cobinhood,0.237007,244908
2017-12-07,cobinhood,0.20648,217984
2017-12-08,cobinhood,0.233939,321942
2017-12-09,cobinhood,0.245984,162000
2017-12-10,cobinhood,0.221234,294983
2017-12-11,cobinhood,0.267838,379159
2017-12-12,cobinhood,0.273822,340635
2017-12-13,cobinhood,0.284913,360995
2017-12-14,cobinhood,0.335663,435968
2017-12-15,cobinhood,0.356701,674341
2017-12-16,cobinhood,0.336818,423320
2017-12-17,cobinhood,0.486543,831700
2017-12-18,cobinhood,0.252297,1311610
2017-12-19,cobinhood,0.262658,423546
2017-12-20,cobinhood,0.230615,241827
2017-12-21,cobinhood,0.22379,76492.8984375
2017-12-22,cobinhood,0.194372,107931
2017-12-23,cobinhood,0.21194,131739
2017-12-24,cobinhood,0.206382,143257
2017-12-25,cobinhood,0.232086,198431
2017-12-26,cobinhood,0.213556,116562
2017-12-27,cobinhood,0.194923,161995
2017-12-28,cobinhood,0.184972,81311.8984375
2017-12-29,cobinhood,0.190533,132015
2017-12-30,cobinhood,0.168732,68056.703125
2017-12-31,cobinhood,0.161625,149230
2018-01-01,cobinhood,0.192311,65848.703125
2018-01-02,cobinhood,0.207061,146640
2018-01-03,cobinhood,0.224264,124939
2018-01-04,cobinhood,0.276256,183369
2018-01-05,cobinhood,0.340578,85903
2018-01-06,cobinhood,0.525586,313089
2018-01-07,cobinhood,0.68586,580160
2018-01-08,cobinhood,1.26435,954057
2018-01-09,cobinhood,1.38921,1146120
2018-01-10,cobinhood,1.33593,805367
2018-01-11,cobinhood,1.0543,4850300
2018-01-12,cobinhood,1.2958,5534630
2018-01-13,cobinhood,1.26833,3447470
2018-01-14,cobinhood,1.07421,1844420
2018-01-15,cobinhood,0.880835,2447650
2018-01-16,cobinhood,0.653168,2757090
2018-01-17,cobinhood,0.614982,1993290
2018-01-18,cobinhood,0.6826,1698460
2018-01-19,cobinhood,0.676663,1218540
2018-01-20,cobinhood,0.701123,1220450
2018-01-21,cobinhood,0.496941,967855
2018-01-22,cobinhood,0.458399,1198080
2018-01-23,cobinhood,0.468319,806388
2018-01-24,cobinhood,0.458798,861495
2018-01-25,cobinhood,0.35511,1296650
2018-01-26,cobinhood,0.480412,3665660
2018-01-27,cobinhood,0.50714,2071680
2018-01-28,cobinhood,0.468775,1047460
2018-01-29,cobinhood,0.441662,503995
2018-01-30,cobinhood,0.38498,700789
2018-01-31,cobinhood,0.354368,582455
2018-02-01,cobinhood,0.296453,620498
2018-02-02,cobinhood,0.241651,1103100
2018-02-03,cobinhood,0.287732,833449
2018-02-04,cobinhood,0.237603,312599
2018-02-05,cobinhood,0.188804,340562
2018-02-06,cobinhood,0.213383,399148
