day,asset,close,volume
2017-07-03,crypto-com,2.47004,1549870
2017-07-04,crypto-com,2.27846,773818
2017-07-05,crypto-com,1.89542,653723
2017-07-06,crypto-com,1.96953,670365
2017-07-07,crypto-com,1.5578,654395
2017-07-08,crypto-com,1.33028,391741
2017-07-09,crypto-com,1.35529,431973
2017-07-10,crypto-com,0.965658,451442
2017-07-11,crypto-com,0.843858,281620
2017-07-12,crypto-com,0.986273,233077
2017-07-13,crypto-com,0.88001,172549
2017-07-14,crypto-com,0.79931,181284
2017-07-15,crypto-com,0.713138,113408
2017-07-16,crypto-com,0.694733,128438
2017-07-17,crypto-com,0.776766,176404
2017-07-18,crypto-com,0.841497,159849
2017-07-19,crypto-com,1.36411,1366330
2017-07-20,crypto-com,1.107,804218
2017-07-21,crypto-com,1.04326,296253
2017-07-22,crypto-com,1.05288,196256
2017-07-23,crypto-com,1.12794,195304
2017-07-24,crypto-com,1.16261,185499
2017-07-25,crypto-com,0.966167,158187
2017-07-26,crypto-com,0.922468,163599
2017-07-27,crypto-com,0.949521,121238
2017-07-28,crypto-com,0.908533,156927
2017-07-29,crypto-com,0.908091,116796
2017-07-30,crypto-com,0.910783,127885
2017-07-31,crypto-com,0.890753,129760
2017-08-01,crypto-com,0.875193,165041
2017-08-02,crypto-com,0.914928,213220
2017-08-03,crypto-com,0.882777,180452
2017-08-04,crypto-com,1.11313,378110
2017-08-05,crypto-com,1.26064,432594
2017-08-06,crypto-com,1.54272,837340
2017-08-07,crypto-com,1.51783,543978
2017-08-08,crypto-com,1.50578,301153
2017-08-09,crypto-com,1.51756,338962
2017-08-10,crypto-com,1.31,385527
2017-08-11,crypto-com,2.39632,1614190
2017-08-12,crypto-com,3.6127,14989400
2017-08-13,crypto-com,3.73447,3024170
2017-08-14,crypto-com,3.6252,1679160
2017-08-15,crypto-com,2.8571,1453720
2017-08-16,crypto-com,7.65005,18479900
2017-08-17,crypto-com,12.2274,64210600
2017-08-18,crypto-com,8.39731,16530900
2017-08-19,crypto-com,12.2205,16348300
2017-08-20,crypto-com,14.0937,14718500
2017-08-21,crypto-com,12.7435,8452930
2017-08-22,crypto-com,12.3732,5874250
2017-08-23,crypto-com,10.2418,15488900
2017-08-24,crypto-com,9.99147,7732510
2017-08-25,crypto-com,10.1644,8583830
2017-08-26,crypto-com,16.0978,33601800
2017-08-27,crypto-com,15.4679,28778700
2017-08-28,crypto-com,22.8853,58269000
2017-08-29,crypto-com,21.1696,81750600
2017-08-30,crypto-com,17.3856,57013700
2017-08-31,crypto-com,12.4004,59971000
2017-09-01,crypto-com,11.3142,24546700
2017-09-02,crypto-com,9.20395,9749270
2017-09-03,crypto-com,12.7346,23571900
2017-09-04,crypto-com,9.70516,15391900
2017-09-05,crypto-com,9.84269,5635230
2017-09-06,crypto-com,9.79951,5145610
2017-09-07,crypto-com,10.4063,7382850
2017-09-08,crypto-com,9.6999,11271300
2017-09-09,crypto-com,9.38116,2219480
2017-09-10,crypto-com,8.96892,1836490
2017-09-11,crypto-com,8.72779,2342490
2017-09-12,crypto-com,8.54266,2598140
2017-09-13,crypto-com,7.43614,2944550
2017-09-14,crypto-com,5.5846,2786640
2017-09-15,crypto-com,7.44211,4663370
2017-09-16,crypto-com,7.25462,2602430
2017-09-17,crypto-com,7.03447,1785280
2017-09-18,crypto-com,8.63244,3882530
2017-09-19,crypto-com,9.20312,9765960
2017-09-20,crypto-com,8.448,3695410
2017-09-21,crypto-com,7.28469,2729480
2017-09-22,crypto-com,7.35572,2841450
2017-09-23,crypto-com,7.99463,2867030
2017-09-24,crypto-com,7.8146,2504480
2017-09-25,crypto-com,8.61573,3043580
2017-09-26,crypto-com,8.98361,4659960
2017-09-27,crypto-com,10.1399,4375980
2017-09-28,crypto-com,9.56668,8302300
2017-09-29,crypto-com,7.92013,11529000
2017-09-30,crypto-com,8.53158,6236030
2017-10-01,crypto-com,8.13539,5081410
2017-10-02,crypto-com,7.54169,6111270
2017-10-03,crypto-com,7.39962,4247050
2017-10-04,crypto-com,7.23017,3704050
2017-10-05,crypto-com,7.17283,3349890
2017-10-06,crypto-com,7.20245,3646450
2017-10-07,crypto-com,7.49768,3782920
2017-10-08,crypto-com,6.83516,3249680
2017-10-09,crypto-com,8.19748,8499940
2017-10-10,crypto-com,8.36506,4487230
2017-10-11,crypto-com,8.01657,3986640
2017-10-12,crypto-com,7.38003,2850650
2017-10-13,crypto-com,7.35734,3483660
2017-10-14,crypto-com,7.45101,1825130
2017-10-15,crypto-com,7.51247,2029810
2017-10-16,crypto-com,9.62357,5558330
2017-10-17,crypto-com,9.20245,4983530
2017-10-18,crypto-com,8.30046,7851700
2017-10-19,crypto-com,7.66752,2938610
2017-10-20,crypto-com,7.67066,3622890
2017-10-21,crypto-com,7.80201,2441520
2017-10-22,crypto-com,8.56365,2501580
2017-10-23,crypto-com,7.82733,2838710
2017-10-24,crypto-com,8.12839,3381420
2017-10-25,crypto-com,7.93137,2415220
2017-10-26,crypto-com,7.90248,2358030
2017-10-27,crypto-com,7.44972,2421950
2017-10-28,crypto-com,8.16524,3197030
2017-10-29,crypto-com,8.83002,4463790
2017-10-30,crypto-com,8.8978,2908840
2017-10-31,crypto-com,6.80137,29207500
2017-11-01,crypto-com,5.79101,15184300
2017-11-02,crypto-com,5.59748,11805900
2017-11-03,crypto-com,6.12475,5755960
2017-11-04,crypto-com,5.82744,2769940
2017-11-05,crypto-com,5.65871,2390540
2017-11-06,crypto-com,6.00725,4257140
2017-11-07,crypto-com,5.74126,2186220
2017-11-08,crypto-com,6.09095,4240460
2017-11-09,crypto-com,7.29744,6628010
2017-11-10,crypto-com,5.89521,4250140
2017-11-11,crypto-com,5.83553,2883190
2017-11-12,crypto-com,4.97727,5002240
2017-11-13,crypto-com,6.45454,7888550
2017-11-14,crypto-com,6.16831,6413250
2017-11-15,crypto-com,6.15233,3715200
2017-11-16,crypto-com,5.52759,3665630
2017-11-17,crypto-com,5.25337,3325690
2017-11-18,crypto-com,5.68239,3224820
2017-11-19,crypto-com,5.57555,2767710
2017-11-20,crypto-com,5.58002,2900050
2017-11-21,crypto-com,5.27348,3298660
2017-11-22,crypto-com,5.3565,2729280
2017-11-23,crypto-com,5.72467,5807690
2017-11-24,crypto-com,5.76669,3972440
2017-11-25,crypto-com,6.21138,3050850
