day,asset,close,volume
2017-12-06,cybermiles,0.180608,12580000
2017-12-07,cybermiles,0.168071,7124640
2017-12-08,cybermiles,0.162987,7177780
2017-12-09,cybermiles,0.243881,20293600
2017-12-10,cybermiles,0.224356,6854540
2017-12-11,cybermiles,0.215209,8665320
2017-12-12,cybermiles,0.192794,12152100
2017-12-13,cybermiles,0.182052,8055430
2017-12-14,cybermiles,0.185171,10507100
2017-12-15,cybermiles,0.181003,10288300
2017-12-16,cybermiles,0.193484,12547100
2017-12-17,cybermiles,0.217708,18253800
2017-12-18,cybermiles,0.226219,12433900
2017-12-19,cybermiles,0.251326,19793900
2017-12-20,cybermiles,0.214626,6068280
2017-12-21,cybermiles,0.205286,6496440
2017-12-22,cybermiles,0.173405,4589330
2017-12-23,cybermiles,0.184949,4002350
2017-12-24,cybermiles,0.179615,3317920
2017-12-25,cybermiles,0.179031,4089140
2017-12-26,cybermiles,0.180764,5921930
2017-12-27,cybermiles,0.18843,6040750
2017-12-28,cybermiles,0.215816,15648200
2017-12-29,cybermiles,0.229937,17735100
2017-12-30,cybermiles,0.21269,24939400
2017-12-31,cybermiles,0.235751,10047700
2018-01-01,cybermiles,0.256598,12897000
2018-01-02,cybermiles,0.325625,30638800
2018-01-03,cybermiles,0.543118,69813200
2018-01-04,cybermiles,0.483815,46547400
2018-01-05,cybermiles,0.406133,41059000
2018-01-06,cybermiles,0.46207,34546400
2018-01-07,cybermiles,0.562675,62683500
2018-01-08,cybermiles,0.49942,40384200
2018-01-09,cybermiles,0.510088,38608600
2018-01-10,cybermiles,0.484114,28222200
2018-01-11,cybermiles,0.408958,27709800
2018-01-12,cybermiles,0.397146,20777800
2018-01-13,cybermiles,0.406538,20625600
2018-01-14,cybermiles,0.390473,18605400
2018-01-15,cybermiles,0.325695,17361100
2018-01-16,cybermiles,0.247402,16667000
2018-01-17,cybermiles,0.260434,13843800
2018-01-18,cybermiles,0.273528,16317500
2018-01-19,cybermiles,0.28477,13437600
2018-01-20,cybermiles,0.348602,13614100
2018-01-21,cybermiles,0.272114,8831140
2018-01-22,cybermiles,0.259177,11549800
2018-01-23,cybermiles,0.262009,8845750
2018-01-24,cybermiles,0.265287,11251300
2018-01-25,cybermiles,0.269339,10485800
2018-01-26,cybermiles,0.262113,11217600
2018-01-27,cybermiles,0.266857,8485130
2018-01-28,cybermiles,0.316138,29756700
2018-01-29,cybermiles,0.341233,48013800
2018-01-30,cybermiles,0.271982,18459700
2018-01-31,cybermiles,0.279526,17365200
2018-02-01,cybermiles,0.244026,15734500
2018-02-02,cybermiles,0.228732,9265530
2018-02-03,cybermiles,0.273091,15820900
2018-02-04,cybermiles,0.202964,13932000
2018-02-05,cybermiles,0.15254,7530130
2018-02-06,cybermiles,0.174328,8043680
2018-02-07,cybermiles,0.158416,7915700
2018-02-08,cybermiles,0.183351,6895200
2018-02-09,cybermiles,0.188848,6204850
2018-02-10,cybermiles,0.185644,8989820
2018-02-11,cybermiles,0.176229,5822840
2018-02-12,cybermiles,0.183933,5668740
2018-02-13,cybermiles,0.181807,5251020
2018-02-14,cybermiles,0.188088,6978180
2018-02-15,cybermiles,0.188782,6052130
2018-02-16,cybermiles,0.196149,7061530
2018-02-17,cybermiles,0.205195,5597490
2018-02-18,cybermiles,0.190865,7172180
2018-02-19,cybermiles,0.191368,5218510
2018-02-20,cybermiles,0.183875,5134690
2018-02-21,cybermiles,0.165908,4919850
2018-02-22,cybermiles,0.155471,4529320
2018-02-23,cybermiles,0.159356,6525790
2018-02-24,cybermiles,0.157268,6394310
2018-02-25,cybermiles,0.15599,4685180
2018-02-26,cybermiles,0.154249,2849820
2018-02-27,cybermiles,0.150822,3334400
2018-02-28,cybermiles,0.138069,5315590
2018-03-01,cybermiles,0.141636,5836440
2018-03-02,cybermiles,0.136927,4619810
2018-03-03,cybermiles,0.13753,4366680
2018-03-04,cybermiles,0.141136,5649420
2018-03-05,cybermiles,0.129624,7104010
2018-03-06,cybermiles,0.134323,18816300
2018-03-07,cybermiles,0.111259,12311200
2018-03-08,cybermiles,0.102726,3887740
2018-03-09,cybermiles,0.0946397,3906630
2018-03-10,cybermiles,0.0897963,2704430
2018-03-11,cybermiles,0.0964605,3780490
2018-03-12,cybermiles,0.092202,9301120
2018-03-13,cybermiles,0.0929005,4918870
2018-03-14,cybermiles,0.083974,4621600
2018-03-15,cybermiles,0.0813404,4408090
2018-03-16,cybermiles,0.0801849,3525340
2018-03-17,cybermiles,0.0740594,3082260
2018-03-18,cybermiles,0.0723396,4344780
2018-03-19,cybermiles,0.0779304,3865440
2018-03-20,cybermiles,0.0820802,5845100
2018-03-21,cybermiles,0.0859546,12730600
2018-03-22,cybermiles,0.0897317,10522100
2018-03-23,cybermiles,0.0991999,18228600
2018-03-24,cybermiles,0.0972674,13852500
2018-03-25,cybermiles,0.0942922,11000400
2018-03-26,cybermiles,0.0989149,9451360
2018-03-27,cybermiles,0.101049,12712400
2018-03-28,cybermiles,0.101473,14682400
2018-03-29,cybermiles,0.106288,28578900
2018-03-30,cybermiles,0.0899781,13258700
2018-03-31,cybermiles,0.0814729,14082200
2018-04-01,cybermiles,0.0746037,15330600
2018-04-02,cybermiles,0.0794555,10490500
