day,asset,close,volume
2017-03-30,databits,0.102633,86.68460083007812
2017-03-31,databits,0.160779,36001.8984375
2017-04-01,databits,0.238102,500289
2017-04-02,databits,0.215377,280407
2017-04-03,databits,0.198324,165342
2017-04-04,databits,0.196106,44594.69921875
2017-04-05,databits,0.193751,40296.6015625
2017-04-06,databits,0.204692,54566
2017-04-07,databits,0.211027,43521
2017-04-08,databits,0.198905,25345.5
2017-04-09,databits,0.203945,22907.80078125
2017-04-10,databits,0.21383,20925
2017-04-11,databits,0.204888,47197.30078125
2017-04-12,databits,0.216532,17118.5
2017-04-13,databits,0.25709,49199.19921875
2017-04-14,databits,0.269099,62980.3984375
2017-04-15,databits,0.311898,79716.203125
2017-04-16,databits,0.359773,111362
2017-04-17,databits,0.370632,184301
2017-04-18,databits,0.383561,118644
2017-04-19,databits,0.389937,26535.19921875
2017-04-20,databits,0.343214,79685.3984375
2017-04-21,databits,0.390753,37625.6015625
2017-04-22,databits,0.385939,33242.3984375
2017-04-23,databits,0.350153,24324.5
2017-04-24,databits,0.372795,14712.599609375
2017-04-25,databits,0.341623,25282.80078125
2017-04-26,databits,0.383043,61631.6015625
2017-04-27,databits,0.353876,28171.30078125
2017-04-28,databits,0.37519,27870.5
2017-04-29,databits,0.468817,299629
2017-04-30,databits,0.444804,62365.8984375
2017-05-01,databits,0.398048,103675
2017-05-02,databits,0.43034,71630.796875
2017-05-03,databits,0.461928,50401.1015625
2017-05-04,databits,0.473464,81714.5
2017-05-05,databits,0.471055,85264
2017-05-06,databits,0.533271,50296.80078125
2017-05-07,databits,0.464645,77946.296875
2017-05-08,databits,0.5342,99319.3984375
2017-05-09,databits,0.5096,78838
2017-05-10,databits,0.474536,105476
2017-05-11,databits,0.501998,97229.6015625
2017-05-12,databits,0.519196,67416.8984375
2017-05-13,databits,0.531008,39205.69921875
2017-05-14,databits,0.562962,44851
2017-05-15,databits,0.534539,109760
2017-05-16,databits,0.486963,53963.8984375
2017-05-17,databits,0.565673,87885.8984375
2017-05-18,databits,0.693352,99689
2017-05-19,databits,0.628676,355020
2017-05-20,databits,0.616971,71793.5
2017-05-21,databits,0.693113,49494.8984375
2017-05-22,databits,0.749275,59703.30078125
2017-05-23,databits,0.86381,97329.796875
2017-05-24,databits,0.82798,432980
2017-05-25,databits,0.694928,207087
2017-05-26,databits,0.802453,130832
2017-05-27,databits,0.760713,130570
2017-05-28,databits,0.786388,148229
2017-05-29,databits,0.846773,200113
2017-05-30,databits,0.798264,198971
2017-05-31,databits,0.770635,93319.703125
2017-06-01,databits,0.808058,140177
2017-06-02,databits,0.843349,136244
2017-06-03,databits,0.88999,190516
2017-06-04,databits,0.893078,203196
2017-06-05,databits,1.22778,1093630
2017-06-06,databits,1.30397,1017750
2017-06-07,databits,1.26817,316762
2017-06-08,databits,1.40287,192424
2017-06-09,databits,1.48386,287538
2017-06-10,databits,1.35578,331132
2017-06-11,databits,1.48952,283583
2017-06-12,databits,1.23638,384195
2017-06-13,databits,1.38081,323801
2017-06-14,databits,1.03332,882277
2017-06-15,databits,1.03732,646081
2017-06-16,databits,1.0006,401972
2017-06-17,databits,0.953985,228990
2017-06-18,databits,0.978035,187264
2017-06-19,databits,0.899282,348960
2017-06-20,databits,0.875418,272754
2017-06-21,databits,0.814803,192768
2017-06-22,databits,0.920199,161395
2017-06-23,databits,0.897259,229704
2017-06-24,databits,0.880252,169445
2017-06-25,databits,0.812596,128307
2017-06-26,databits,0.729477,186823
2017-06-27,databits,0.683548,114833
2017-06-28,databits,0.779591,200581
2017-06-29,databits,0.682311,151175
2017-06-30,databits,0.711925,335629
2017-07-01,databits,0.664175,119752
2017-07-02,databits,0.657253,95467.8984375
2017-07-03,databits,0.709584,41338.30078125
2017-07-04,databits,0.800642,89352.5
2017-07-05,databits,0.734538,100704
2017-07-06,databits,0.765431,57312.3984375
2017-07-07,databits,0.691573,139114
2017-07-08,databits,0.642554,105832
2017-07-09,databits,0.639864,30760.599609375
2017-07-10,databits,0.46243,167116
2017-07-11,databits,0.502346,104766
2017-07-12,databits,0.51846,95720
2017-07-13,databits,0.48429,30820.599609375
2017-07-14,databits,0.499753,61314.30078125
2017-07-15,databits,0.457963,53473.80078125
2017-07-16,databits,0.394637,24951.900390625
2017-07-17,databits,0.463385,45471.69921875
2017-07-18,databits,0.570187,43770.1015625
2017-07-19,databits,0.565544,72144.796875
2017-07-20,databits,0.627796,100074
2017-07-21,databits,0.581102,15222.7001953125
2017-07-22,databits,0.633453,30864.900390625
2017-07-23,databits,0.630632,16171.7998046875
2017-07-24,databits,0.673051,31708.900390625
2017-07-25,databits,0.511258,52788.1015625
2017-07-26,databits,0.523976,63429
2017-07-27,databits,0.52029,29960.19921875
2017-07-28,databits,0.494881,54310.30078125
2017-07-29,databits,0.549055,26742.900390625
2017-07-30,databits,0.549662,58949.3984375
2017-07-31,databits,0.545549,25278.69921875
2017-08-01,databits,0.636054,83465.5
2017-08-02,databits,0.57924,21165.30078125
2017-08-03,databits,0.669044,49921
2017-08-04,databits,0.632605,94969.296875
2017-08-05,databits,0.760825,101966
2017-08-06,databits,0.893947,220532
2017-08-07,databits,0.883174,828848
2017-08-08,databits,0.920538,369175
2017-08-09,databits,0.876982,111273
2017-08-10,databits,0.79254,274510
2017-08-11,databits,0.942048,349798
2017-08-12,databits,0.996482,153790
2017-08-13,databits,0.894608,174472
2017-08-14,databits,0.841026,185731
2017-08-15,databits,0.799376,141580
2017-08-16,databits,0.849719,61151.8984375
2017-08-17,databits,0.906625,140632
2017-08-18,databits,0.867634,114047
2017-08-19,databits,0.999541,308272
2017-08-20,databits,1.01698,80206.5
2017-08-21,databits,0.952296,139665
2017-08-22,databits,0.941716,197033
2017-08-23,databits,0.912091,59440.19921875
2017-08-24,databits,0.912249,48908.19921875
2017-08-25,databits,0.884652,134661
2017-08-26,databits,0.855729,98155
2017-08-27,databits,0.835074,164874
2017-08-28,databits,0.882552,75041.796875
2017-08-29,databits,0.831333,237790
2017-08-30,databits,0.790972,168584
2017-08-31,databits,0.871474,127328
2017-09-01,databits,0.895288,230894
2017-09-02,databits,0.734997,78358.6015625
2017-09-03,databits,0.779932,160661
2017-09-04,databits,0.619577,115787
2017-09-05,databits,0.666662,54156.5
2017-09-06,databits,0.68162,73135
2017-09-07,databits,0.67274,45245
2017-09-08,databits,0.613676,74037.203125
2017-09-09,databits,0.609896,41929.8984375
2017-09-10,databits,0.574754,51358.8984375
2017-09-11,databits,0.531087,61716.6015625
2017-09-12,databits,0.511448,58927.19921875
2017-09-13,databits,0.441005,95238.796875
2017-09-14,databits,0.334832,56952
2017-09-15,databits,0.502994,426931
2017-09-16,databits,0.506287,528250
2017-09-17,databits,0.470255,74266.296875
2017-09-18,databits,0.514634,78321.6015625
2017-09-19,databits,0.516657,251920
2017-09-20,databits,0.491102,57963.6015625
2017-09-21,databits,0.459474,50705.8984375
2017-09-22,databits,0.438799,38268.3984375
2017-09-23,databits,0.471596,19016
2017-09-24,databits,0.512227,179849
2017-09-25,databits,0.517641,73322.796875
2017-09-26,databits,0.517259,25558.80078125
2017-09-27,databits,0.552339,39677.69921875
2017-09-28,databits,0.549662,46344.30078125
2017-09-29,databits,0.559062,59911.5
2017-09-30,databits,0.567085,68818.703125
2017-10-01,databits,0.580189,133486
2017-10-02,databits,0.562266,57901.69921875
2017-10-03,databits,0.519448,73602.3984375
2017-10-04,databits,0.503665,40408.5
2017-10-05,databits,0.497267,36975.19921875
2017-10-06,databits,0.48241,18468
2017-10-07,databits,0.455889,32937.19921875
2017-10-08,databits,0.40568,53012.30078125
2017-10-09,databits,0.412382,37935
2017-10-10,databits,0.443011,156646
2017-10-11,databits,0.478213,14848
2017-10-12,databits,0.477265,95636.203125
2017-10-13,databits,0.434008,26293.099609375
2017-10-14,databits,0.449225,11262
2017-10-15,databits,0.448405,100776
2017-10-16,databits,0.477855,49415.30078125
2017-10-17,databits,0.463092,36592.30078125
2017-10-18,databits,0.476625,94128.703125
2017-10-19,databits,0.462803,38816.69921875
2017-10-20,databits,0.41583,25075.900390625
2017-10-21,databits,0.363103,43135.30078125
2017-10-22,databits,0.361913,30158.599609375
2017-10-23,databits,0.338506,14760.2001953125
2017-10-24,databits,0.361309,56531.1015625
2017-10-25,databits,0.361424,40025.1015625
2017-10-26,databits,0.380318,141072
2017-10-27,databits,0.402341,68832.6015625
2017-10-28,databits,0.400586,25710.19921875
2017-10-29,databits,0.422418,59758.19921875
2017-10-30,databits,0.388914,57580.6015625
2017-10-31,databits,0.389504,106886
2017-11-01,databits,0.386631,41517.8984375
2017-11-02,databits,0.332494,100268
2017-11-03,databits,0.363441,23708.80078125
2017-11-04,databits,0.400359,25057
2017-11-05,databits,0.43775,68849.6015625
2017-11-06,databits,0.40927,73086.703125
2017-11-07,databits,0.484735,799019
2017-11-08,databits,0.484545,816566
2017-11-09,databits,0.489517,175835
2017-11-10,databits,0.421638,60623.1015625
2017-11-11,databits,0.39895,56879.5
2017-11-12,databits,0.344648,44895
2017-11-13,databits,0.3877,27467.5
2017-11-14,databits,0.376754,15766.7001953125
2017-11-15,databits,0.40089,19194.30078125
2017-11-16,databits,0.400738,127198
2017-11-17,databits,0.381263,37998.1015625
2017-11-18,databits,0.376806,37181.1015625
2017-11-19,databits,0.386665,40319.8984375
2017-11-20,databits,0.418011,222895
2017-11-21,databits,0.600437,1467620
2017-11-22,databits,0.769628,542870
2017-11-23,databits,0.664929,324698
2017-11-24,databits,0.655495,86919
2017-11-25,databits,0.63977,165900
2017-11-26,databits,0.647366,52911.69921875
2017-11-27,databits,0.678777,205810
2017-11-28,databits,0.644677,184238
2017-11-29,databits,0.555728,149597
2017-11-30,databits,0.569577,42638.80078125
2017-12-01,databits,0.650567,57927.8984375
2017-12-02,databits,0.705404,207713
2017-12-03,databits,0.715304,76613.8984375
2017-12-04,databits,0.809917,194143
2017-12-05,databits,0.75063,105380
2017-12-06,databits,0.87703,145218
2017-12-07,databits,0.89223,318762
2017-12-08,databits,0.842502,124860
2017-12-09,databits,0.841698,135690
2017-12-10,databits,0.716147,353490
2017-12-11,databits,0.795184,171709
2017-12-12,databits,0.828728,201367
2017-12-13,databits,0.936572,163434
2017-12-14,databits,0.913602,423392
2017-12-15,databits,1.13733,354831
2017-12-16,databits,1.06067,405792
2017-12-17,databits,1.05596,358227
2017-12-18,databits,1.13744,175520
2017-12-19,databits,1.03348,267981
2017-12-20,databits,1.09409,310393
2017-12-21,databits,1.09126,355582
2017-12-22,databits,0.885893,107638
2017-12-23,databits,1.11601,390666
2017-12-24,databits,1.10463,179609
2017-12-25,databits,1.19466,292201
2017-12-26,databits,1.21877,506992
2017-12-27,databits,1.09724,372816
2017-12-28,databits,1.15008,438915
2017-12-29,databits,1.29729,327219
2017-12-30,databits,1.03662,179943
2017-12-31,databits,1.2011,221840
2018-01-01,databits,1.43428,1967510
2018-01-02,databits,1.48626,1138900
2018-01-03,databits,1.70461,1075130
2018-01-04,databits,1.56578,766132
2018-01-05,databits,1.38658,483576
2018-01-06,databits,1.53347,317227
2018-01-07,databits,1.66955,572070
2018-01-08,databits,1.64194,1240080
2018-01-09,databits,1.97093,3465360
2018-01-10,databits,2.0564,1055840
2018-01-11,databits,1.65823,422199
2018-01-12,databits,2.22915,1403190
2018-01-13,databits,2.06282,806840
2018-01-14,databits,1.93825,314433
2018-01-15,databits,1.81931,432050
2018-01-16,databits,1.10626,555842
2018-01-17,databits,1.10521,140573
2018-01-18,databits,1.18457,134245
2018-01-19,databits,1.29572,456553
2018-01-20,databits,1.28514,120058
2018-01-21,databits,1.08506,101188
2018-01-22,databits,0.993429,58991.30078125
2018-01-23,databits,0.991322,39262.69921875
2018-01-24,databits,1.04548,35274.1015625
2018-01-25,databits,1.06965,61119.80078125
2018-01-26,databits,1.06655,61269.80078125
2018-01-27,databits,1.20577,360706
2018-01-28,databits,1.20211,37929.3984375
2018-01-29,databits,1.07501,76406.703125
2018-01-30,databits,0.900708,85050.5
2018-01-31,databits,0.844724,85164.203125
2018-02-01,databits,0.715647,52331.69921875
2018-02-02,databits,0.671288,57765.80078125
2018-02-03,databits,0.728077,28900.599609375
2018-02-04,databits,0.620252,14677.900390625
2018-02-05,databits,0.495191,20048.400390625
2018-02-06,databits,0.578713,37836.69921875
2018-02-07,databits,0.601139,62878.5
2018-02-08,databits,0.674834,22332.69921875
2018-02-09,databits,0.677238,35371.1015625
2018-02-10,databits,0.632023,20674.30078125
2018-02-11,databits,0.615161,46349.30078125
2018-02-12,databits,0.677649,7358.60009765625
2018-02-13,databits,0.622409,10951.2998046875
2018-02-14,databits,0.670843,38369.69921875
2018-02-15,databits,0.678961,34317.5
2018-02-16,databits,0.664572,19481.19921875
2018-02-17,databits,0.717105,11621.2001953125
2018-02-18,databits,0.669342,10188.099609375
2018-02-19,databits,0.715999,72273
2018-02-20,databits,0.675738,35459.80078125
2018-02-21,databits,0.670538,29218.69921875
2018-02-22,databits,0.649877,15483.400390625
2018-02-23,databits,0.667886,19992.19921875
2018-02-24,databits,0.623138,18532.30078125
2018-02-25,databits,0.638699,10097
2018-02-26,databits,0.675523,62407.69921875
2018-02-27,databits,0.678096,20962.30078125
2018-02-28,databits,0.643022,27146.19921875
2018-03-01,databits,0.827299,51487.1015625
2018-03-02,databits,0.96317,222863
2018-03-03,databits,1.04225,101699
2018-03-04,databits,0.98626,26800.400390625
2018-03-05,databits,1.04266,59069.1015625
2018-03-06,databits,0.929036,51116.30078125
2018-03-07,databits,0.792369,44440.80078125
2018-03-08,databits,0.695929,63424.8984375
2018-03-09,databits,0.684828,83809.703125
2018-03-10,databits,0.632949,16928.400390625
2018-03-11,databits,0.643215,42604.30078125
2018-03-12,databits,0.614108,10852.2001953125
2018-03-13,databits,0.587214,39038
2018-03-14,databits,0.528855,17153
2018-03-15,databits,0.52691,24229.69921875
2018-03-16,databits,0.547821,18365.400390625
2018-03-17,databits,0.546448,19636
2018-03-18,databits,0.562339,31641.099609375
2018-03-19,databits,0.612999,35092.5
2018-03-20,databits,0.622069,18069.5
2018-03-21,databits,0.599139,26893.30078125
2018-03-22,databits,0.570212,4830.68017578125
2018-03-23,databits,0.548119,18140.80078125
2018-03-24,databits,0.534634,46114.6015625
2018-03-25,databits,0.536174,5074.27978515625
2018-03-26,databits,0.576219,19780.69921875
2018-03-27,databits,0.519265,50994.5
2018-03-28,databits,0.544608,15377.900390625
2018-03-29,databits,0.476435,23290.099609375
2018-03-30,databits,0.444348,4503.169921875
2018-03-31,databits,0.445876,4446.759765625
2018-04-01,databits,0.386519,109285
2018-04-02,databits,0.411168,7258.259765625
