day,asset,close,volume
2017-12-15,datum,0.0279447,160521
2017-12-16,datum,0.030599,1859790
2017-12-17,datum,0.03904,4072570
2017-12-18,datum,0.0415712,2374340
2017-12-19,datum,0.0458283,2652970
2017-12-20,datum,0.0427095,1429190
2017-12-21,datum,0.0426358,3664520
2017-12-22,datum,0.0359965,1603490
2017-12-23,datum,0.037116,971312
2017-12-24,datum,0.0347449,723780
2017-12-25,datum,0.0351088,991260
2017-12-26,datum,0.0370731,854003
2017-12-27,datum,0.0379351,851677
2017-12-28,datum,0.0411681,1240550
2017-12-29,datum,0.0466667,2023870
2017-12-30,datum,0.0423722,1225080
2017-12-31,datum,0.0446517,1957380
2018-01-01,datum,0.0485991,1933390
2018-01-02,datum,0.0591856,3784350
2018-01-03,datum,0.0655881,4253950
2018-01-04,datum,0.0895289,8166950
2018-01-05,datum,0.112656,8445800
2018-01-06,datum,0.117448,7320990
2018-01-07,datum,0.107388,6809230
2018-01-08,datum,0.114085,8535810
2018-01-09,datum,0.112596,6270710
2018-01-10,datum,0.105929,3991220
2018-01-11,datum,0.0966898,4295730
2018-01-12,datum,0.118862,18329800
2018-01-13,datum,0.119002,7082200
2018-01-14,datum,0.0999727,6672260
2018-01-15,datum,0.0927166,5120860
2018-01-16,datum,0.0745607,8990360
2018-01-17,datum,0.0696473,4672990
2018-01-18,datum,0.0795918,3877950
2018-01-19,datum,0.0737069,5272880
2018-01-20,datum,0.0789547,5012120
2018-01-21,datum,0.062799,4825860
2018-01-22,datum,0.0673441,4189700
2018-01-23,datum,0.0623221,2182240
2018-01-24,datum,0.0789759,7105480
2018-01-25,datum,0.0793441,8034040
2018-01-26,datum,0.0758513,4587120
2018-01-27,datum,0.0735561,3822250
2018-01-28,datum,0.0772842,4143860
2018-01-29,datum,0.0700095,2352500
2018-01-30,datum,0.0633725,2040720
2018-01-31,datum,0.0692537,9816170
2018-02-01,datum,0.0585628,7616370
2018-02-02,datum,0.0608456,3559960
2018-02-03,datum,0.0661725,4796810
2018-02-04,datum,0.0551183,3759440
2018-02-05,datum,0.0455861,4016220
2018-02-06,datum,0.0525127,4293390
2018-02-07,datum,0.0521836,3532690
2018-02-08,datum,0.0575325,4042430
2018-02-09,datum,0.0582678,5962610
2018-02-10,datum,0.0536152,8486290
2018-02-11,datum,0.0510131,1670520
2018-02-12,datum,0.0530712,2017590
2018-02-13,datum,0.0477056,2525540
2018-02-14,datum,0.0537666,2376990
2018-02-15,datum,0.0553724,1942940
2018-02-16,datum,0.0546294,2672200
2018-02-17,datum,0.0585297,2511070
2018-02-18,datum,0.0494117,2624610
2018-02-19,datum,0.0493588,2323810
2018-02-20,datum,0.04634,1795110
2018-02-21,datum,0.0438451,2321330
2018-02-22,datum,0.0448959,2168520
2018-02-23,datum,0.0439983,1989140
2018-02-24,datum,0.0419567,1585730
2018-02-25,datum,0.040809,1694260
2018-02-26,datum,0.0480377,2771600
2018-02-27,datum,0.0451136,1726770
2018-02-28,datum,0.0450495,1847590
2018-03-01,datum,0.0436793,2315470
2018-03-02,datum,0.044609,1610960
2018-03-03,datum,0.0449667,1667490
2018-03-04,datum,0.045761,1564940
2018-03-05,datum,0.0456182,1729140
2018-03-06,datum,0.0430595,1665550
2018-03-07,datum,0.0386827,1475600
2018-03-08,datum,0.0354071,1316470
2018-03-09,datum,0.0378619,1690550
2018-03-10,datum,0.0361591,1439050
2018-03-11,datum,0.0376334,1459840
2018-03-12,datum,0.0347473,2593230
2018-03-13,datum,0.0340339,1435430
2018-03-14,datum,0.0292822,2739190
2018-03-15,datum,0.0283389,2585180
2018-03-16,datum,0.02728,2698870
2018-03-17,datum,0.0240955,2411650
2018-03-18,datum,0.0222734,2669890
2018-03-19,datum,0.0245405,2209560
2018-03-20,datum,0.0237649,2300660
2018-03-21,datum,0.0268319,2468470
2018-03-22,datum,0.0251509,2319420
2018-03-23,datum,0.0250631,2308320
2018-03-24,datum,0.0262477,2507380
2018-03-25,datum,0.0260828,2464030
2018-03-26,datum,0.0245061,2364620
2018-03-27,datum,0.0222247,1585020
2018-03-28,datum,0.0241012,2747270
2018-03-29,datum,0.0214874,2209960
2018-03-30,datum,0.0210363,2129190
2018-03-31,datum,0.0208881,1956150
2018-04-01,datum,0.0205857,1847030
2018-04-02,datum,0.0211744,1906320
