day,asset,close,volume
2017-09-17,decentraland,0.0247393,688849
2017-09-18,decentraland,0.0245801,378063
2017-09-19,decentraland,0.018237,181704
2017-09-20,decentraland,0.0227223,270725
2017-09-21,decentraland,0.0198511,388625
2017-09-22,decentraland,0.0186097,277907
2017-09-23,decentraland,0.0186947,235828
2017-09-24,decentraland,0.0144405,287243
2017-09-25,decentraland,0.0155871,430900
2017-09-26,decentraland,0.0152556,383967
2017-09-27,decentraland,0.0157186,311665
2017-09-28,decentraland,0.0163045,334318
2017-09-29,decentraland,0.0144637,323597
2017-09-30,decentraland,0.0143196,253371
2017-10-01,decentraland,0.0139466,251323
2017-10-02,decentraland,0.0131133,357266
2017-10-03,decentraland,0.0139682,414285
2017-10-04,decentraland,0.0139787,214878
2017-10-05,decentraland,0.0144623,240713
2017-10-06,decentraland,0.0144122,282123
2017-10-07,decentraland,0.0144572,203767
2017-10-08,decentraland,0.0134057,199540
2017-10-09,decentraland,0.0100874,314901
2017-10-10,decentraland,0.0114849,233675
2017-10-11,decentraland,0.0108362,225843
2017-10-12,decentraland,0.0097725,290955
2017-10-13,decentraland,0.0171078,469195
2017-10-14,decentraland,0.0199434,17462400
2017-10-15,decentraland,0.0138197,3427730
2017-10-16,decentraland,0.0123529,1971230
2017-10-17,decentraland,0.0109275,925906
2017-10-18,decentraland,0.0109407,557323
2017-10-19,decentraland,0.0131798,1080690
2017-10-20,decentraland,0.0120108,847098
2017-10-21,decentraland,0.010221,606592
2017-10-22,decentraland,0.0089052,513460
2017-10-23,decentraland,0.00882514,532807
2017-10-24,decentraland,0.0105167,1172290
2017-10-25,decentraland,0.0106185,769050
2017-10-26,decentraland,0.00986977,458604
2017-10-27,decentraland,0.010062,321159
2017-10-28,decentraland,0.0101461,317638
2017-10-29,decentraland,0.0101418,374193
2017-10-30,decentraland,0.00986444,351934
2017-10-31,decentraland,0.00932898,355861
2017-11-01,decentraland,0.0102309,527477
2017-11-02,decentraland,0.00987919,402388
2017-11-03,decentraland,0.0105544,503432
2017-11-04,decentraland,0.0115098,396268
2017-11-05,decentraland,0.0123106,552450
2017-11-06,decentraland,0.0120138,563483
2017-11-07,decentraland,0.0135516,398100
2017-11-08,decentraland,0.0141117,1440510
2017-11-09,decentraland,0.0151304,653800
2017-11-10,decentraland,0.0129404,296429
2017-11-11,decentraland,0.0119794,237865
2017-11-12,decentraland,0.0105049,242761
2017-11-13,decentraland,0.0113299,225836
2017-11-14,decentraland,0.0114186,244821
2017-11-15,decentraland,0.0120019,283268
2017-11-16,decentraland,0.0117935,357512
2017-11-17,decentraland,0.0120282,268762
2017-11-18,decentraland,0.0130194,370149
2017-11-19,decentraland,0.0130993,379424
2017-11-20,decentraland,0.0130469,327270
2017-11-21,decentraland,0.0132015,507625
2017-11-22,decentraland,0.0135776,330170
2017-11-23,decentraland,0.0138404,524765
2017-11-24,decentraland,0.0159145,3082120
2017-11-25,decentraland,0.0155303,818860
