day,asset,close,volume
2017-12-28,deepbrain-chain,0.0918469,18387700
2017-12-29,deepbrain-chain,0.097467,14021400
2017-12-30,deepbrain-chain,0.0828612,4626540
2017-12-31,deepbrain-chain,0.131992,8586330
2018-01-01,deepbrain-chain,0.162938,14193100
2018-01-02,deepbrain-chain,0.138301,15687400
2018-01-03,deepbrain-chain,0.152172,12616000
2018-01-04,deepbrain-chain,0.188855,13639500
2018-01-05,deepbrain-chain,0.231151,23379000
2018-01-06,deepbrain-chain,0.294429,17572600
2018-01-07,deepbrain-chain,0.3767,24698400
2018-01-08,deepbrain-chain,0.44159,35862500
2018-01-09,deepbrain-chain,0.63783,58047600
2018-01-10,deepbrain-chain,0.47613,51954500
2018-01-11,deepbrain-chain,0.337315,31365100
2018-01-12,deepbrain-chain,0.352119,30735400
2018-01-13,deepbrain-chain,0.315805,31479000
2018-01-14,deepbrain-chain,0.263498,20893300
2018-01-15,deepbrain-chain,0.214347,17313300
2018-01-16,deepbrain-chain,0.177599,13327100
2018-01-17,deepbrain-chain,0.180345,12831000
2018-01-18,deepbrain-chain,0.174566,11547900
2018-01-19,deepbrain-chain,0.168447,6831710
2018-01-20,deepbrain-chain,0.201496,9837890
2018-01-21,deepbrain-chain,0.16771,5296710
2018-01-22,deepbrain-chain,0.150066,6250220
2018-01-23,deepbrain-chain,0.139106,5756130
2018-01-24,deepbrain-chain,0.16104,6873040
2018-01-25,deepbrain-chain,0.174509,9999050
2018-01-26,deepbrain-chain,0.16298,7081620
2018-01-27,deepbrain-chain,0.162924,6519420
2018-01-28,deepbrain-chain,0.167952,8535120
2018-01-29,deepbrain-chain,0.150642,6719960
2018-01-30,deepbrain-chain,0.122585,5841430
2018-01-31,deepbrain-chain,0.130743,7575990
2018-02-01,deepbrain-chain,0.106649,6655510
2018-02-02,deepbrain-chain,0.100408,3687440
2018-02-03,deepbrain-chain,0.115578,4463810
2018-02-04,deepbrain-chain,0.0925729,3897170
2018-02-05,deepbrain-chain,0.0660433,4035150
2018-02-06,deepbrain-chain,0.0873049,3962500
2018-02-07,deepbrain-chain,0.085878,4593370
2018-02-08,deepbrain-chain,0.0921446,2729730
2018-02-09,deepbrain-chain,0.0973213,3614910
2018-02-10,deepbrain-chain,0.0917447,2520670
2018-02-11,deepbrain-chain,0.0833058,1819130
2018-02-12,deepbrain-chain,0.11181,4621780
2018-02-13,deepbrain-chain,0.110382,4432230
2018-02-14,deepbrain-chain,0.125522,3072720
2018-02-15,deepbrain-chain,0.121257,3237070
2018-02-16,deepbrain-chain,0.12113,2256120
2018-02-17,deepbrain-chain,0.123068,2575380
2018-02-18,deepbrain-chain,0.106258,2496980
2018-02-19,deepbrain-chain,0.11,1933150
2018-02-20,deepbrain-chain,0.0880764,2917730
2018-02-21,deepbrain-chain,0.0867821,2262320
2018-02-22,deepbrain-chain,0.0832499,1631380
2018-02-23,deepbrain-chain,0.0876982,1539220
2018-02-24,deepbrain-chain,0.0821872,1544620
2018-02-25,deepbrain-chain,0.0810706,1667240
2018-02-26,deepbrain-chain,0.0844718,2299990
2018-02-27,deepbrain-chain,0.0848179,1728350
2018-02-28,deepbrain-chain,0.0793814,1644060
2018-03-01,deepbrain-chain,0.0814203,1551770
2018-03-02,deepbrain-chain,0.0772292,1687040
2018-03-03,deepbrain-chain,0.0891922,3657250
2018-03-04,deepbrain-chain,0.0800568,2331710
2018-03-05,deepbrain-chain,0.0804923,3530560
2018-03-06,deepbrain-chain,0.0748982,8263590
2018-03-07,deepbrain-chain,0.0638359,6864510
2018-03-08,deepbrain-chain,0.0556374,2016390
2018-03-09,deepbrain-chain,0.0512825,1759290
2018-03-10,deepbrain-chain,0.0505734,1112320
2018-03-11,deepbrain-chain,0.0549185,775357
2018-03-12,deepbrain-chain,0.0530149,5639920
2018-03-13,deepbrain-chain,0.0546705,2903900
2018-03-14,deepbrain-chain,0.0445879,3575820
2018-03-15,deepbrain-chain,0.0399517,3526540
2018-03-16,deepbrain-chain,0.0402631,3095740
2018-03-17,deepbrain-chain,0.0398373,3510890
2018-03-18,deepbrain-chain,0.0418031,3496840
2018-03-19,deepbrain-chain,0.0450028,2970890
2018-03-20,deepbrain-chain,0.0455544,3561940
2018-03-21,deepbrain-chain,0.0471623,3558610
2018-03-22,deepbrain-chain,0.0473191,2551150
2018-03-23,deepbrain-chain,0.0475606,2853590
2018-03-24,deepbrain-chain,0.0469916,3162060
2018-03-25,deepbrain-chain,0.044586,3100510
2018-03-26,deepbrain-chain,0.042367,3239130
2018-03-27,deepbrain-chain,0.040281,2046470
2018-03-28,deepbrain-chain,0.0507582,4863520
2018-03-29,deepbrain-chain,0.0408989,3640850
2018-03-30,deepbrain-chain,0.0366185,3426360
2018-03-31,deepbrain-chain,0.0380826,2575330
2018-04-01,deepbrain-chain,0.0361302,2540690
2018-04-02,deepbrain-chain,0.0373827,2585760
