day,asset,close,volume
2017-10-19,domraider,0.0646369,13887.900390625
2017-10-20,domraider,0.0698275,16072
2017-10-21,domraider,0.0542066,15298.2001953125
2017-10-22,domraider,0.0559906,10362.2998046875
2017-10-23,domraider,0.035956,6797.25
2017-10-24,domraider,0.047694,14453
2017-10-25,domraider,0.0301648,28794.19921875
2017-10-26,domraider,0.0328958,21245.80078125
2017-10-27,domraider,0.0442166,49926.80078125
2017-10-28,domraider,0.0471806,60114.5
2017-10-29,domraider,0.0487818,84683.8984375
2017-10-30,domraider,0.0458379,91538.796875
2017-10-31,domraider,0.0422053,76419
2017-11-01,domraider,0.0373058,107042
2017-11-02,domraider,0.031593,110972
2017-11-03,domraider,0.0306453,100132
2017-11-04,domraider,0.0329204,122162
2017-11-05,domraider,0.0325159,132948
2017-11-06,domraider,0.0326376,135745
2017-11-07,domraider,0.0321487,137245
2017-11-08,domraider,0.0369678,144405
2017-11-09,domraider,0.0415802,151250
2017-11-10,domraider,0.0386792,110269
2017-11-11,domraider,0.0377311,131581
2017-11-12,domraider,0.0347847,7307.5498046875
2017-11-13,domraider,0.0346507,172062
2017-11-14,domraider,0.0401785,177358
2017-11-15,domraider,0.0331441,69689.796875
2017-11-16,domraider,0.0363652,193653
2017-11-17,domraider,0.0365159,196155
2017-11-18,domraider,0.0382229,198759
2017-11-19,domraider,0.0354695,207449
2017-11-20,domraider,0.0295583,195329
2017-11-21,domraider,0.0324144,87703.8984375
2017-11-22,domraider,0.030382,131228
2017-11-23,domraider,0.0327634,157076
2017-11-24,domraider,0.0375263,83378.703125
2017-11-25,domraider,0.0417488,185933
2017-11-26,domraider,0.0376468,634592
2017-11-27,domraider,0.0337259,257010
2017-11-28,domraider,0.0280281,200954
2017-11-29,domraider,0.0295392,257277
2017-11-30,domraider,0.0262606,10200.2998046875
2017-12-01,domraider,0.0277944,73063.5
2017-12-02,domraider,0.0320278,283047
2017-12-03,domraider,0.0277322,205972
2017-12-04,domraider,0.0233252,4105.02001953125
2017-12-05,domraider,0.0232031,3148.199951171875
2017-12-06,domraider,0.0212527,317687
2017-12-07,domraider,0.0253308,325337
2017-12-08,domraider,0.02263,313504
2017-12-09,domraider,0.0241177,1331.0400390625
2017-12-10,domraider,0.0221491,2194.110107421875
2017-12-11,domraider,0.0259534,11106.5
2017-12-12,domraider,0.0308502,3226.7900390625
2017-12-13,domraider,0.0264308,5045.97998046875
2017-12-14,domraider,0.0209415,1757.030029296875
2017-12-15,domraider,0.027234,1760.6500244140625
2017-12-16,domraider,0.0296023,8153.68017578125
2017-12-17,domraider,0.0323414,22457.599609375
2017-12-18,domraider,0.0372456,10842.599609375
2017-12-19,domraider,0.0636761,33125.30078125
2017-12-20,domraider,0.0515087,19025.80078125
2017-12-21,domraider,0.0521431,21471.30078125
2017-12-22,domraider,0.0391423,9281.419921875
2017-12-23,domraider,0.0349507,18934
2017-12-24,domraider,0.0412983,1498.68994140625
2017-12-25,domraider,0.0429907,4187.419921875
2017-12-26,domraider,0.0382767,8021.2900390625
2017-12-27,domraider,0.0304483,6435.06005859375
2017-12-28,domraider,0.0447058,4047.969970703125
2017-12-29,domraider,0.0452813,20427.69921875
2017-12-30,domraider,0.047846,3589.4599609375
2017-12-31,domraider,0.0575042,10015.400390625
2018-01-01,domraider,0.0533635,14498.900390625
2018-01-02,domraider,0.0723281,7820.41015625
2018-01-03,domraider,0.0749236,13922.2998046875
2018-01-04,domraider,0.0951397,11022.2001953125
2018-01-05,domraider,0.0971032,13994
2018-01-06,domraider,0.0989343,13423.599609375
2018-01-07,domraider,0.102308,41210.69921875
2018-01-08,domraider,0.0909418,19345
2018-01-09,domraider,0.117784,31140.599609375
2018-01-10,domraider,0.126267,52126.6015625
2018-01-11,domraider,0.114874,64163.80078125
2018-01-12,domraider,0.163488,45844
2018-01-13,domraider,0.137882,64847.69921875
2018-01-14,domraider,0.11685,55261.8984375
2018-01-15,domraider,0.117772,23584.69921875
2018-01-16,domraider,0.0689186,17827.30078125
2018-01-17,domraider,0.0941888,27582.099609375
2018-01-18,domraider,0.0928584,23548
2018-01-19,domraider,0.0730929,11111.400390625
2018-01-20,domraider,0.0802196,20281.5
2018-01-21,domraider,0.0748044,14651.599609375
2018-01-22,domraider,0.0652164,14715.2998046875
2018-01-23,domraider,0.0599826,12419.2998046875
2018-01-24,domraider,0.0638798,2607.68994140625
2018-01-25,domraider,0.0785581,7230.14013671875
2018-01-26,domraider,0.0630574,14371.5
2018-01-27,domraider,0.0715531,1207.6099853515625
2018-01-28,domraider,0.0638541,8330.23046875
2018-01-29,domraider,0.0926304,2009.8699951171875
2018-01-30,domraider,0.0740762,5178.43994140625
2018-01-31,domraider,0.0665078,13686.900390625
2018-02-01,domraider,0.0620147,3231.35009765625
2018-02-02,domraider,0.0549748,8523.83984375
2018-02-03,domraider,0.0497686,4738.56005859375
2018-02-04,domraider,0.0410384,3169.010009765625
2018-02-05,domraider,0.0368049,4193.740234375
2018-02-06,domraider,0.0398352,5741.240234375
2018-02-07,domraider,0.044521,5323.919921875
2018-02-08,domraider,0.0493752,2944.3798828125
2018-02-09,domraider,0.0439939,4277.81005859375
2018-02-10,domraider,0.0425346,3287.530029296875
2018-02-11,domraider,0.0329188,963.552001953125
2018-02-12,domraider,0.0429387,790.5659790039062
2018-02-13,domraider,0.0425642,7078.240234375
2018-02-14,domraider,0.0503564,10403.7001953125
2018-02-15,domraider,0.0472536,19068.69921875
2018-02-16,domraider,0.0449297,4576.1201171875
2018-02-17,domraider,0.0496138,2265.2900390625
2018-02-18,domraider,0.0459563,439.1029968261719
2018-02-19,domraider,0.0384454,6212.58984375
2018-02-20,domraider,0.0505995,11220.7998046875
2018-02-21,domraider,0.0415044,49917.3984375
2018-02-22,domraider,0.0343204,6347.97998046875
2018-02-23,domraider,0.0337715,2440.280029296875
2018-02-24,domraider,0.033314,11638
2018-02-25,domraider,0.0412854,1890.52001953125
2018-02-26,domraider,0.0328954,8900.4296875
2018-02-27,domraider,0.0346848,4555.5400390625
2018-02-28,domraider,0.0267871,5881.64990234375
2018-03-01,domraider,0.0345748,2885.510009765625
2018-03-02,domraider,0.0275251,1331.81005859375
2018-03-03,domraider,0.0343237,1968.5899658203125
2018-03-04,domraider,0.0346315,1075.699951171875
2018-03-05,domraider,0.0291206,4970.2001953125
2018-03-06,domraider,0.0325701,10983.400390625
2018-03-07,domraider,0.0303092,8361.3798828125
2018-03-08,domraider,0.0281338,29424.5
2018-03-09,domraider,0.0358012,70007.796875
2018-03-10,domraider,0.0276107,12617.2001953125
2018-03-11,domraider,0.029019,91510.3984375
2018-03-12,domraider,0.0349591,81425.6015625
2018-03-13,domraider,0.0284249,32462
2018-03-14,domraider,0.0300715,121654
2018-03-15,domraider,0.0273969,94705
2018-03-16,domraider,0.0288209,116229
2018-03-17,domraider,0.0263105,111021
2018-03-18,domraider,0.0271646,89509.203125
2018-03-19,domraider,0.026748,90467.796875
2018-03-20,domraider,0.0235135,162822
2018-03-21,domraider,0.0226308,231989
2018-03-22,domraider,0.0219905,104911
2018-03-23,domraider,0.0216068,194768
2018-03-24,domraider,0.0206288,117367
2018-03-25,domraider,0.0198555,144547
2018-03-26,domraider,0.018907,179701
2018-03-27,domraider,0.0176433,136575
2018-03-28,domraider,0.0181936,197904
2018-03-29,domraider,0.0162136,132469
2018-03-30,domraider,0.0148151,144211
2018-03-31,domraider,0.0149127,197826
2018-04-01,domraider,0.0136485,176394
2018-04-02,domraider,0.0135842,99133.5
