day,asset,close,volume
2017-03-30,edgeless,0.0308014,18691.5
2017-03-31,edgeless,0.0109972,9193.9501953125
2017-04-01,edgeless,0.0350097,9846.099609375
2017-04-02,edgeless,0.0341241,21517.19921875
2017-04-03,edgeless,0.024396,27807.80078125
2017-04-04,edgeless,0.038392,26510.30078125
2017-04-05,edgeless,0.042033,63969.1015625
2017-04-06,edgeless,0.0504322,77517
2017-04-07,edgeless,0.0727964,259361
2017-04-08,edgeless,0.0637424,102399
2017-04-09,edgeless,0.0705918,94455.796875
2017-04-10,edgeless,0.069501,102483
2017-04-11,edgeless,0.0793288,133397
2017-04-12,edgeless,0.0883604,164107
2017-04-13,edgeless,0.0951134,181869
2017-04-14,edgeless,0.111699,386693
2017-04-15,edgeless,0.107393,187458
2017-04-16,edgeless,0.110835,149498
2017-04-17,edgeless,0.102231,253649
2017-04-18,edgeless,0.144015,1263920
2017-04-19,edgeless,0.122465,453187
2017-04-20,edgeless,0.116893,330330
2017-04-21,edgeless,0.109398,154350
2017-04-22,edgeless,0.107998,130638
2017-04-23,edgeless,0.0974139,128246
2017-04-24,edgeless,0.0899072,166956
2017-04-25,edgeless,0.101436,240859
2017-04-26,edgeless,0.0993936,279036
2017-04-27,edgeless,0.102157,159351
2017-04-28,edgeless,0.10257,187399
2017-04-29,edgeless,0.109984,137750
2017-04-30,edgeless,0.115152,154689
2017-05-01,edgeless,0.10611,227336
2017-05-02,edgeless,0.114534,177581
2017-05-03,edgeless,0.12504,175946
2017-05-04,edgeless,0.119136,253792
2017-05-05,edgeless,0.116941,183300
2017-05-06,edgeless,0.123661,182565
2017-05-07,edgeless,0.120545,188920
2017-05-08,edgeless,0.126442,177577
2017-05-09,edgeless,0.125347,172020
2017-05-10,edgeless,0.143722,243557
2017-05-11,edgeless,0.136789,319663
2017-05-12,edgeless,0.130618,269724
2017-05-13,edgeless,0.140304,184726
2017-05-14,edgeless,0.143373,140274
2017-05-15,edgeless,0.139246,172129
2017-05-16,edgeless,0.132741,222866
2017-05-17,edgeless,0.147925,212191
2017-05-18,edgeless,0.160391,292260
2017-05-19,edgeless,0.191517,473647
2017-05-20,edgeless,0.199075,489928
2017-05-21,edgeless,0.239526,741301
2017-05-22,edgeless,0.259644,651720
2017-05-23,edgeless,0.292351,577884
2017-05-24,edgeless,0.30487,1410960
2017-05-25,edgeless,0.253378,628426
2017-05-26,edgeless,0.256158,294682
2017-05-27,edgeless,0.208549,375845
2017-05-28,edgeless,0.236922,290861
2017-05-29,edgeless,0.243441,366918
2017-05-30,edgeless,0.219931,301811
2017-05-31,edgeless,0.226857,282579
2017-06-01,edgeless,0.241703,398697
2017-06-02,edgeless,0.247396,426744
2017-06-03,edgeless,0.306037,788438
2017-06-04,edgeless,0.289339,550908
2017-06-05,edgeless,0.326688,470109
2017-06-06,edgeless,0.330066,479616
2017-06-07,edgeless,0.301976,545571
2017-06-08,edgeless,0.329939,606304
2017-06-09,edgeless,0.312059,736871
2017-06-10,edgeless,0.286125,756474
2017-06-11,edgeless,0.293228,549160
2017-06-12,edgeless,0.294305,565866
2017-06-13,edgeless,0.311934,520796
2017-06-14,edgeless,0.293011,467662
2017-06-15,edgeless,0.278402,404664
2017-06-16,edgeless,0.287765,327239
2017-06-17,edgeless,0.296394,416742
2017-06-18,edgeless,0.302548,360570
2017-06-19,edgeless,0.370949,1011090
2017-06-20,edgeless,0.400551,1050150
2017-06-21,edgeless,0.388048,504512
