day,asset,close,volume
2017-10-17,eidoo,2.38075,39127.6015625
2017-10-18,eidoo,2.20617,44999.19921875
2017-10-19,eidoo,2.06223,39352.19921875
2017-10-20,eidoo,2.53219,1684600
2017-10-21,eidoo,2.24138,3073780
2017-10-22,eidoo,2.13066,972934
2017-10-23,eidoo,2.05218,982363
2017-10-24,eidoo,2.37836,1858200
2017-10-25,eidoo,2.11093,710738
2017-10-26,eidoo,2.34247,2903150
2017-10-27,eidoo,2.54151,2930500
2017-10-28,eidoo,2.26496,648861
2017-10-29,eidoo,2.338,971678
2017-10-30,eidoo,2.23206,576679
2017-10-31,eidoo,2.2609,754739
2017-11-01,eidoo,1.96026,2181040
2017-11-02,eidoo,1.98177,732708
2017-11-03,eidoo,2.04848,671469
2017-11-04,eidoo,1.99943,293667
2017-11-05,eidoo,1.86802,1351460
2017-11-06,eidoo,1.75179,473975
2017-11-07,eidoo,1.93854,1427610
2017-11-08,eidoo,1.98487,1345700
2017-11-09,eidoo,2.33747,2494020
2017-11-10,eidoo,1.98395,1687520
2017-11-11,eidoo,1.99316,869358
2017-11-12,eidoo,1.94783,1545290
2017-11-13,eidoo,2.03837,434641
2017-11-14,eidoo,2.30274,1427510
2017-11-15,eidoo,2.234,1888740
2017-11-16,eidoo,2.06985,2016180
2017-11-17,eidoo,2.08631,890370
2017-11-18,eidoo,2.184,543982
2017-11-19,eidoo,2.15324,783320
2017-11-20,eidoo,2.38241,1067420
2017-11-21,eidoo,2.29206,1576700
2017-11-22,eidoo,2.28595,700358
2017-11-23,eidoo,2.25563,806052
2017-11-24,eidoo,2.1696,589759
2017-11-25,eidoo,2.29763,1460820
2017-11-26,eidoo,2.35727,4677040
2017-11-27,eidoo,2.32645,2097190
2017-11-28,eidoo,2.25237,1914350
2017-11-29,eidoo,2.03076,2889330
2017-11-30,eidoo,2.19548,1867660
2017-12-01,eidoo,2.12651,891157
2017-12-02,eidoo,2.07328,774942
2017-12-03,eidoo,2.20755,1088680
2017-12-04,eidoo,2.18562,1096930
2017-12-05,eidoo,2.3568,2339570
2017-12-06,eidoo,2.50012,10260300
2017-12-07,eidoo,2.32272,4076520
2017-12-08,eidoo,2.37449,2633960
2017-12-09,eidoo,2.4644,2453420
2017-12-10,eidoo,2.23656,2257490
2017-12-11,eidoo,2.30279,1965360
2017-12-12,eidoo,2.48261,3423620
2017-12-13,eidoo,2.59089,2937770
2017-12-14,eidoo,3.04741,5682560
2017-12-15,eidoo,2.8059,2834110
2017-12-16,eidoo,2.8774,2995790
2017-12-17,eidoo,2.93616,9110190
2017-12-18,eidoo,3.47037,6182850
2017-12-19,eidoo,3.38422,8526160
