day,asset,close,volume
2017-10-30,etherparty,0.0434962,180346
2017-10-31,etherparty,0.028728,199768
2017-11-01,etherparty,0.0335281,150813
2017-11-02,etherparty,0.0225935,57893.80078125
2017-11-03,etherparty,0.0333175,65848.6015625
2017-11-04,etherparty,0.025401,40820.19921875
2017-11-05,etherparty,0.0300429,22759.099609375
2017-11-06,etherparty,0.0307878,40473.80078125
2017-11-07,etherparty,0.0337301,60526
2017-11-08,etherparty,0.0388143,94388.796875
2017-11-09,etherparty,0.0393684,49782.8984375
2017-11-10,etherparty,0.0366489,77775.1015625
2017-11-11,etherparty,0.0384682,78789.3984375
2017-11-12,etherparty,0.0342254,27992.5
2017-11-13,etherparty,0.0341866,24426.5
2017-11-14,etherparty,0.034199,32435.30078125
2017-11-15,etherparty,0.0402542,71176.8984375
2017-11-16,etherparty,0.0394016,22919.19921875
2017-11-17,etherparty,0.033607,37539.30078125
2017-11-18,etherparty,0.0321033,26237.599609375
2017-11-19,etherparty,0.0343056,16907.80078125
2017-11-20,etherparty,0.0260944,27241.69921875
2017-11-21,etherparty,0.0256048,26271.80078125
2017-11-22,etherparty,0.0410726,78214.3984375
2017-11-23,etherparty,0.0545238,3893630
2017-11-24,etherparty,0.0522284,2100290
2017-11-25,etherparty,0.0527816,809077
2017-11-26,etherparty,0.0478995,622398
2017-11-27,etherparty,0.0445951,605197
2017-11-28,etherparty,0.0404839,583946
2017-11-29,etherparty,0.0359431,661018
2017-11-30,etherparty,0.0391848,507760
2017-12-01,etherparty,0.0453272,507998
2017-12-02,etherparty,0.0478556,475847
2017-12-03,etherparty,0.0481387,561504
2017-12-04,etherparty,0.0455208,505809
2017-12-05,etherparty,0.0452979,618148
2017-12-06,etherparty,0.0512078,1522720
2017-12-07,etherparty,0.0501158,4016660
2017-12-08,etherparty,0.0471275,1338500
2017-12-09,etherparty,0.0427491,1242510
2017-12-10,etherparty,0.0432853,576993
2017-12-11,etherparty,0.0438776,1387960
2017-12-12,etherparty,0.0419772,1595080
2017-12-13,etherparty,0.0487733,1548250
2017-12-14,etherparty,0.0614743,5951210
2017-12-15,etherparty,0.0689436,4184230
2017-12-16,etherparty,0.0727553,3389700
2017-12-17,etherparty,0.0894927,5912610
2017-12-18,etherparty,0.0995708,4437890
2017-12-19,etherparty,0.0892599,5498650
2017-12-20,etherparty,0.0912727,4937100
2017-12-21,etherparty,0.106961,6686800
2017-12-22,etherparty,0.0917358,2922400
2017-12-23,etherparty,0.110384,3284630
2017-12-24,etherparty,0.101934,1607550
2017-12-25,etherparty,0.109301,2990650
2017-12-26,etherparty,0.0962904,1785110
2017-12-27,etherparty,0.147758,12299000
2017-12-28,etherparty,0.163466,25910300
2017-12-29,etherparty,0.145843,7943070
2017-12-30,etherparty,0.134965,5608360
2017-12-31,etherparty,0.165212,11471800
2018-01-01,etherparty,0.202848,14036800
2018-01-02,etherparty,0.209201,16117200
2018-01-03,etherparty,0.310329,22978800
2018-01-04,etherparty,0.397921,31866800
2018-01-05,etherparty,0.320207,18196800
2018-01-06,etherparty,0.336351,12706600
2018-01-07,etherparty,0.343181,11421700
2018-01-08,etherparty,0.310291,14205400
2018-01-09,etherparty,0.31978,15276400
2018-01-10,etherparty,0.35966,19371600
2018-01-11,etherparty,0.402493,47406500
2018-01-12,etherparty,0.35437,18362800
2018-01-13,etherparty,0.311617,13208500
2018-01-14,etherparty,0.296463,9850050
2018-01-15,etherparty,0.245602,8291950
2018-01-16,etherparty,0.192636,10430600
2018-01-17,etherparty,0.210497,15590400
2018-01-18,etherparty,0.226191,7377250
2018-01-19,etherparty,0.231611,4771190
2018-01-20,etherparty,0.255232,7835630
2018-01-21,etherparty,0.211948,4424490
2018-01-22,etherparty,0.196285,2510820
2018-01-23,etherparty,0.200811,2826430
2018-01-24,etherparty,0.206723,3969680
2018-01-25,etherparty,0.200522,2927820
2018-01-26,etherparty,0.198838,2541640
2018-01-27,etherparty,0.212205,3499700
2018-01-28,etherparty,0.21236,6265770
