day,asset,close,volume
2017-10-10,everex,1.91015,1389230
2017-10-11,everex,1.53282,1926640
2017-10-12,everex,1.10924,784158
2017-10-13,everex,1.42102,761668
2017-10-14,everex,1.46243,706458
2017-10-15,everex,1.31896,517953
2017-10-16,everex,1.24694,334990
2017-10-17,everex,1.1986,304280
2017-10-18,everex,1.25953,277605
2017-10-19,everex,1.18135,196761
2017-10-20,everex,1.15961,205607
2017-10-21,everex,1.07829,208338
2017-10-22,everex,1.1484,141250
2017-10-23,everex,1.01542,498553
2017-10-24,everex,1.01576,178089
2017-10-25,everex,1.01712,120804
2017-10-26,everex,1.5942,1455490
2017-10-27,everex,1.54789,2297240
2017-10-28,everex,2.4763,8928710
2017-10-29,everex,2.09384,8553500
2017-10-30,everex,1.81258,3295580
2017-10-31,everex,1.57585,1990250
2017-11-01,everex,1.21918,1407930
2017-11-02,everex,1.41082,1346680
2017-11-03,everex,1.57828,1873790
2017-11-04,everex,1.50639,651165
2017-11-05,everex,1.49274,533787
2017-11-06,everex,1.49457,480467
2017-11-07,everex,1.65003,1877880
2017-11-08,everex,1.95711,2190180
2017-11-09,everex,2.13989,4275920
2017-11-10,everex,1.83105,3320020
2017-11-11,everex,1.8331,1935410
2017-11-12,everex,1.64452,1657090
2017-11-13,everex,1.72713,1193230
2017-11-14,everex,1.8005,1052590
2017-11-15,everex,1.67737,1833970
2017-11-16,everex,1.58522,1389110
2017-11-17,everex,1.51953,778004
2017-11-18,everex,1.60073,674727
2017-11-19,everex,1.68329,1522790
2017-11-20,everex,1.617,860407
2017-11-21,everex,1.66373,1032960
2017-11-22,everex,1.54099,1467520
2017-11-23,everex,1.49932,1131280
2017-11-24,everex,1.4173,1401050
2017-11-25,everex,1.41502,1014100
2017-11-26,everex,1.4042,816582
2017-11-27,everex,1.4301,2369240
2017-11-28,everex,1.45732,3165550
2017-11-29,everex,1.30669,3044710
2017-11-30,everex,1.29764,2100190
2017-12-01,everex,1.49037,3192080
2017-12-02,everex,1.44068,2365240
2017-12-03,everex,1.33535,2701580
2017-12-04,everex,1.34672,2569170
2017-12-05,everex,1.32686,3907990
2017-12-06,everex,1.18096,3251570
2017-12-07,everex,1.15246,2841610
2017-12-08,everex,1.23826,2549170
2017-12-09,everex,1.18432,3087640
2017-12-10,everex,1.13696,2216230
2017-12-11,everex,1.28167,3121760
2017-12-12,everex,1.20085,2103080
2017-12-13,everex,1.20074,1580240
2017-12-14,everex,1.28752,3003890
2017-12-15,everex,1.46706,6952120
2017-12-16,everex,1.44451,3255260
2017-12-17,everex,1.60761,5045800
2017-12-18,everex,1.7767,4876570
2017-12-19,everex,1.67376,4855270
2017-12-20,everex,1.54676,2474980
2017-12-21,everex,1.74705,3210950
2017-12-22,everex,1.42889,1827950
2017-12-23,everex,2.15106,8382950
2017-12-24,everex,2.14582,9056070
2017-12-25,everex,1.88753,3172130
2017-12-26,everex,1.89064,2918600
2017-12-27,everex,1.91539,1951190
2017-12-28,everex,1.82078,2310100
