day,asset,close,volume
2017-12-13,filecoin,11.5032,296217
2017-12-14,filecoin,11.4816,391397
2017-12-15,filecoin,12.9005,653202
2017-12-16,filecoin,20.4955,2137330
2017-12-17,filecoin,19.4354,624487
2017-12-18,filecoin,18.6791,908890
2017-12-19,filecoin,18.6854,889906
2017-12-20,filecoin,19.7719,696240
2017-12-21,filecoin,26.0281,1938240
2017-12-22,filecoin,23.0782,757447
2017-12-23,filecoin,26.8786,687780
2017-12-24,filecoin,24.4445,303786
2017-12-25,filecoin,24.2363,295669
2017-12-26,filecoin,23.3955,334395
2017-12-27,filecoin,23.7331,311489
2017-12-28,filecoin,21.613,445029
2017-12-29,filecoin,20.0213,349125
2017-12-30,filecoin,18.7143,207532
2017-12-31,filecoin,20.0782,126421
2018-01-01,filecoin,19.4802,195680
2018-01-02,filecoin,20.1106,496094
2018-01-03,filecoin,19.8275,535312
2018-01-04,filecoin,20.4178,494825
2018-01-05,filecoin,24.1181,621769
2018-01-06,filecoin,24.4697,702906
2018-01-07,filecoin,26.0184,499795
2018-01-08,filecoin,26.0821,1054710
2018-01-09,filecoin,27.321,578196
2018-01-10,filecoin,24.9432,828661
2018-01-11,filecoin,25.7165,585585
2018-01-12,filecoin,27.6633,1066420
2018-01-13,filecoin,26.8603,685598
2018-01-14,filecoin,26.5012,1159270
2018-01-15,filecoin,26.6665,846259
2018-01-16,filecoin,24.0363,906882
2018-01-17,filecoin,24.9304,808256
2018-01-18,filecoin,23.3492,425551
2018-01-19,filecoin,23.4958,351450
2018-01-20,filecoin,25.165,570484
2018-01-21,filecoin,23.6608,463173
2018-01-22,filecoin,23.3252,237606
2018-01-23,filecoin,23.3721,290810
2018-01-24,filecoin,23.8852,177434
2018-01-25,filecoin,24.1966,342580
2018-01-26,filecoin,24.558,284756
2018-01-27,filecoin,24.4648,258333
2018-01-28,filecoin,25.6449,458126
2018-01-29,filecoin,24.5951,214798
2018-01-30,filecoin,24.227,271424
2018-01-31,filecoin,24.6032,235030
2018-02-01,filecoin,23.4237,252563
2018-02-02,filecoin,24.675,187564
2018-02-03,filecoin,23.4191,215691
2018-02-04,filecoin,22.0668,331358
2018-02-05,filecoin,19.8368,247221
2018-02-06,filecoin,22.3851,193838
2018-02-07,filecoin,18.7846,239155
2018-02-08,filecoin,20.5092,193999
2018-02-09,filecoin,20.3481,177169
2018-02-10,filecoin,20.4725,220993
2018-02-11,filecoin,19.7287,88334.703125
2018-02-12,filecoin,19.8901,52374.19921875
2018-02-13,filecoin,20.7407,77522.796875
2018-02-14,filecoin,21.3155,97219.203125
2018-02-15,filecoin,21.7813,126013
2018-02-16,filecoin,21.2591,74712.203125
2018-02-17,filecoin,22.0232,102256
2018-02-18,filecoin,21.7439,127354
2018-02-19,filecoin,22.6937,143937
2018-02-20,filecoin,21.1126,139994
2018-02-21,filecoin,19.385,119649
2018-02-22,filecoin,19.2858,158618
2018-02-23,filecoin,19.1454,141560
2018-02-24,filecoin,17.922,120255
2018-02-25,filecoin,17.0993,83800
2018-02-26,filecoin,18.1993,175004
2018-02-27,filecoin,18.7084,119078
2018-02-28,filecoin,18.4349,164316
2018-03-01,filecoin,18.7895,122097
2018-03-02,filecoin,17.6639,183704
2018-03-03,filecoin,17.1228,164336
2018-03-04,filecoin,16.8996,125499
2018-03-05,filecoin,17.3861,143576
2018-03-06,filecoin,15.251,207534
2018-03-07,filecoin,14.0752,144726
2018-03-08,filecoin,12.1733,297900
2018-03-09,filecoin,12.4141,236672
2018-03-10,filecoin,11.4745,200042
2018-03-11,filecoin,12.9042,233449
2018-03-12,filecoin,11.7382,209049
2018-03-13,filecoin,10.6663,186641
2018-03-14,filecoin,10.8481,190096
2018-03-15,filecoin,10.2779,187292
2018-03-16,filecoin,9.32358,208912
2018-03-17,filecoin,9.23881,160743
2018-03-18,filecoin,8.19875,218818
2018-03-19,filecoin,7.90838,188614
2018-03-20,filecoin,8.48053,270524
2018-03-21,filecoin,9.05634,789603
2018-03-22,filecoin,8.80384,405941
2018-03-23,filecoin,8.53304,193794
2018-03-24,filecoin,8.18537,196402
2018-03-25,filecoin,7.91734,193779
2018-03-26,filecoin,7.91786,229705
2018-03-27,filecoin,7.19176,129906
2018-03-28,filecoin,7.27628,134194
2018-03-29,filecoin,6.89654,166044
2018-03-30,filecoin,7.66961,134812
2018-03-31,filecoin,8.06406,92614.8984375
2018-04-01,filecoin,8.80961,70600.703125
2018-04-02,filecoin,8.9264,42979.6015625
