day,asset,close,volume
2017-11-15,genesis-vision,2.68011,683667
2017-11-16,genesis-vision,2.73634,3548140
2017-11-17,genesis-vision,2.159,1222120
2017-11-18,genesis-vision,2.10807,797857
2017-11-19,genesis-vision,2.1702,765956
2017-11-20,genesis-vision,2.46548,1195060
2017-11-21,genesis-vision,2.79127,2743730
2017-11-22,genesis-vision,2.74568,1598860
2017-11-23,genesis-vision,2.64117,772249
2017-11-24,genesis-vision,3.08901,749111
2017-11-25,genesis-vision,3.53994,1077500
2017-11-26,genesis-vision,5.25951,3821560
2017-11-27,genesis-vision,8.26703,13571300
2017-11-28,genesis-vision,6.18261,6804190
2017-11-29,genesis-vision,5.3702,6323920
2017-11-30,genesis-vision,7.04766,6905510
2017-12-01,genesis-vision,6.46038,1249140
2017-12-02,genesis-vision,6.71902,1757960
2017-12-03,genesis-vision,6.79957,1040350
2017-12-04,genesis-vision,6.3381,885094
2017-12-05,genesis-vision,6.9446,1987050
2017-12-06,genesis-vision,6.00302,1998580
2017-12-07,genesis-vision,5.43957,1886420
2017-12-08,genesis-vision,5.58189,1288230
2017-12-09,genesis-vision,5.35125,911111
2017-12-10,genesis-vision,4.84659,866109
2017-12-11,genesis-vision,6.59376,4955760
2017-12-12,genesis-vision,5.66428,4868720
2017-12-13,genesis-vision,5.28321,3607670
2017-12-14,genesis-vision,6.22014,4900650
2017-12-15,genesis-vision,5.70046,4512510
2017-12-16,genesis-vision,6.44331,5133480
2017-12-17,genesis-vision,7.34767,7103910
2017-12-18,genesis-vision,8.28997,6585540
2017-12-19,genesis-vision,8.2818,5191660
2017-12-20,genesis-vision,7.07842,4219280
2017-12-21,genesis-vision,7.11385,3766060
2017-12-22,genesis-vision,6.48574,2038760
2017-12-23,genesis-vision,6.34454,1979180
2017-12-24,genesis-vision,7.94207,3883160
2017-12-25,genesis-vision,7.66024,3959250
2017-12-26,genesis-vision,7.59997,2511250
2017-12-27,genesis-vision,7.88139,1979440
2017-12-28,genesis-vision,7.40323,1577470
2017-12-29,genesis-vision,7.76897,1612790
2017-12-30,genesis-vision,7.36594,1455180
2017-12-31,genesis-vision,9.31902,2184810
2018-01-01,genesis-vision,11.1968,3888010
2018-01-02,genesis-vision,12.834,7570630
2018-01-03,genesis-vision,12.8061,3169030
2018-01-04,genesis-vision,18.2405,8339270
2018-01-05,genesis-vision,23.1926,12427900
2018-01-06,genesis-vision,33.892,25507400
2018-01-07,genesis-vision,34.762,26904400
2018-01-08,genesis-vision,32.7776,10313700
2018-01-09,genesis-vision,31.198,7667440
2018-01-10,genesis-vision,28.5572,8094950
2018-01-11,genesis-vision,22.7969,5416650
2018-01-12,genesis-vision,30.4833,6433490
2018-01-13,genesis-vision,28.1837,28189000
2018-01-14,genesis-vision,25.6955,4391530
2018-01-15,genesis-vision,22.3661,3417950
2018-01-16,genesis-vision,17.0112,4240450
2018-01-17,genesis-vision,18.9861,3399460
2018-01-18,genesis-vision,18.8759,2948730
2018-01-19,genesis-vision,19.7321,2212600
2018-01-20,genesis-vision,23.9835,2701950
2018-01-21,genesis-vision,19.5241,2004320
2018-01-22,genesis-vision,18.601,1619680
2018-01-23,genesis-vision,17.9951,1380140
2018-01-24,genesis-vision,19.0801,1511740
2018-01-25,genesis-vision,17.982,915335
2018-01-26,genesis-vision,17.5896,1220450
2018-01-27,genesis-vision,21.2064,4844500
2018-01-28,genesis-vision,24.9863,41187500
2018-01-29,genesis-vision,21.8658,4331250
2018-01-30,genesis-vision,19.1539,2540900
2018-01-31,genesis-vision,18.8771,1637790
2018-02-01,genesis-vision,16.4667,2378490
2018-02-02,genesis-vision,15.6438,1576660
2018-02-03,genesis-vision,17.0948,1405320
2018-02-04,genesis-vision,13.9972,1777300
2018-02-05,genesis-vision,10.7785,1000410
2018-02-06,genesis-vision,12.8316,1585430
2018-02-07,genesis-vision,12.7293,1526740
2018-02-08,genesis-vision,14.0196,1662780
2018-02-09,genesis-vision,16.1165,58200.69921875
