day,asset,close,volume
2017-12-18,gifto,0.348851,44959800
2017-12-19,gifto,0.316544,18616900
2017-12-20,gifto,0.288911,8880000
2017-12-21,gifto,0.281558,9312200
2017-12-22,gifto,0.230635,4376590
2017-12-23,gifto,0.275787,6130450
2017-12-24,gifto,0.254078,3832190
2017-12-25,gifto,0.271982,3793080
2017-12-26,gifto,0.254127,3896180
2017-12-27,gifto,0.281353,4125690
2017-12-28,gifto,0.275981,10862000
2017-12-29,gifto,0.316728,8345360
2017-12-30,gifto,0.2698,7170800
2017-12-31,gifto,0.280911,6103480
2018-01-01,gifto,0.28248,7423080
2018-01-02,gifto,0.357245,19102700
2018-01-03,gifto,0.638763,58779500
2018-01-04,gifto,0.684848,39334300
2018-01-05,gifto,0.573562,30808200
2018-01-06,gifto,0.684934,23743400
2018-01-07,gifto,0.799818,19914800
2018-01-08,gifto,0.713217,19577100
2018-01-09,gifto,0.721476,16973300
2018-01-10,gifto,0.693412,14569900
2018-01-11,gifto,0.731805,26140600
2018-01-12,gifto,0.908662,59994600
2018-01-13,gifto,0.836814,45583000
2018-01-14,gifto,0.709971,19201700
2018-01-15,gifto,0.603892,15996000
2018-01-16,gifto,0.421973,13055600
2018-01-17,gifto,0.478596,18195400
2018-01-18,gifto,0.484195,11175100
2018-01-19,gifto,0.520674,17652700
2018-01-20,gifto,0.550758,9649600
2018-01-21,gifto,0.448657,9972030
2018-01-22,gifto,0.431797,11917800
2018-01-23,gifto,0.457088,7302590
2018-01-24,gifto,0.446323,10923900
2018-01-25,gifto,0.434579,7811300
2018-01-26,gifto,0.487743,8705570
2018-01-27,gifto,0.471307,8287980
2018-01-28,gifto,0.463028,7225010
2018-01-29,gifto,0.42198,6701520
2018-01-30,gifto,0.342727,6764520
2018-01-31,gifto,0.334963,4156370
2018-02-01,gifto,0.272941,5107950
2018-02-02,gifto,0.279923,5506610
2018-02-03,gifto,0.294064,4127270
2018-02-04,gifto,0.254809,1825030
2018-02-05,gifto,0.192608,4287500
2018-02-06,gifto,0.257027,5114400
2018-02-07,gifto,0.25248,2454720
2018-02-08,gifto,0.288817,6550910
2018-02-09,gifto,0.291683,3664750
2018-02-10,gifto,0.251885,6071730
2018-02-11,gifto,0.366474,92554896
2018-02-12,gifto,0.381826,69936704
2018-02-13,gifto,0.348167,16891200
2018-02-14,gifto,0.345771,14436200
2018-02-15,gifto,0.571336,81626896
2018-02-16,gifto,0.582318,133437000
2018-02-17,gifto,0.571914,68606496
2018-02-18,gifto,0.478284,43127800
2018-02-19,gifto,0.48643,24803900
2018-02-20,gifto,0.403945,14360800
2018-02-21,gifto,0.443808,21951700
2018-02-22,gifto,0.385173,29378300
2018-02-23,gifto,0.389842,14915500
2018-02-24,gifto,0.397737,14347700
2018-02-25,gifto,0.389892,9409120
2018-02-26,gifto,0.401988,9484660
2018-02-27,gifto,0.404683,4851440
2018-02-28,gifto,0.391512,6663930
2018-03-01,gifto,0.414605,12403300
2018-03-02,gifto,0.406322,5886960
2018-03-03,gifto,0.395922,4058640
2018-03-04,gifto,0.390423,5547450
2018-03-05,gifto,0.364554,6740050
2018-03-06,gifto,0.333468,4707270
2018-03-07,gifto,0.288423,5074690
2018-03-08,gifto,0.261254,2502840
2018-03-09,gifto,0.251582,2451460
2018-03-10,gifto,0.242238,3695930
2018-03-11,gifto,0.272742,2160350
2018-03-12,gifto,0.247183,5387830
2018-03-13,gifto,0.245962,2447720
2018-03-14,gifto,0.264399,9137540
2018-03-15,gifto,0.245737,11399200
2018-03-16,gifto,0.243034,2748870
2018-03-17,gifto,0.244529,2798480
2018-03-18,gifto,0.235464,2870860
2018-03-19,gifto,0.238594,3883020
2018-03-20,gifto,0.248725,2256130
2018-03-21,gifto,0.265094,3603780
2018-03-22,gifto,0.259216,7884630
2018-03-23,gifto,0.254249,4248620
2018-03-24,gifto,0.256475,24636000
2018-03-25,gifto,0.255819,27659900
2018-03-26,gifto,0.235888,22725700
2018-03-27,gifto,0.21858,25205000
2018-03-28,gifto,0.222096,154343008
2018-03-29,gifto,0.179026,31872400
2018-03-30,gifto,0.191646,3028260
2018-03-31,gifto,0.185655,2456830
2018-04-01,gifto,0.173479,817467
2018-04-02,gifto,0.173189,1563390
