day,asset,close,volume
2017-11-01,grid,0.568796,229675
2017-11-02,grid,0.512969,63818.3984375
2017-11-03,grid,0.582337,58831.19921875
2017-11-04,grid,0.638164,124908
2017-11-05,grid,0.695785,31543.599609375
2017-11-06,grid,0.925641,122023
2017-11-07,grid,0.832079,45310.19921875
2017-11-08,grid,0.862899,156206
2017-11-09,grid,0.865456,246511
2017-11-10,grid,0.888128,131924
2017-11-11,grid,0.883972,178063
2017-11-12,grid,0.79725,87714.703125
2017-11-13,grid,0.913646,24673.5
2017-11-14,grid,0.920837,27252.099609375
2017-11-15,grid,0.890849,46351.6015625
2017-11-16,grid,0.887965,13724.5
2017-11-17,grid,0.846803,35709.8984375
2017-11-18,grid,0.927673,14878.599609375
2017-11-19,grid,0.932721,69993.796875
2017-11-20,grid,0.874043,20993.30078125
2017-11-21,grid,0.843109,29977.599609375
2017-11-22,grid,0.82364,65536.296875
2017-11-23,grid,0.839141,38637.5
2017-11-24,grid,0.796537,162340
2017-11-25,grid,0.830252,48187.6015625
2017-11-26,grid,1.18109,165312
2017-11-27,grid,1.15836,217508
2017-11-28,grid,1.00373,69544.3984375
2017-11-29,grid,0.724782,60196.1015625
2017-11-30,grid,0.918429,37926.8984375
2017-12-01,grid,0.914472,26360.80078125
2017-12-02,grid,0.84198,18079.69921875
2017-12-03,grid,0.85506,20838.5
2017-12-04,grid,0.885682,12898.2998046875
2017-12-05,grid,0.849041,17959
2017-12-06,grid,0.783205,18409.5
2017-12-07,grid,0.738384,45330.8984375
2017-12-08,grid,0.791919,13320.400390625
2017-12-09,grid,0.798959,30996
2017-12-10,grid,0.638449,26924.19921875
2017-12-11,grid,0.848795,52817.30078125
2017-12-12,grid,0.977193,57651.80078125
2017-12-13,grid,0.806857,66967.296875
2017-12-14,grid,0.797728,32186.5
2017-12-15,grid,0.867138,29762.19921875
2017-12-16,grid,0.793254,11402.400390625
2017-12-17,grid,0.865072,63960.6015625
2017-12-18,grid,0.855325,46285.69921875
2017-12-19,grid,0.93308,218191
2017-12-20,grid,0.909474,32159
2017-12-21,grid,0.788678,2618.93994140625
2017-12-22,grid,0.848781,13763.900390625
2017-12-23,grid,0.802136,20572.900390625
2017-12-24,grid,0.761036,41983.5
2017-12-25,grid,0.943165,9879.6396484375
2017-12-26,grid,0.974872,23291.900390625
2017-12-27,grid,0.910735,42811.19921875
2017-12-28,grid,0.793069,47290.1015625
2017-12-29,grid,0.891454,27820.80078125
2017-12-30,grid,1.03579,52462.6015625
2017-12-31,grid,1.05742,35389
2018-01-01,grid,0.941063,268844
2018-01-02,grid,1.03765,165366
2018-01-03,grid,1.17185,245732
2018-01-04,grid,1.56637,338300
2018-01-05,grid,2.31343,137404
2018-01-06,grid,2.64145,326770
2018-01-07,grid,2.65373,196995
2018-01-08,grid,2.6207,88996.796875
2018-01-09,grid,2.95036,80435.796875
2018-01-10,grid,2.59763,105450
2018-01-11,grid,2.48498,33393.19921875
2018-01-12,grid,2.52701,98984.3984375
2018-01-13,grid,2.91158,116541
2018-01-14,grid,2.80685,56024
2018-01-15,grid,1.91352,36163
2018-01-16,grid,1.69185,31973.80078125
2018-01-17,grid,1.8726,9534.1201171875
2018-01-18,grid,1.85033,62966.8984375
2018-01-19,grid,1.94965,38915.5
2018-01-20,grid,1.83953,5449.56005859375
2018-01-21,grid,1.80635,27278.5
2018-01-22,grid,1.72314,42913.19921875
2018-01-23,grid,1.69072,74275.8984375
2018-01-24,grid,1.77702,23071
2018-01-25,grid,1.73331,7041.4501953125
2018-01-26,grid,1.73514,19404.099609375
2018-01-27,grid,1.81455,13970.400390625
2018-01-28,grid,2.00334,50772.19921875
2018-01-29,grid,1.77971,14572.599609375
2018-01-30,grid,1.59485,28947.5
2018-01-31,grid,1.6529,35548.3984375
2018-02-01,grid,1.33799,14481.5
2018-02-02,grid,1.35402,40296.6015625
2018-02-03,grid,1.35639,23704.80078125
2018-02-04,grid,1.14856,112865
2018-02-05,grid,0.883623,18630.900390625
2018-02-06,grid,1.02924,30076.599609375
2018-02-07,grid,0.937806,27245.69921875
2018-02-08,grid,1.02584,8816.33984375
2018-02-09,grid,1.10698,261.5639953613281
2018-02-10,grid,1.06309,251.19200134277344
2018-02-21,grid,0.723227,39081.1015625
2018-02-22,grid,0.685091,9774.16015625
2018-02-23,grid,0.839471,7283.10009765625
2018-02-24,grid,0.750752,661.1110229492188
2018-02-25,grid,0.683112,4883.10986328125
2018-02-26,grid,0.708223,8368.650390625
2018-02-27,grid,0.857657,7596.56982421875
2018-02-28,grid,0.700902,23560.5
2018-03-01,grid,0.852074,31067.69921875
2018-03-02,grid,0.769237,9797.669921875
2018-03-03,grid,0.69254,4439.6201171875
2018-03-04,grid,0.649756,13627.599609375
2018-03-05,grid,0.724299,6064.2900390625
2018-03-06,grid,0.796844,4339.740234375
2018-03-07,grid,0.608293,14684.2001953125
2018-03-08,grid,0.562583,26717.400390625
2018-03-09,grid,0.676281,11844.400390625
2018-03-10,grid,0.599414,13371.099609375
2018-03-11,grid,0.61092,30940.900390625
2018-03-12,grid,0.59181,4860.7099609375
2018-03-13,grid,0.553252,41824.30078125
2018-03-14,grid,0.493027,14619.2998046875
2018-03-15,grid,0.610977,250.68299865722656
2018-03-16,grid,0.587774,2651.25
2018-03-17,grid,0.45906,461.1549987792969
2018-03-18,grid,0.449169,2861.340087890625
2018-03-19,grid,0.494934,2302.85009765625
2018-03-20,grid,0.415613,874.739013671875
2018-03-21,grid,0.452387,2775.27001953125
2018-03-22,grid,0.457564,404.1440124511719
2018-03-23,grid,0.456641,1173.6199951171875
2018-03-24,grid,0.443254,4511.18994140625
2018-03-25,grid,0.496856,2745
2018-03-26,grid,0.440561,4046.18994140625
2018-03-27,grid,0.373001,1843.56005859375
2018-03-28,grid,0.436071,1425.8499755859375
2018-03-29,grid,0.307513,9399.73046875
2018-03-30,grid,0.379704,427.4410095214844
2018-03-31,grid,0.29043,5823.6298828125
2018-04-01,grid,0.312128,1398.010009765625
2018-04-02,grid,0.372492,1178.739990234375
