day,asset,close,volume
2017-09-19,indorse-token,0.172962,3255.06005859375
2017-09-20,indorse-token,0.121484,1030.25
2017-09-21,indorse-token,0.105928,2178.47998046875
2017-09-22,indorse-token,0.092445,6251.41015625
2017-09-23,indorse-token,0.136878,6447.93017578125
2017-09-24,indorse-token,0.115864,6932.4599609375
2017-09-25,indorse-token,0.0804401,20519.400390625
2017-09-26,indorse-token,0.0747823,2110.429931640625
2017-09-27,indorse-token,0.0677778,16328.400390625
2017-09-28,indorse-token,0.113951,15693.099609375
2017-09-29,indorse-token,0.107105,7873.490234375
2017-09-30,indorse-token,0.147558,7921.06005859375
2017-10-01,indorse-token,0.142268,1441.3699951171875
2017-10-02,indorse-token,0.115018,23099.80078125
2017-10-03,indorse-token,0.108025,22080.69921875
2017-10-04,indorse-token,0.0935872,32441.099609375
2017-10-05,indorse-token,0.0906277,10515.900390625
2017-10-06,indorse-token,0.100113,19343.30078125
2017-10-07,indorse-token,0.117512,15988.2998046875
2017-10-08,indorse-token,0.112343,20476.400390625
2017-10-09,indorse-token,0.113905,35287.19921875
2017-10-10,indorse-token,0.110105,29204.69921875
2017-10-11,indorse-token,0.100039,9087.1904296875
2017-10-12,indorse-token,0.0969054,20982.69921875
2017-10-13,indorse-token,0.100554,23804.69921875
2017-10-14,indorse-token,0.102814,18970.900390625
2017-10-15,indorse-token,0.0998594,11202.2998046875
2017-10-16,indorse-token,0.087222,10660.7998046875
2017-10-17,indorse-token,0.0809526,36229.3984375
2017-10-18,indorse-token,0.0755666,156404
2017-10-19,indorse-token,0.071688,158529
2017-10-20,indorse-token,0.0686543,169186
2017-10-21,indorse-token,0.0567066,133940
2017-10-22,indorse-token,0.05254,210465
2017-10-23,indorse-token,0.04822,136687
2017-10-24,indorse-token,0.0500155,115085
2017-10-25,indorse-token,0.0481506,133996
2017-10-26,indorse-token,0.0531401,127185
2017-10-27,indorse-token,0.054078,129998
2017-10-28,indorse-token,0.0575917,148185
2017-10-29,indorse-token,0.06017,130867
2017-10-30,indorse-token,0.0548882,179630
2017-10-31,indorse-token,0.0529827,123034
2017-11-01,indorse-token,0.0483669,163251
2017-11-02,indorse-token,0.0469727,139975
2017-11-03,indorse-token,0.0497227,131983
2017-11-04,indorse-token,0.0514281,121513
2017-11-05,indorse-token,0.0507979,135035
2017-11-06,indorse-token,0.049645,166968
2017-11-07,indorse-token,0.049171,98940.3984375
2017-11-08,indorse-token,0.0534976,89728.6015625
2017-11-09,indorse-token,0.0539438,124523
2017-11-10,indorse-token,0.05,117639
2017-11-11,indorse-token,0.0490692,92243.796875
2017-11-12,indorse-token,0.0444115,75881.203125
2017-11-13,indorse-token,0.0471893,63412.6015625
2017-11-14,indorse-token,0.0438833,96084.8984375
2017-11-15,indorse-token,0.0458103,110986
2017-11-16,indorse-token,0.0486472,115931
2017-11-17,indorse-token,0.0445989,107525
2017-11-18,indorse-token,0.0521861,120014
2017-11-19,indorse-token,0.0581744,126757
2017-11-20,indorse-token,0.059709,141492
2017-11-21,indorse-token,0.0535355,137761
2017-11-22,indorse-token,0.0519969,113136
2017-11-23,indorse-token,0.0596193,141117
2017-11-24,indorse-token,0.0660741,155255
2017-11-25,indorse-token,0.0660346,136872
2017-11-26,indorse-token,0.0760202,255985
2017-11-27,indorse-token,0.086794,336521
2017-11-28,indorse-token,0.0828404,284568
2017-11-29,indorse-token,0.0722295,214099
2017-11-30,indorse-token,0.0687513,164840
2017-12-01,indorse-token,0.0836842,187302
2017-12-02,indorse-token,0.0868712,176301
2017-12-03,indorse-token,0.0925075,196262
2017-12-04,indorse-token,0.110409,202337
2017-12-05,indorse-token,0.123754,198836
2017-12-06,indorse-token,0.0983981,204473
2017-12-07,indorse-token,0.0858405,238920
2017-12-08,indorse-token,0.0880166,207775
2017-12-09,indorse-token,0.0846233,229175
2017-12-10,indorse-token,0.0801233,268236
2017-12-11,indorse-token,0.0856693,402255
2017-12-12,indorse-token,0.0961754,488733
2017-12-13,indorse-token,0.0943423,381815
2017-12-14,indorse-token,0.0873094,243549
2017-12-15,indorse-token,0.0904594,296128
2017-12-16,indorse-token,0.0932649,305989
2017-12-17,indorse-token,0.10172,311500
2017-12-18,indorse-token,0.112723,338623
2017-12-19,indorse-token,0.117206,370840
2017-12-20,indorse-token,0.117057,366049
2017-12-21,indorse-token,0.110751,346834
2017-12-22,indorse-token,0.0988173,311731
2017-12-23,indorse-token,0.116843,366532
2017-12-24,indorse-token,0.108976,335273
