day,asset,close,volume
2017-08-13,investfeed,0.0535363,78892.1015625
2017-08-14,investfeed,0.0344791,79642.1015625
2017-08-15,investfeed,0.0372964,45242.3984375
2017-08-16,investfeed,0.0422668,64074.5
2017-08-17,investfeed,0.0311429,37967.19921875
2017-08-18,investfeed,0.0331,42494.3984375
2017-08-19,investfeed,0.0374798,46688.3984375
2017-08-20,investfeed,0.0573126,101465
2017-08-21,investfeed,0.0727209,152195
2017-08-22,investfeed,0.060601,57835.1015625
2017-08-23,investfeed,0.061987,77869.703125
2017-08-24,investfeed,0.0525862,53642.69921875
2017-08-25,investfeed,0.0452762,50487
2017-08-26,investfeed,0.0545143,87693.796875
2017-08-27,investfeed,0.0694984,218692
2017-08-28,investfeed,0.0744445,152585
2017-08-29,investfeed,0.0736263,122259
2017-08-30,investfeed,0.0624516,120783
2017-08-31,investfeed,0.0617219,145553
2017-09-01,investfeed,0.0503795,63314.80078125
2017-09-02,investfeed,0.0455069,35980.19921875
2017-09-03,investfeed,0.0454866,44144.19921875
2017-09-04,investfeed,0.0375265,110551
2017-09-05,investfeed,0.0416732,47854.80078125
2017-09-06,investfeed,0.0692874,145688
2017-09-07,investfeed,0.0600013,63378
2017-09-08,investfeed,0.0893832,1138490
2017-09-09,investfeed,0.103635,1130560
2017-09-10,investfeed,0.0866343,466015
2017-09-11,investfeed,0.0810205,162190
2017-09-12,investfeed,0.0784573,284928
2017-09-13,investfeed,0.0752226,309210
2017-09-14,investfeed,0.0658373,170809
2017-09-15,investfeed,0.0811346,184868
2017-09-16,investfeed,0.0812702,69445.703125
2017-09-17,investfeed,0.0816008,58466.6015625
2017-09-18,investfeed,0.085523,543612
2017-09-19,investfeed,0.0710529,123321
2017-09-20,investfeed,0.0720561,91260.6015625
2017-09-21,investfeed,0.0574072,117391
2017-09-22,investfeed,0.0600979,87400.8984375
2017-09-23,investfeed,0.0577436,40165.30078125
2017-09-24,investfeed,0.0570596,32248.5
2017-09-25,investfeed,0.0589224,71857.703125
2017-09-26,investfeed,0.0563453,96706.1015625
2017-09-27,investfeed,0.0512561,212920
2017-09-28,investfeed,0.0546878,97549.796875
2017-09-29,investfeed,0.061923,37695.3984375
