day,asset,close,volume
2018-02-05,jibrel-network,0.422279,10089800
2018-02-06,jibrel-network,0.624902,18446100
2018-02-07,jibrel-network,0.543456,13114800
2018-02-08,jibrel-network,0.591664,16626200
2018-02-09,jibrel-network,0.620703,11271800
2018-02-10,jibrel-network,0.60205,13923000
2018-02-11,jibrel-network,0.571619,9449060
2018-02-12,jibrel-network,0.604555,10491000
2018-02-13,jibrel-network,0.568982,5683530
2018-02-14,jibrel-network,0.591138,9395430
2018-02-15,jibrel-network,0.600872,8451470
2018-02-16,jibrel-network,0.600911,15299500
2018-02-17,jibrel-network,0.609824,6959180
2018-02-18,jibrel-network,0.559611,13894400
2018-02-19,jibrel-network,0.562483,7493880
2018-02-20,jibrel-network,0.5376,5489580
2018-02-21,jibrel-network,0.512343,8558160
2018-02-22,jibrel-network,0.441391,11768100
2018-02-23,jibrel-network,0.499076,9721380
2018-02-24,jibrel-network,0.448754,9766300
2018-02-25,jibrel-network,0.435462,5685240
2018-02-26,jibrel-network,0.437196,5763710
2018-02-27,jibrel-network,0.486935,4517740
2018-02-28,jibrel-network,0.48249,6088840
2018-03-01,jibrel-network,0.497392,6744870
2018-03-02,jibrel-network,0.487539,5234420
2018-03-03,jibrel-network,0.475326,4248780
2018-03-04,jibrel-network,0.479936,7936470
2018-03-05,jibrel-network,0.482093,5636250
2018-03-06,jibrel-network,0.438829,4653490
2018-03-07,jibrel-network,0.366343,3487790
2018-03-08,jibrel-network,0.333608,1335170
2018-03-09,jibrel-network,0.328028,3312230
2018-03-10,jibrel-network,0.31213,10337000
2018-03-11,jibrel-network,0.434235,7248370
2018-03-12,jibrel-network,0.394774,8395800
2018-03-13,jibrel-network,0.37914,2596700
2018-03-14,jibrel-network,0.349819,2625970
2018-03-15,jibrel-network,0.339658,2266280
2018-03-16,jibrel-network,0.331475,1230200
2018-03-17,jibrel-network,0.299533,730677
2018-03-18,jibrel-network,0.298831,1797680
2018-03-19,jibrel-network,0.303578,3908830
2018-03-20,jibrel-network,0.311902,1629440
2018-03-21,jibrel-network,0.306833,958871
2018-03-22,jibrel-network,0.290156,649658
2018-03-23,jibrel-network,0.305135,806568
2018-03-24,jibrel-network,0.302648,610117
2018-03-25,jibrel-network,0.31148,384668
2018-03-26,jibrel-network,0.290433,672651
2018-03-27,jibrel-network,0.268326,1013780
2018-03-28,jibrel-network,0.277819,676618
2018-03-29,jibrel-network,0.237212,586130
2018-03-30,jibrel-network,0.226965,307314
2018-03-31,jibrel-network,0.20533,879801
2018-04-01,jibrel-network,0.172996,551823
2018-04-02,jibrel-network,0.178592,364058
