day,asset,close,volume
2017-10-25,latoken,0.282686,163778
2017-10-26,latoken,0.203819,94908.5
2017-10-27,latoken,0.20876,44620
2017-10-28,latoken,0.182373,169300
2017-10-29,latoken,0.176697,371769
2017-10-30,latoken,0.137675,75395.703125
2017-10-31,latoken,0.188174,134972
2017-11-01,latoken,0.130348,63247.1015625
2017-11-02,latoken,0.137264,166937
2017-11-03,latoken,0.143688,211073
2017-11-04,latoken,0.143353,214625
2017-11-05,latoken,0.135813,311346
2017-11-06,latoken,0.136692,39709.3984375
2017-11-07,latoken,0.130119,32076.5
2017-11-08,latoken,0.13553,69804.703125
2017-11-09,latoken,0.146218,53955.3984375
2017-11-10,latoken,0.139843,54039.1015625
2017-11-11,latoken,0.14344,17774.69921875
2017-11-12,latoken,0.110825,29737.5
2017-11-13,latoken,0.130023,48949.6015625
2017-11-14,latoken,0.135975,15938.2998046875
2017-11-15,latoken,0.139784,50308
2017-11-16,latoken,0.145105,28610.30078125
2017-11-17,latoken,0.11678,34377.30078125
2017-11-18,latoken,0.119169,18948.19921875
2017-11-19,latoken,0.13597,51372.3984375
2017-11-20,latoken,0.125691,30986.19921875
2017-11-21,latoken,0.124766,25567.19921875
2017-11-22,latoken,0.155113,44325.5
2017-11-23,latoken,0.195824,49529.69921875
2017-11-24,latoken,0.186823,37749
2017-11-25,latoken,0.169001,29732.900390625
2017-11-26,latoken,0.180983,13097.2998046875
2017-11-27,latoken,0.210279,50834.19921875
2017-11-28,latoken,0.168565,149255
2017-11-29,latoken,0.142875,66013.796875
2017-11-30,latoken,0.144598,19965.5
2017-12-01,latoken,0.164832,31485
2017-12-02,latoken,0.156004,46421.30078125
2017-12-03,latoken,0.156935,33044.1015625
2017-12-04,latoken,0.155134,31229.099609375
2017-12-05,latoken,0.17415,97179
2017-12-06,latoken,0.150663,54678.8984375
2017-12-07,latoken,0.145124,41789
2017-12-08,latoken,0.156573,21223.30078125
2017-12-09,latoken,0.184024,107701
2017-12-10,latoken,0.169254,18496.099609375
2017-12-11,latoken,0.250794,290992
2017-12-12,latoken,0.250827,174085
2017-12-13,latoken,0.297937,418802
2017-12-14,latoken,0.302223,103420
2017-12-15,latoken,0.280287,567936
2017-12-16,latoken,0.275763,325887
2017-12-17,latoken,0.286431,505340
2017-12-18,latoken,0.308142,470281
2017-12-19,latoken,0.321179,507793
2017-12-20,latoken,0.310113,464725
2017-12-21,latoken,0.255435,592865
2017-12-22,latoken,0.229847,512609
2017-12-23,latoken,0.299984,340447
2017-12-24,latoken,0.28296,778326
2017-12-25,latoken,0.305812,309182
2017-12-26,latoken,0.311109,361390
2017-12-27,latoken,0.348602,1870290
2017-12-28,latoken,0.329034,1063020
2017-12-29,latoken,0.426869,1304810
2017-12-30,latoken,0.482029,2858880
2017-12-31,latoken,0.548973,1714260
2018-01-01,latoken,0.686946,4192250
2018-01-02,latoken,0.690147,711051
2018-01-03,latoken,0.751887,1724470
2018-01-04,latoken,0.737946,1695340
2018-01-05,latoken,0.908748,2235570
2018-01-06,latoken,1.09417,2012270
2018-01-07,latoken,1.73687,4619990
2018-01-08,latoken,1.55669,3841470
2018-01-09,latoken,1.43882,3519750
2018-01-10,latoken,1.37104,2755350
2018-01-11,latoken,1.20151,2465440
2018-01-12,latoken,1.22931,1523640
2018-01-13,latoken,1.02801,1524850
2018-01-14,latoken,1.16957,1466740
2018-01-15,latoken,0.866572,1561070
2018-01-16,latoken,0.759483,1590050
2018-01-17,latoken,0.744094,2740260
2018-01-18,latoken,0.736664,2330700
2018-01-19,latoken,0.669217,4340020
2018-01-20,latoken,0.784559,4385600
2018-01-21,latoken,0.679988,3570100
2018-01-22,latoken,0.612673,2372020
2018-01-23,latoken,0.590582,3459850
2018-01-24,latoken,0.577822,2135880
2018-01-25,latoken,0.536113,3278630
2018-01-26,latoken,0.579784,2251910
2018-01-27,latoken,0.613969,3579610
2018-01-28,latoken,0.885437,7240870
2018-01-29,latoken,0.703303,4577190
2018-01-30,latoken,0.522962,2641620
2018-01-31,latoken,0.523976,2154510
2018-02-01,latoken,0.474195,2511760
2018-02-02,latoken,0.418126,2000030
2018-02-03,latoken,0.457788,1927570
2018-02-04,latoken,0.375753,1221840
2018-02-05,latoken,0.318152,994836
2018-02-06,latoken,0.368946,570669
2018-02-07,latoken,0.323882,697202
2018-02-08,latoken,0.352854,529476
2018-02-09,latoken,0.3637,702582
2018-02-10,latoken,0.368169,454824
2018-02-11,latoken,0.333231,283876
2018-02-12,latoken,0.382327,6947980
2018-02-13,latoken,0.363896,1543080
2018-02-14,latoken,0.401039,1286280
2018-02-15,latoken,0.396967,1420830
2018-02-16,latoken,0.40958,912245
2018-02-17,latoken,0.40781,880525
2018-02-18,latoken,0.384127,703470
2018-02-19,latoken,0.376644,1022000
2018-02-20,latoken,0.33493,1001290
2018-02-21,latoken,0.332604,1850810
2018-02-22,latoken,0.30369,3359950
2018-02-23,latoken,0.33986,3698530
2018-02-24,latoken,0.349287,3878290
2018-02-25,latoken,0.307455,2704180
2018-02-26,latoken,0.310479,2032470
2018-02-27,latoken,0.313543,2505330
2018-02-28,latoken,0.312024,1960470
2018-03-01,latoken,0.305659,1376990
2018-03-02,latoken,0.299134,837836
2018-03-03,latoken,0.294859,1142860
2018-03-04,latoken,0.307033,1124700
2018-03-05,latoken,0.310552,976105
2018-03-06,latoken,0.269375,1083610
2018-03-07,latoken,0.240274,811678
2018-03-08,latoken,0.22736,293482
2018-03-09,latoken,0.237545,154723
2018-03-10,latoken,0.222506,111566
2018-03-11,latoken,0.242793,178589
2018-03-12,latoken,0.231266,460283
2018-03-13,latoken,0.224665,833849
2018-03-14,latoken,0.198155,537705
2018-03-15,latoken,0.20048,1249270
2018-03-16,latoken,0.193806,1315890
2018-03-17,latoken,0.17006,1195080
2018-03-18,latoken,0.162447,1199520
2018-03-19,latoken,0.1693,1313930
2018-03-20,latoken,0.182538,1107720
2018-03-21,latoken,0.209621,667389
2018-03-22,latoken,0.200424,1797020
2018-03-23,latoken,0.197056,1277510
2018-03-24,latoken,0.185481,1529710
2018-03-25,latoken,0.176832,1637770
2018-03-26,latoken,0.192208,887005
2018-03-27,latoken,0.174007,662325
2018-03-28,latoken,0.174464,478146
2018-03-29,latoken,0.14924,610361
2018-03-30,latoken,0.155462,564014
2018-03-31,latoken,0.150291,485536
2018-04-01,latoken,0.145323,441468
2018-04-02,latoken,0.154607,334918
