day,asset,close,volume
2018-01-12,leverj,0.272507,47084.6015625
2018-01-13,leverj,0.300686,56142.19921875
2018-01-14,leverj,0.284225,105091
2018-01-15,leverj,0.401711,69136.703125
2018-01-16,leverj,0.317784,29405.599609375
2018-01-17,leverj,0.204162,205311
2018-01-18,leverj,0.212429,112979
2018-01-19,leverj,0.197794,111898
2018-01-20,leverj,0.196137,106533
2018-01-21,leverj,0.153251,95205
2018-01-22,leverj,0.146818,65471
2018-01-23,leverj,0.16541,37780.3984375
2018-01-24,leverj,0.158129,228303
2018-01-25,leverj,0.165891,134505
2018-01-26,leverj,0.169547,118773
2018-01-27,leverj,0.146631,861525
2018-01-28,leverj,0.161882,426334
2018-01-29,leverj,0.168133,198369
2018-01-30,leverj,0.138197,177121
2018-01-31,leverj,0.151095,46081.8984375
2018-02-01,leverj,0.128119,76761.703125
2018-02-02,leverj,0.121448,34873.1015625
2018-02-03,leverj,0.120233,36773.30078125
2018-02-04,leverj,0.0965177,118783
2018-02-05,leverj,0.0801105,65082.5
2018-02-06,leverj,0.0895653,56738.80078125
2018-02-07,leverj,0.0863284,14906
2018-02-08,leverj,0.102865,29685.19921875
2018-02-09,leverj,0.106158,33514.6015625
2018-02-10,leverj,0.104079,72789.3984375
2018-02-11,leverj,0.0860345,70894.296875
2018-02-12,leverj,0.100358,51263.19921875
2018-02-13,leverj,0.0882067,57491.1015625
2018-02-14,leverj,0.0935929,31734.599609375
2018-02-15,leverj,0.092184,6834.77001953125
2018-02-16,leverj,0.0970352,26676.599609375
2018-02-17,leverj,0.108696,23017.69921875
2018-02-18,leverj,0.114323,8329.740234375
2018-02-19,leverj,0.131371,40219.5
2018-02-20,leverj,0.116769,7055.02978515625
2018-02-21,leverj,0.109701,34275.1015625
2018-02-22,leverj,0.0915773,44720.1015625
2018-02-23,leverj,0.0901127,14433.099609375
2018-02-24,leverj,0.0848112,19385.69921875
2018-02-25,leverj,0.0848863,15910.7001953125
2018-02-26,leverj,0.0906408,19651.69921875
2018-02-27,leverj,0.106887,502.9200134277344
2018-02-28,leverj,0.0869716,17096.69921875
2018-03-01,leverj,0.0833371,18689.400390625
2018-03-02,leverj,0.102645,436525
2018-03-03,leverj,0.113396,426277
2018-03-04,leverj,0.109982,1269550
2018-03-05,leverj,0.101243,914136
2018-03-06,leverj,0.0989501,1912760
2018-03-07,leverj,0.0929941,836936
2018-03-08,leverj,0.106921,37577700
2018-03-09,leverj,0.0740404,5344300
2018-03-10,leverj,0.0757235,480349
2018-03-11,leverj,0.0695596,34060.69921875
2018-03-12,leverj,0.0687721,50105.19921875
2018-03-13,leverj,0.0614719,51540.30078125
2018-03-14,leverj,0.0495727,83391.8984375
2018-03-15,leverj,0.0446769,197040
2018-03-16,leverj,0.0528242,86926
2018-03-17,leverj,0.0485439,47059.80078125
2018-03-18,leverj,0.0450954,29061.599609375
2018-03-19,leverj,0.0467227,19814.30078125
2018-03-20,leverj,0.0402632,51414.30078125
2018-03-21,leverj,0.039937,9874.1201171875
2018-03-22,leverj,0.0406455,8528.91015625
2018-03-23,leverj,0.0332884,159265
2018-03-24,leverj,0.0358743,7768.85009765625
2018-03-25,leverj,0.0332336,10915.5
2018-03-26,leverj,0.0288279,10997.099609375
2018-03-27,leverj,0.0310803,33060.30078125
2018-03-28,leverj,0.0311974,43865
2018-03-29,leverj,0.0285189,13322.2998046875
2018-03-30,leverj,0.0300714,11700.7998046875
2018-03-31,leverj,0.0279751,8739.6904296875
2018-04-01,leverj,0.0293179,6984.75
2018-04-02,leverj,0.0340496,11809.2998046875
