day,asset,close,volume
2017-08-30,loopring,0.10481,200829
2017-08-31,loopring,0.133323,66809.203125
2017-09-01,loopring,0.0752646,8198750
2017-09-02,loopring,0.0607161,2840680
2017-09-03,loopring,0.0841829,9833750
2017-09-04,loopring,0.0357194,3792200
2017-09-05,loopring,0.0373013,2816840
2017-09-06,loopring,0.0444603,2589560
2017-09-07,loopring,0.0594681,3608710
2017-09-08,loopring,0.0473084,7482910
2017-09-09,loopring,0.0476385,2811530
2017-09-10,loopring,0.0451829,1592970
2017-09-11,loopring,0.0445762,1042710
2017-09-12,loopring,0.0507353,316986
2017-09-13,loopring,0.0467475,177864
2017-09-14,loopring,0.0419456,106674
2017-09-15,loopring,0.0542531,75715
2017-09-16,loopring,0.0515944,64551
2017-09-17,loopring,0.0474642,41447.30078125
2017-09-18,loopring,0.0487226,56477
2017-09-19,loopring,0.0459296,45354.1015625
2017-09-20,loopring,0.0440338,19234.900390625
2017-09-21,loopring,0.0388958,52375.8984375
2017-09-22,loopring,0.0456951,82929.5
2017-09-23,loopring,0.0598396,154649
2017-09-24,loopring,0.0590602,79280.3984375
2017-09-25,loopring,0.0589988,72688.6015625
2017-09-26,loopring,0.0587191,51622.5
2017-09-27,loopring,0.0641203,88025.8984375
2017-09-28,loopring,0.081743,271944
2017-09-29,loopring,0.0901119,356187
2017-09-30,loopring,0.12327,702603
2017-10-01,loopring,0.177186,2094370
2017-10-02,loopring,0.156927,1084100
2017-10-03,loopring,0.164115,634171
2017-10-04,loopring,0.203048,966273
2017-10-05,loopring,0.228429,2203710
2017-10-06,loopring,0.252989,1973490
2017-10-07,loopring,0.217856,1300820
2017-10-08,loopring,0.181748,1300060
2017-10-09,loopring,0.162307,724069
2017-10-10,loopring,0.161953,640169
2017-10-11,loopring,0.189545,537098
2017-10-12,loopring,0.176854,542226
2017-10-13,loopring,0.175273,799815
2017-10-14,loopring,0.176612,738487
2017-10-15,loopring,0.167337,318204
2017-10-16,loopring,0.162666,339813
2017-10-17,loopring,0.158198,296487
2017-10-18,loopring,0.162038,334873
2017-10-19,loopring,0.180417,808318
2017-10-20,loopring,0.175322,416205
2017-10-21,loopring,0.161937,208200
2017-10-22,loopring,0.156615,284899
2017-10-23,loopring,0.15261,184110
2017-10-24,loopring,0.154866,334629
2017-10-25,loopring,0.146606,170930
2017-10-26,loopring,0.139382,220197
2017-10-27,loopring,0.147354,246288
2017-10-28,loopring,0.147218,188744
2017-10-29,loopring,0.150732,229723
2017-10-30,loopring,0.162415,1704170
2017-10-31,loopring,0.161632,956200
2017-11-01,loopring,0.180812,3133780
2017-11-02,loopring,0.159025,988862
2017-11-03,loopring,0.163965,733898
2017-11-04,loopring,0.159384,533975
2017-11-05,loopring,0.15519,619576
2017-11-06,loopring,0.156132,839219
2017-11-07,loopring,0.155454,463039
2017-11-08,loopring,0.167451,931716
2017-11-09,loopring,0.165387,924937
2017-11-10,loopring,0.150365,1037280
2017-11-11,loopring,0.162316,611035
2017-11-12,loopring,0.130133,810831
2017-11-13,loopring,0.142889,457430
2017-11-14,loopring,0.137053,555592
2017-11-15,loopring,0.145176,515612
2017-11-16,loopring,0.132924,670416
2017-11-17,loopring,0.154047,986438
2017-11-18,loopring,0.184065,2643510
2017-11-19,loopring,0.189565,3531190
2017-11-20,loopring,0.197336,5835710
2017-11-21,loopring,0.170324,2261270
2017-11-22,loopring,0.176455,1508720
2017-11-23,loopring,0.172331,1059520
2017-11-24,loopring,0.201042,1486680
2017-11-25,loopring,0.214214,1509670
2017-11-26,loopring,0.206796,1416640
2017-11-27,loopring,0.217379,3511020
2017-11-28,loopring,0.225501,5444650
2017-11-29,loopring,0.178603,4980480
2017-11-30,loopring,0.207323,4372370
2017-12-01,loopring,0.234575,4661340
2017-12-02,loopring,0.256766,4882390
2017-12-03,loopring,0.285496,8670450
2017-12-04,loopring,0.313792,9087570
2017-12-05,loopring,0.281937,10273100
2017-12-06,loopring,0.248612,8219890
2017-12-07,loopring,0.217126,6744120
2017-12-08,loopring,0.247611,6449680
2017-12-09,loopring,0.236416,5546210
2017-12-10,loopring,0.203598,4365390
2017-12-11,loopring,0.219029,5406230
2017-12-12,loopring,0.214099,5711980
2017-12-13,loopring,0.22618,5698520
2017-12-14,loopring,0.264399,8397000
2017-12-15,loopring,0.24685,7529180
2017-12-16,loopring,0.278418,6187860
2017-12-17,loopring,0.372854,9791170
2017-12-18,loopring,0.379898,8176050
2017-12-19,loopring,0.337806,6677380
2017-12-20,loopring,0.323907,3457720
2017-12-21,loopring,0.352229,5281890
2017-12-22,loopring,0.297202,4821260
2017-12-23,loopring,0.3382,3926560
2017-12-24,loopring,0.306396,2114270
2017-12-25,loopring,0.315339,2362050
2017-12-26,loopring,0.302301,2676290
2017-12-27,loopring,0.36206,8431440
2017-12-28,loopring,0.339134,3886040
2017-12-29,loopring,0.389439,6462780
2017-12-30,loopring,0.370531,6362530
2017-12-31,loopring,0.458587,9570140
2018-01-01,loopring,0.456178,5781390
2018-01-02,loopring,0.487843,10427400
2018-01-03,loopring,0.56993,11634500
2018-01-04,loopring,0.656785,16973700
2018-01-05,loopring,1.03124,53987200
2018-01-06,loopring,1.30537,52629400
2018-01-07,loopring,1.1519,25142700
2018-01-08,loopring,1.45058,44705100
2018-01-09,loopring,2.122,173346000
2018-01-10,loopring,1.71256,77854000
2018-01-11,loopring,1.42443,32398100
2018-01-12,loopring,1.47644,27587600
2018-01-13,loopring,1.24225,26940400
2018-01-14,loopring,1.34746,30760100
2018-01-15,loopring,1.12892,31598000
2018-01-16,loopring,0.867617,16416700
2018-01-17,loopring,0.909572,13854700
2018-01-18,loopring,0.929125,15093700
2018-01-19,loopring,1.13405,18655100
2018-01-20,loopring,1.41274,33319000
2018-01-21,loopring,1.08488,15511300
2018-01-22,loopring,0.993002,11088100
2018-01-23,loopring,1.00789,8098120
