day,asset,close,volume
2017-12-22,medibloc,0.0198852,645796
2017-12-23,medibloc,0.0291039,1175670
2017-12-24,medibloc,0.0260403,683946
2017-12-25,medibloc,0.0514427,8053790
2017-12-26,medibloc,0.0521806,5797090
2017-12-27,medibloc,0.0654941,11831000
2017-12-28,medibloc,0.0593805,10142800
2017-12-29,medibloc,0.0518665,3997390
2017-12-30,medibloc,0.0413021,2704120
2017-12-31,medibloc,0.0445108,2307320
2018-01-01,medibloc,0.0388086,2578770
2018-01-02,medibloc,0.041894,4249420
2018-01-03,medibloc,0.0394875,2435280
2018-01-04,medibloc,0.0486963,6368880
2018-01-05,medibloc,0.0605962,14696700
2018-01-06,medibloc,0.0787803,9916690
2018-01-07,medibloc,0.0885447,15985000
2018-01-08,medibloc,0.123911,28728300
2018-01-09,medibloc,0.214486,76776200
2018-01-10,medibloc,0.203609,72122096
2018-01-11,medibloc,0.23094,11167200
2018-01-12,medibloc,0.215998,33093600
2018-01-13,medibloc,0.188669,19445300
2018-01-14,medibloc,0.167571,15150800
2018-01-15,medibloc,0.138315,10941700
2018-01-16,medibloc,0.0900727,20709600
2018-01-17,medibloc,0.117624,16963500
2018-01-18,medibloc,0.145864,23804100
2018-01-19,medibloc,0.129818,11377800
2018-01-20,medibloc,0.124681,13822600
2018-01-21,medibloc,0.0993448,8427690
2018-01-22,medibloc,0.0931403,7540700
2018-01-23,medibloc,0.0872742,5122330
2018-01-24,medibloc,0.0925293,6226440
2018-01-25,medibloc,0.103644,6279860
2018-01-26,medibloc,0.104695,9755950
2018-01-27,medibloc,0.100902,3311580
2018-01-28,medibloc,0.0967536,2878610
2018-01-29,medibloc,0.0909871,3539200
2018-01-30,medibloc,0.0766976,2774520
2018-01-31,medibloc,0.0736789,3276670
2018-02-01,medibloc,0.0593589,3228100
2018-02-02,medibloc,0.055898,5558320
2018-02-03,medibloc,0.0582625,4014660
2018-02-04,medibloc,0.0454249,2256910
2018-02-05,medibloc,0.0322834,2254880
2018-02-06,medibloc,0.0439204,3421370
2018-02-07,medibloc,0.0380142,2300910
2018-02-08,medibloc,0.0440136,1826250
2018-02-09,medibloc,0.0482907,1790470
2018-02-10,medibloc,0.0436096,2092880
2018-02-11,medibloc,0.0375165,1616090
2018-02-12,medibloc,0.0404808,1396980
2018-02-13,medibloc,0.0375834,978792
2018-02-14,medibloc,0.040958,1844840
2018-02-15,medibloc,0.040053,1291010
2018-02-16,medibloc,0.0415427,1287940
2018-02-17,medibloc,0.0446015,1593890
2018-02-18,medibloc,0.0409578,1536480
2018-02-19,medibloc,0.0419174,981889
2018-02-20,medibloc,0.0369645,659993
2018-02-21,medibloc,0.034115,845082
2018-02-22,medibloc,0.0330342,869237
2018-02-23,medibloc,0.0348633,558219
2018-02-24,medibloc,0.0313632,362180
2018-02-25,medibloc,0.0312363,299668
2018-02-26,medibloc,0.0322667,759689
2018-02-27,medibloc,0.0323847,868881
2018-02-28,medibloc,0.0299934,1095480
2018-03-01,medibloc,0.0297062,972355
2018-03-02,medibloc,0.0335157,2140650
2018-03-03,medibloc,0.0333515,974660
2018-03-04,medibloc,0.0343774,873743
2018-03-05,medibloc,0.033223,5403990
2018-03-06,medibloc,0.0298097,6926670
2018-03-07,medibloc,0.0241348,8546210
2018-03-08,medibloc,0.0201695,11280600
2018-03-09,medibloc,0.0208658,6012090
2018-03-10,medibloc,0.0202962,1370720
2018-03-11,medibloc,0.0225782,674810
2018-03-12,medibloc,0.0216765,1002050
2018-03-13,medibloc,0.0210899,986981
2018-03-14,medibloc,0.0199984,1018030
2018-03-15,medibloc,0.0187516,828152
2018-03-16,medibloc,0.0186878,721408
2018-03-17,medibloc,0.0158568,662467
2018-03-18,medibloc,0.0155542,857644
2018-03-19,medibloc,0.017496,986457
2018-03-20,medibloc,0.0193536,931780
2018-03-21,medibloc,0.0211145,1286100
2018-03-22,medibloc,0.0197712,979720
2018-03-23,medibloc,0.0200266,1407380
2018-03-24,medibloc,0.0206967,1090100
2018-03-25,medibloc,0.0202573,876567
2018-03-26,medibloc,0.0177073,1211480
2018-03-27,medibloc,0.0170695,965258
2018-03-28,medibloc,0.0173398,603609
2018-03-29,medibloc,0.0153656,600315
2018-03-30,medibloc,0.0153772,661197
2018-03-31,medibloc,0.0158121,611307
2018-04-01,medibloc,0.0154591,610064
2018-04-02,medibloc,0.0146582,628377
