day,asset,close,volume
2017-12-18,micromoney,0.67413,452417
2017-12-19,micromoney,0.622429,1125050
2017-12-20,micromoney,0.563784,520014
2017-12-21,micromoney,0.572765,373901
2017-12-22,micromoney,0.43668,717982
2017-12-23,micromoney,0.482745,673699
2017-12-24,micromoney,0.518876,365917
2017-12-25,micromoney,0.4779,524228
2017-12-26,micromoney,0.527382,506062
2017-12-27,micromoney,0.569161,903640
2017-12-28,micromoney,0.478067,732148
2017-12-29,micromoney,0.507673,354632
2017-12-30,micromoney,0.484612,1222690
2017-12-31,micromoney,0.608311,2781690
2018-01-01,micromoney,0.820319,3299270
2018-01-02,micromoney,0.721673,2812920
2018-01-03,micromoney,0.800775,3009570
2018-01-04,micromoney,1.13491,6151230
2018-01-05,micromoney,1.13127,4541120
2018-01-06,micromoney,1.01375,4379910
2018-01-07,micromoney,1.1461,5918980
2018-01-08,micromoney,1.30318,8928430
2018-01-09,micromoney,2.38339,22292700
2018-01-10,micromoney,2.11295,5202680
2018-01-11,micromoney,1.50406,2538010
2018-01-12,micromoney,1.61754,5366420
2018-01-13,micromoney,1.31337,2973800
2018-01-14,micromoney,1.4903,5225600
2018-01-15,micromoney,1.23257,4670010
2018-01-16,micromoney,0.943514,4302980
2018-01-17,micromoney,0.88633,3636800
2018-01-18,micromoney,1.2125,7093270
2018-01-19,micromoney,1.18386,7793400
2018-01-20,micromoney,1.26036,3886260
2018-01-21,micromoney,1.03567,3266620
2018-01-22,micromoney,0.951069,3927190
2018-01-23,micromoney,0.98814,7345140
2018-01-24,micromoney,1.09384,7100620
2018-01-25,micromoney,1.02735,5733780
2018-01-26,micromoney,1.02924,5830190
2018-01-27,micromoney,1.00966,6883750
2018-01-28,micromoney,0.968026,5791340
2018-01-29,micromoney,0.975609,3883580
2018-01-30,micromoney,0.864777,4782590
2018-01-31,micromoney,0.813193,5023140
2018-02-01,micromoney,0.571975,4225780
2018-02-02,micromoney,0.536942,3746000
2018-02-03,micromoney,0.629486,3194470
2018-02-04,micromoney,0.642492,3602920
2018-02-05,micromoney,0.454529,3097130
2018-02-06,micromoney,0.483783,3367360
2018-02-07,micromoney,0.505276,3520130
2018-02-08,micromoney,0.473816,3832000
2018-02-09,micromoney,0.502482,3385580
2018-02-10,micromoney,0.482043,940282
2018-02-11,micromoney,0.495203,670864
2018-02-12,micromoney,0.492899,1951410
2018-02-13,micromoney,0.474479,2078650
2018-02-14,micromoney,0.505067,2190150
2018-02-15,micromoney,0.534099,1662070
2018-02-16,micromoney,0.593259,2167510
2018-02-17,micromoney,0.629036,1815000
2018-02-18,micromoney,0.574433,2491220
2018-02-19,micromoney,0.58921,2003940
2018-02-20,micromoney,0.545741,1339680
2018-02-21,micromoney,0.463827,1974540
2018-02-22,micromoney,0.485292,2182240
2018-02-23,micromoney,0.49614,1766170
2018-02-24,micromoney,0.513744,1426830
2018-02-25,micromoney,0.49448,1925000
2018-02-26,micromoney,0.498796,1753830
2018-02-27,micromoney,0.453054,1091300
2018-02-28,micromoney,0.385263,1928650
2018-03-01,micromoney,0.393279,1417660
2018-03-02,micromoney,0.376292,1668310
2018-03-03,micromoney,0.341066,1079100
2018-03-04,micromoney,0.35442,1168700
2018-03-05,micromoney,0.350541,713479
2018-03-06,micromoney,0.316191,617539
2018-03-07,micromoney,0.28924,630903
2018-03-08,micromoney,0.263126,1132920
2018-03-09,micromoney,0.25766,1109040
2018-03-10,micromoney,0.243754,1142420
2018-03-11,micromoney,0.259802,977262
2018-03-12,micromoney,0.262719,527380
2018-03-13,micromoney,0.299434,115164
2018-03-14,micromoney,0.265594,411173
2018-03-15,micromoney,0.281034,495084
2018-03-16,micromoney,0.248803,588324
2018-03-17,micromoney,0.231092,188444
2018-03-18,micromoney,0.227248,277226
2018-03-19,micromoney,0.23158,339861
2018-03-20,micromoney,0.228188,152227
2018-03-21,micromoney,0.235995,48766.1015625
2018-03-22,micromoney,0.224724,60338
2018-03-23,micromoney,0.252541,47241.5
2018-03-24,micromoney,0.253415,136579
2018-03-25,micromoney,0.242753,41628.69921875
2018-03-26,micromoney,0.225084,557552
2018-03-27,micromoney,0.214182,338760
2018-03-28,micromoney,0.216247,240032
2018-03-29,micromoney,0.199375,344743
2018-03-30,micromoney,0.19432,269213
2018-03-31,micromoney,0.194649,251872
2018-04-01,micromoney,0.180973,240072
2018-04-02,micromoney,0.189181,260616
