day,asset,close,volume
2017-09-06,monetha,0.285338,2743890
2017-09-07,monetha,0.341991,4799890
2017-09-08,monetha,0.266492,1340900
2017-09-09,monetha,0.27488,1167320
2017-09-10,monetha,0.220087,1118340
2017-09-11,monetha,0.238158,1327440
2017-09-12,monetha,0.250626,1303530
2017-09-13,monetha,0.218856,1028680
2017-09-14,monetha,0.173416,435359
2017-09-15,monetha,0.186535,619595
2017-09-16,monetha,0.194885,591624
2017-09-17,monetha,0.187031,625908
2017-09-18,monetha,0.185677,657704
2017-09-19,monetha,0.179799,615339
2017-09-20,monetha,0.194443,1166480
2017-09-21,monetha,0.156219,647349
2017-09-22,monetha,0.142021,592697
2017-09-23,monetha,0.145553,419814
2017-09-24,monetha,0.115534,702874
2017-09-25,monetha,0.123648,491525
2017-09-26,monetha,0.12392,526672
2017-09-27,monetha,0.159816,626903
2017-09-28,monetha,0.138123,533497
2017-09-29,monetha,0.132429,394875
2017-09-30,monetha,0.137928,351187
2017-10-01,monetha,0.171593,1128420
2017-10-02,monetha,0.147604,731474
2017-10-03,monetha,0.135538,455594
2017-10-04,monetha,0.128993,402377
2017-10-05,monetha,0.139346,449742
2017-10-06,monetha,0.141843,262550
2017-10-07,monetha,0.124015,339068
2017-10-08,monetha,0.102872,338911
2017-10-09,monetha,0.097415,513367
2017-10-10,monetha,0.103546,279531
2017-10-11,monetha,0.10444,209890
2017-10-12,monetha,0.0961723,223139
2017-10-13,monetha,0.111568,1024520
2017-10-14,monetha,0.10285,300929
2017-10-15,monetha,0.0963362,307705
2017-10-16,monetha,0.0971909,271628
2017-10-17,monetha,0.0853533,211748
2017-10-18,monetha,0.0831596,415738
2017-10-19,monetha,0.081223,273435
2017-10-20,monetha,0.0799001,253479
2017-10-21,monetha,0.0849658,391486
2017-10-22,monetha,0.0845555,220098
2017-10-23,monetha,0.0737223,201901
2017-10-24,monetha,0.0746453,484389
2017-10-25,monetha,0.0758437,201226
2017-10-26,monetha,0.0721384,283249
2017-10-27,monetha,0.0736463,362836
2017-10-28,monetha,0.0730231,281258
2017-10-29,monetha,0.0717187,349988
2017-10-30,monetha,0.0695928,403137
2017-10-31,monetha,0.066083,501649
2017-11-01,monetha,0.055545,583515
2017-11-02,monetha,0.0559366,501710
2017-11-03,monetha,0.0683456,491676
2017-11-04,monetha,0.0731786,504572
2017-11-05,monetha,0.0728978,550024
2017-11-06,monetha,0.065676,501238
2017-11-07,monetha,0.0712416,645301
2017-11-08,monetha,0.0821734,578565
