day,asset,close,volume
2017-12-23,naga,1.55442,3010670
2017-12-24,naga,1.46604,1269660
2017-12-25,naga,1.38701,1348070
2017-12-26,naga,1.26625,1009120
2017-12-27,naga,1.27426,814927
2017-12-28,naga,1.39038,439113
2017-12-29,naga,1.90939,2162490
2017-12-30,naga,3.66195,5664270
2017-12-31,naga,2.89393,6042810
2018-01-01,naga,2.89308,7122910
2018-01-02,naga,2.64183,5545490
2018-01-03,naga,2.39033,3284490
2018-01-04,naga,2.14985,2858230
2018-01-05,naga,2.1658,2239570
2018-01-06,naga,2.66382,1810380
2018-01-07,naga,2.91738,1893540
2018-01-08,naga,2.53506,1993550
2018-01-09,naga,2.58727,1650940
2018-01-10,naga,2.49219,1631170
2018-01-11,naga,2.76354,6404420
2018-01-12,naga,2.94581,3170840
2018-01-13,naga,2.59876,1851700
2018-01-14,naga,2.22628,1640910
2018-01-15,naga,2.57961,3143870
2018-01-16,naga,1.7325,2371120
2018-01-17,naga,1.71735,1451660
2018-01-18,naga,1.67178,1054520
2018-01-19,naga,1.69471,731578
2018-01-20,naga,2.08039,855712
2018-01-21,naga,1.84611,1641540
2018-01-22,naga,1.7121,974785
2018-01-23,naga,1.64118,631677
2018-01-24,naga,1.77273,1071770
2018-01-25,naga,1.57174,556802
2018-01-26,naga,1.46648,2216630
2018-01-27,naga,1.46293,642944
2018-01-28,naga,1.3197,1136660
2018-01-29,naga,1.32611,629124
2018-01-30,naga,1.17429,541678
2018-01-31,naga,1.41859,1269830
2018-02-01,naga,1.18395,875552
2018-02-02,naga,1.10758,498347
2018-02-03,naga,1.16585,301781
2018-02-04,naga,1.03568,306164
2018-02-05,naga,0.795607,617293
2018-02-06,naga,0.838511,712272
2018-02-07,naga,0.810792,439830
2018-02-08,naga,0.942023,383938
2018-02-09,naga,1.0122,293648
2018-02-10,naga,0.96865,538866
2018-02-11,naga,0.908934,121865
2018-02-12,naga,0.938486,272374
2018-02-13,naga,0.898816,202621
2018-02-14,naga,0.880585,278692
2018-02-15,naga,0.89966,294265
2018-02-16,naga,0.916194,225206
2018-02-17,naga,0.923563,368797
2018-02-18,naga,0.908266,215513
2018-02-19,naga,1.13585,742387
2018-02-20,naga,1.01561,707414
2018-02-21,naga,0.973893,511955
2018-02-22,naga,1.00031,460560
2018-02-23,naga,1.02726,221570
2018-02-24,naga,0.975432,196103
2018-02-25,naga,0.962041,182840
2018-02-26,naga,0.965101,180390
2018-02-27,naga,0.934233,246609
2018-02-28,naga,0.937237,252945
2018-03-01,naga,0.981976,296986
2018-03-02,naga,0.936529,169464
2018-03-03,naga,0.941679,208678
2018-03-04,naga,0.926565,332863
2018-03-05,naga,0.927984,312758
2018-03-06,naga,0.862413,218404
2018-03-07,naga,0.810974,188523
2018-03-08,naga,0.773241,125027
2018-03-09,naga,0.746848,371287
2018-03-10,naga,0.712623,119196
2018-03-11,naga,0.690651,401144
2018-03-12,naga,0.71433,746661
2018-03-13,naga,0.705011,194047
2018-03-14,naga,0.648652,114335
2018-03-15,naga,0.648033,124941
2018-03-16,naga,0.624607,80634.8984375
2018-03-17,naga,0.618212,85300.6015625
2018-03-18,naga,0.624128,192445
2018-03-19,naga,0.681383,124583
2018-03-20,naga,0.869132,210113
2018-03-21,naga,0.871574,390997
2018-03-22,naga,0.774633,82023.796875
2018-03-23,naga,0.763488,151557
2018-03-24,naga,0.739054,184148
2018-03-25,naga,0.684888,49597.1015625
2018-03-26,naga,0.668892,81501.1015625
2018-03-27,naga,0.63736,82184.796875
2018-03-28,naga,0.644211,47906.6015625
2018-03-29,naga,0.607327,81023.8984375
2018-03-30,naga,0.553813,128873
2018-03-31,naga,0.559422,92592.3984375
2018-04-01,naga,0.536375,87459.1015625
2018-04-02,naga,0.577482,79703.203125
