day,asset,close,volume
2017-09-12,neblio,0.629251,257746
2017-09-13,neblio,1.27929,521254
2017-09-14,neblio,1.14457,326545
2017-09-15,neblio,1.34748,150395
2017-09-16,neblio,1.27838,265917
2017-09-17,neblio,1.29325,114147
2017-09-18,neblio,1.24472,165211
2017-09-19,neblio,1.21477,114676
2017-09-20,neblio,0.919734,94403.3984375
2017-09-21,neblio,0.953339,55863.5
2017-09-22,neblio,1.11782,102911
2017-09-23,neblio,1.0732,252009
2017-09-24,neblio,1.01281,107388
2017-09-25,neblio,1.13593,90874.3984375
2017-09-26,neblio,1.09251,95987.5
2017-09-27,neblio,0.99675,87055
2017-09-28,neblio,1.0644,116005
2017-09-29,neblio,0.955955,115864
2017-09-30,neblio,0.982839,70904.203125
2017-10-01,neblio,1.08997,143693
2017-10-02,neblio,1.10127,146971
2017-10-03,neblio,1.55935,241967
2017-10-04,neblio,1.9395,389876
2017-10-05,neblio,2.33477,320554
2017-10-06,neblio,2.45106,589588
2017-10-07,neblio,2.0913,200175
2017-10-08,neblio,1.94293,265192
2017-10-09,neblio,1.83726,209820
2017-10-10,neblio,1.77284,129318
2017-10-11,neblio,1.69931,157037
2017-10-12,neblio,1.80674,76484
2017-10-13,neblio,2.04199,151895
2017-10-14,neblio,2.49843,208909
2017-10-15,neblio,2.4323,193211
2017-10-16,neblio,2.89094,383784
2017-10-17,neblio,3.57713,889541
2017-10-18,neblio,4.52813,1980250
2017-10-19,neblio,4.11556,472055
2017-10-20,neblio,4.25562,476738
2017-10-21,neblio,3.74098,316624
2017-10-22,neblio,4.39755,318137
2017-10-23,neblio,5.20148,499088
2017-10-24,neblio,5.19277,900605
2017-10-25,neblio,5.14061,447547
2017-10-26,neblio,5.78335,459691
2017-10-27,neblio,5.1961,387179
2017-10-28,neblio,4.98038,347010
2017-10-29,neblio,4.73228,270925
2017-10-30,neblio,4.48203,698406
2017-10-31,neblio,4.82925,447235
2017-11-01,neblio,4.19524,404690
2017-11-02,neblio,4.04348,745693
2017-11-03,neblio,4.0359,228962
2017-11-04,neblio,3.69605,209124
2017-11-05,neblio,3.78798,245500
2017-11-06,neblio,3.79775,290900
2017-11-07,neblio,3.95691,180467
2017-11-08,neblio,4.64185,489596
2017-11-09,neblio,4.91815,652781
2017-11-10,neblio,4.00383,400021
2017-11-11,neblio,3.8785,470746
2017-11-12,neblio,3.56319,300980
2017-11-13,neblio,3.83369,283372
2017-11-14,neblio,3.6152,368012
2017-11-15,neblio,3.52044,393762
2017-11-16,neblio,3.99494,684305
2017-11-17,neblio,3.36751,463203
2017-11-18,neblio,3.37363,296049
2017-11-19,neblio,3.16756,471144
2017-11-20,neblio,3.06315,261967
2017-11-21,neblio,3.02545,266378
2017-11-22,neblio,2.92052,300506
2017-11-23,neblio,2.72778,416008
2017-11-24,neblio,3.48502,308611
2017-11-25,neblio,3.2244,325835
2017-11-26,neblio,3.19571,277734
2017-11-27,neblio,3.05269,286401
2017-11-28,neblio,2.97896,342147
2017-11-29,neblio,2.66833,307601
2017-11-30,neblio,2.93233,219988
2017-12-01,neblio,2.94819,346399
2017-12-02,neblio,2.66612,284357
2017-12-03,neblio,2.89848,288911
2017-12-04,neblio,3.6456,672699
2017-12-05,neblio,4.06931,518455
2017-12-06,neblio,4.11542,616653
2017-12-07,neblio,4.09024,616727
2017-12-08,neblio,3.78379,580263
2017-12-09,neblio,3.6156,345927
2017-12-10,neblio,3.2932,355318
2017-12-11,neblio,3.31719,291876
2017-12-12,neblio,3.41813,346566
2017-12-13,neblio,4.38163,594952
2017-12-14,neblio,3.99178,356777
2017-12-15,neblio,3.92364,335296
2017-12-16,neblio,4.27577,433080
2017-12-17,neblio,4.09341,452794
2017-12-18,neblio,4.80279,504052
2017-12-19,neblio,4.37812,623820
2017-12-20,neblio,4.52497,605108
2017-12-21,neblio,4.81587,600706
2017-12-22,neblio,7.50505,7843310
2017-12-23,neblio,7.63931,3941520
2017-12-24,neblio,6.53522,1545340
