day,asset,close,volume
2017-10-10,paypie,0.362625,256062
2017-10-11,paypie,0.320236,247662
2017-10-12,paypie,0.27149,152640
2017-10-13,paypie,0.245331,128103
2017-10-14,paypie,0.244437,105999
2017-10-15,paypie,0.242286,128257
2017-10-16,paypie,0.234106,69295.8984375
2017-10-17,paypie,0.227968,72562.1015625
2017-10-18,paypie,0.247729,86571.8984375
2017-10-19,paypie,0.253138,98406.3984375
2017-10-20,paypie,0.218262,50766.69921875
2017-10-21,paypie,0.195262,67671.796875
2017-10-22,paypie,0.208622,64759.6015625
2017-10-23,paypie,0.192484,49400.1015625
2017-10-24,paypie,0.504023,49557.5
2017-10-25,paypie,0.197952,37628.19921875
2017-10-26,paypie,0.197772,48109.19921875
2017-10-27,paypie,0.20051,52293.5
2017-10-28,paypie,0.180849,50776.8984375
2017-10-29,paypie,0.171903,73892.796875
2017-10-30,paypie,0.193515,40786.1015625
2017-10-31,paypie,0.195712,42453.5
2017-11-01,paypie,0.179799,42835.19921875
2017-11-02,paypie,0.168273,32164.099609375
2017-11-03,paypie,0.189276,55252.5
2017-11-04,paypie,0.200508,31114.900390625
2017-11-05,paypie,0.195708,26652.099609375
2017-11-06,paypie,0.202417,36967.6015625
2017-11-07,paypie,0.201446,71770.1015625
2017-11-08,paypie,0.263907,90907.1015625
2017-11-09,paypie,0.272928,109205
2017-11-10,paypie,0.255275,111931
2017-11-11,paypie,0.29715,112422
2017-11-12,paypie,0.241361,118063
2017-11-13,paypie,0.280591,70180.296875
2017-11-14,paypie,0.271628,109911
2017-11-15,paypie,0.302688,90524.3984375
2017-11-16,paypie,0.280438,102067
2017-11-17,paypie,0.331128,129661
2017-11-18,paypie,0.468551,477321
2017-11-19,paypie,0.512029,692150
2017-11-20,paypie,0.626988,503747
2017-11-21,paypie,0.824907,1049110
2017-11-22,paypie,0.708198,843076
2017-11-23,paypie,0.707906,402956
2017-11-24,paypie,0.782281,306757
2017-11-25,paypie,0.770324,324921
2017-11-26,paypie,0.804444,361335
2017-11-27,paypie,0.686153,330148
2017-11-28,paypie,0.710417,259285
2017-11-29,paypie,0.573264,225279
2017-11-30,paypie,0.655884,168697
2017-12-01,paypie,0.744121,206948
2017-12-02,paypie,0.746141,337639
2017-12-03,paypie,0.705398,130938
2017-12-04,paypie,0.698704,159961
2017-12-05,paypie,0.648867,144397
2017-12-06,paypie,0.61026,92416.6015625
2017-12-07,paypie,0.630791,133478
2017-12-08,paypie,0.671978,280475
2017-12-09,paypie,0.716978,322584
2017-12-10,paypie,0.67049,253685
2017-12-11,paypie,0.811865,297707
2017-12-12,paypie,1.04097,545321
2017-12-13,paypie,1.22484,968951
2017-12-14,paypie,1.34533,712177
2017-12-15,paypie,1.32219,740893
2017-12-16,paypie,2.22794,1839790
2017-12-17,paypie,2.29985,1083990
2017-12-18,paypie,2.43467,1004310
2017-12-19,paypie,2.0735,893916
2017-12-20,paypie,2.01351,558123
2017-12-21,paypie,1.94286,84350.8984375
2017-12-22,paypie,1.59794,457154
2017-12-23,paypie,1.63674,435145
2017-12-24,paypie,1.64521,179820
2017-12-25,paypie,1.72339,255285
2017-12-26,paypie,1.96936,299168
2017-12-27,paypie,1.74286,377215
2017-12-28,paypie,1.67883,285222
2017-12-29,paypie,1.6947,328529
2017-12-30,paypie,1.74523,267303
2017-12-31,paypie,1.70778,279731
2018-01-01,paypie,1.72436,233837
2018-01-02,paypie,1.87122,214966
2018-01-03,paypie,1.88824,186741
2018-01-04,paypie,2.01201,155195
2018-01-05,paypie,1.95228,180575
2018-01-06,paypie,1.91431,109810
2018-01-07,paypie,1.93275,298752
2018-01-08,paypie,2.48576,260270
2018-01-09,paypie,2.86599,169065
2018-01-10,paypie,3.60719,344135
2018-01-11,paypie,2.74242,307080
2018-01-12,paypie,3.12456,323064
2018-01-13,paypie,3.33112,891014
2018-01-14,paypie,3.13985,308950
2018-01-15,paypie,2.80519,182136
2018-01-16,paypie,2.23343,178180
2018-01-17,paypie,2.16982,131421
2018-01-18,paypie,2.2494,149640
2018-01-19,paypie,2.36281,549587
2018-01-20,paypie,2.57977,294341
2018-01-21,paypie,2.10092,355540
2018-01-22,paypie,2.18632,320546
2018-01-23,paypie,2.0628,181359
2018-01-24,paypie,1.96984,325266
2018-01-25,paypie,1.97816,270745
2018-01-26,paypie,2.07771,267326
2018-01-27,paypie,2.12085,216146
2018-01-28,paypie,2.3607,216072
2018-01-29,paypie,2.96994,386592
2018-01-30,paypie,2.11331,658290
2018-01-31,paypie,2.33495,221999
2018-02-01,paypie,2.01743,151310
2018-02-02,paypie,1.64734,371958
2018-02-03,paypie,1.51708,263058
2018-02-04,paypie,1.5483,139300
2018-02-05,paypie,1.32051,179523
2018-02-06,paypie,1.42924,186285
2018-02-07,paypie,1.54986,193956
2018-02-08,paypie,1.533,131926
2018-02-09,paypie,1.63237,381624
2018-02-10,paypie,1.43758,193700
2018-02-11,paypie,1.51434,317141
2018-02-12,paypie,1.45655,324344
2018-02-13,paypie,1.39125,300287
2018-02-14,paypie,1.42726,444217
2018-02-15,paypie,1.41718,275922
2018-02-16,paypie,1.423,346232
2018-02-17,paypie,1.4861,388948
2018-02-18,paypie,1.41632,260012
2018-02-19,paypie,1.28416,321839
2018-02-20,paypie,1.17095,310585
2018-02-21,paypie,1.06537,351480
2018-02-22,paypie,1.07531,339474
2018-02-23,paypie,1.11656,29789.400390625
2018-02-24,paypie,1.01464,35243.3984375
2018-02-25,paypie,1.14575,60764.69921875
2018-02-26,paypie,1.17319,87933.703125
2018-02-27,paypie,1.09462,126868
2018-02-28,paypie,1.03407,144634
2018-03-01,paypie,1.04315,170752
2018-03-02,paypie,1.01156,187790
2018-03-03,paypie,1.30898,139732
2018-03-04,paypie,1.26355,191825
2018-03-05,paypie,1.15457,41501.69921875
2018-03-06,paypie,1.26596,77775.296875
2018-03-07,paypie,1.02884,110683
2018-03-08,paypie,0.96633,402962
2018-03-09,paypie,1.23164,538713
2018-03-10,paypie,1.28232,361382
2018-03-11,paypie,1.33838,211398
2018-03-12,paypie,1.1992,171612
2018-03-13,paypie,1.10096,161966
2018-03-14,paypie,0.884367,95057.796875
2018-03-15,paypie,0.885978,84187.703125
2018-03-16,paypie,0.872047,99096.703125
2018-03-17,paypie,0.755264,70819.703125
2018-03-18,paypie,0.707055,103077
2018-03-19,paypie,0.878931,63306.80078125
2018-03-20,paypie,0.877222,37099.8984375
2018-03-21,paypie,0.849611,50700
2018-03-22,paypie,0.828648,58061.80078125
2018-03-23,paypie,0.821837,54489.30078125
2018-03-24,paypie,0.799921,37798.6015625
2018-03-25,paypie,0.790656,93833.8984375
2018-03-26,paypie,0.771163,36656.19921875
2018-03-27,paypie,0.682071,56116.80078125
2018-03-28,paypie,0.731546,26179.099609375
2018-03-29,paypie,0.635924,38540.3984375
2018-03-30,paypie,0.6329,45618.1015625
2018-03-31,paypie,0.655552,20357.5
2018-04-01,paypie,0.618521,17541.400390625
2018-04-02,paypie,0.676552,32059.30078125
