day,asset,close,volume
2017-07-11,populous,3.33377,2704070
2017-07-12,populous,5.50993,3055770
2017-07-13,populous,4.68554,3630010
2017-07-15,populous,1.44691,1832030
2017-07-16,populous,1.3848,2126350
2017-07-17,populous,2.53309,1840040
2017-07-18,populous,2.45693,2329580
2017-07-19,populous,1.9642,1044880
2017-07-20,populous,2.35931,505556
2017-07-21,populous,2.38622,661561
2017-07-22,populous,2.68386,358007
2017-07-23,populous,2.57622,437422
2017-07-24,populous,2.44323,991648
2017-07-25,populous,2.2439,434991
2017-07-26,populous,2.3196,533922
2017-07-27,populous,2.53726,619044
2017-07-28,populous,2.61977,993253
2017-07-29,populous,2.84498,945852
2017-07-30,populous,2.78948,507801
2017-07-31,populous,3.26854,964834
2017-08-01,populous,3.64151,811061
2017-08-02,populous,3.39232,492153
2017-08-03,populous,3.63813,503479
2017-08-04,populous,3.95571,1064530
2017-08-05,populous,4.08562,641941
2017-08-06,populous,4.61778,450571
2017-08-07,populous,6.0487,1441870
2017-08-08,populous,5.41736,2002390
2017-08-09,populous,5.93584,782146
2017-08-10,populous,6.42627,979250
2017-08-11,populous,6.13528,959727
2017-08-12,populous,6.05525,894071
2017-08-13,populous,5.54104,516448
2017-08-14,populous,5.22207,924743
2017-08-15,populous,4.70019,590298
2017-08-16,populous,4.80503,735244
2017-08-17,populous,5.57035,649644
2017-08-18,populous,5.36529,702786
2017-08-19,populous,4.83217,585845
2017-08-20,populous,4.52522,335168
2017-08-21,populous,4.32984,658417
2017-08-22,populous,3.87768,415849
2017-08-23,populous,3.52362,415283
2017-08-24,populous,4.42285,758569
2017-08-25,populous,4.41521,430544
2017-08-26,populous,3.76809,454791
2017-08-27,populous,3.89916,353973
2017-08-28,populous,3.85408,449384
2017-08-29,populous,3.88848,398299
2017-08-30,populous,3.8736,531823
2017-08-31,populous,3.63947,337862
2017-09-01,populous,4.06298,1464360
2017-09-02,populous,3.75474,763729
2017-09-03,populous,3.85308,565324
2017-09-04,populous,3.61589,476314
2017-09-05,populous,3.91849,364357
2017-09-06,populous,4.16636,410924
2017-09-07,populous,3.93384,403291
2017-09-08,populous,3.55943,370638
2017-09-09,populous,3.668,454427
2017-09-10,populous,3.49972,252076
2017-09-11,populous,3.29195,374879
2017-09-12,populous,3.19113,505448
2017-09-13,populous,3.28612,391322
2017-09-14,populous,2.63991,295268
2017-09-15,populous,3.01023,337136
2017-09-16,populous,2.7934,451852
2017-09-17,populous,2.9176,404752
2017-09-18,populous,3.32683,501178
2017-09-19,populous,2.93421,347692
2017-09-20,populous,2.94681,237960
2017-09-21,populous,2.46973,340920
2017-09-22,populous,2.59745,374706
2017-09-23,populous,2.8449,249775
2017-09-24,populous,2.45757,210021
2017-09-25,populous,2.57984,332512
2017-09-26,populous,2.62528,284868
2017-09-27,populous,2.46107,547670
2017-09-28,populous,2.46288,378847
2017-09-29,populous,2.29737,329214
2017-09-30,populous,2.33006,246749
2017-10-01,populous,2.4402,361877
2017-10-02,populous,2.47935,236482
2017-10-03,populous,2.37244,267138
2017-10-04,populous,2.3449,349275
2017-10-05,populous,2.82766,333960
2017-10-06,populous,2.73836,336478
2017-10-07,populous,2.48526,270384
2017-10-08,populous,2.56863,224135
2017-10-09,populous,2.70979,292696
2017-10-10,populous,3.09262,400775
2017-10-11,populous,3.12877,269182
2017-10-12,populous,3.14022,317744
2017-10-13,populous,3.11276,265395
2017-10-14,populous,3.11158,265240
2017-10-15,populous,3.35739,208582
2017-10-16,populous,3.26125,320896
2017-10-17,populous,3.05075,323482
2017-10-18,populous,3.16216,316907
2017-10-19,populous,3.1591,271031
2017-10-20,populous,3.00837,339280
2017-10-21,populous,3.05316,256507
2017-10-22,populous,2.85135,284913
2017-10-23,populous,3.12042,267616
2017-10-24,populous,3.2598,330053
2017-10-25,populous,4.0949,249583
2017-10-26,populous,3.60017,398411
2017-10-27,populous,3.7412,276742
2017-10-28,populous,3.37389,188557
2017-10-29,populous,3.34479,206951
2017-10-30,populous,3.4779,326602
2017-10-31,populous,3.80014,368400
2017-11-01,populous,3.6567,446220
2017-11-02,populous,3.26438,369819
2017-11-03,populous,3.67779,313075
2017-11-04,populous,3.78998,403380
2017-11-05,populous,3.79555,297043
2017-11-06,populous,4.10213,447691
2017-11-07,populous,4.21367,468627
2017-11-08,populous,5.104,1049200
2017-11-09,populous,6.4038,1153120
