day,asset,close,volume
2017-06-10,quantum-resistant-ledger,0.740533,2971120
2017-06-11,quantum-resistant-ledger,0.66998,1087610
2017-06-12,quantum-resistant-ledger,0.711283,1062110
2017-06-13,quantum-resistant-ledger,1.36108,3277890
2017-06-14,quantum-resistant-ledger,1.6744,4528530
2017-06-15,quantum-resistant-ledger,1.73355,11961500
2017-06-16,quantum-resistant-ledger,1.51572,2895490
2017-06-17,quantum-resistant-ledger,1.22315,3335700
2017-06-18,quantum-resistant-ledger,1.07351,2119760
2017-06-19,quantum-resistant-ledger,0.833073,2394520
2017-06-20,quantum-resistant-ledger,0.847655,893201
2017-06-21,quantum-resistant-ledger,0.8202,788674
2017-06-22,quantum-resistant-ledger,1.12328,3933640
2017-06-23,quantum-resistant-ledger,1.25238,1569260
2017-06-24,quantum-resistant-ledger,1.0078,929713
2017-06-25,quantum-resistant-ledger,0.94433,805992
2017-06-26,quantum-resistant-ledger,0.830104,513440
2017-06-27,quantum-resistant-ledger,0.863674,548840
2017-06-28,quantum-resistant-ledger,0.89547,843976
2017-06-29,quantum-resistant-ledger,0.820824,612359
2017-06-30,quantum-resistant-ledger,0.753547,613078
2017-07-01,quantum-resistant-ledger,0.643501,445037
2017-07-02,quantum-resistant-ledger,0.734246,469471
2017-07-03,quantum-resistant-ledger,0.775296,337787
2017-07-04,quantum-resistant-ledger,0.729546,300565
2017-07-05,quantum-resistant-ledger,0.598592,530424
2017-07-06,quantum-resistant-ledger,0.556359,429336
2017-07-07,quantum-resistant-ledger,0.522074,427293
2017-07-08,quantum-resistant-ledger,0.530797,295091
2017-07-09,quantum-resistant-ledger,0.480312,228638
2017-07-10,quantum-resistant-ledger,0.369726,220998
2017-07-11,quantum-resistant-ledger,0.399931,210902
2017-07-12,quantum-resistant-ledger,0.434235,360874
2017-07-13,quantum-resistant-ledger,0.401766,219588
2017-07-14,quantum-resistant-ledger,0.390542,146452
2017-07-15,quantum-resistant-ledger,0.343963,115609
2017-07-16,quantum-resistant-ledger,0.342372,202209
2017-07-17,quantum-resistant-ledger,0.41286,201821
2017-07-18,quantum-resistant-ledger,0.443956,245860
2017-07-19,quantum-resistant-ledger,0.455942,261565
2017-07-20,quantum-resistant-ledger,0.58263,328389
2017-07-21,quantum-resistant-ledger,0.50876,211362
2017-07-22,quantum-resistant-ledger,0.606244,338949
2017-07-23,quantum-resistant-ledger,0.580468,267461
2017-07-24,quantum-resistant-ledger,0.54542,244297
2017-07-25,quantum-resistant-ledger,0.454554,279801
2017-07-26,quantum-resistant-ledger,0.443317,184108
2017-07-27,quantum-resistant-ledger,0.48511,181452
2017-07-28,quantum-resistant-ledger,0.351167,3348080
2017-07-29,quantum-resistant-ledger,0.324973,593344
2017-07-30,quantum-resistant-ledger,0.305438,384336
2017-07-31,quantum-resistant-ledger,0.309623,232096
2017-08-01,quantum-resistant-ledger,0.342685,418163
2017-08-02,quantum-resistant-ledger,0.328319,365824
2017-08-03,quantum-resistant-ledger,0.335018,263319
2017-08-04,quantum-resistant-ledger,0.336139,255884
2017-08-05,quantum-resistant-ledger,0.324416,385117
2017-08-06,quantum-resistant-ledger,0.33223,394971
2017-08-07,quantum-resistant-ledger,0.328562,482037
2017-08-08,quantum-resistant-ledger,0.328702,326872
2017-08-09,quantum-resistant-ledger,0.3301,552703
2017-08-10,quantum-resistant-ledger,0.345948,406709
2017-08-11,quantum-resistant-ledger,0.513974,2142790
2017-08-12,quantum-resistant-ledger,0.483952,1355330
2017-08-13,quantum-resistant-ledger,0.418294,825356
2017-08-14,quantum-resistant-ledger,0.410699,492241
2017-08-15,quantum-resistant-ledger,0.473335,842892
2017-08-16,quantum-resistant-ledger,0.445206,452610
2017-08-17,quantum-resistant-ledger,0.595446,2348730
2017-08-18,quantum-resistant-ledger,0.734812,7009310
2017-08-19,quantum-resistant-ledger,0.667805,1623800
2017-08-20,quantum-resistant-ledger,0.695638,1036720
2017-08-21,quantum-resistant-ledger,0.606483,598057
2017-08-22,quantum-resistant-ledger,0.566125,479692
2017-08-23,quantum-resistant-ledger,0.581999,411199
2017-08-24,quantum-resistant-ledger,0.609257,326953
