day,asset,close,volume
2017-11-08,raiden-network-token,1.12289,739382
2017-11-09,raiden-network-token,1.7577,8964570
2017-11-10,raiden-network-token,1.4909,5599250
2017-11-11,raiden-network-token,1.47744,3956410
2017-11-12,raiden-network-token,1.49055,2327860
2017-11-13,raiden-network-token,1.69744,1765640
2017-11-14,raiden-network-token,2.28522,5639840
2017-11-15,raiden-network-token,2.29705,5599250
2017-11-16,raiden-network-token,2.14393,3437340
2017-11-17,raiden-network-token,2.00599,3178580
2017-11-18,raiden-network-token,2.0412,1641840
2017-11-19,raiden-network-token,2.17492,1465610
2017-11-20,raiden-network-token,2.74442,4783570
2017-11-21,raiden-network-token,2.56579,3389140
2017-11-22,raiden-network-token,3.92619,15805900
2017-11-23,raiden-network-token,4.07864,15652000
2017-11-24,raiden-network-token,4.39277,12369400
2017-11-25,raiden-network-token,4.45216,12058700
2017-11-26,raiden-network-token,5.50301,15694500
2017-11-27,raiden-network-token,4.84572,19848700
2017-11-28,raiden-network-token,4.28559,18912400
2017-11-29,raiden-network-token,3.41719,15466100
2017-11-30,raiden-network-token,4.46661,15508000
2017-12-01,raiden-network-token,3.94837,14526200
2017-12-02,raiden-network-token,3.49967,12359000
2017-12-03,raiden-network-token,3.57803,13470600
2017-12-04,raiden-network-token,3.23632,12576200
2017-12-05,raiden-network-token,3.20232,14445700
2017-12-06,raiden-network-token,2.6917,12988300
2017-12-07,raiden-network-token,2.47393,11082200
2017-12-08,raiden-network-token,2.99142,11110800
2017-12-09,raiden-network-token,3.26295,11118400
2017-12-10,raiden-network-token,2.86205,7871370
2017-12-11,raiden-network-token,2.99158,8524080
2017-12-12,raiden-network-token,2.88822,12279300
2017-12-13,raiden-network-token,3.37691,15968400
2017-12-14,raiden-network-token,3.26513,12881200
2017-12-15,raiden-network-token,3.28001,11647900
2017-12-16,raiden-network-token,4.03965,18030100
2017-12-17,raiden-network-token,4.41495,16517000
2017-12-18,raiden-network-token,4.75928,17158500
2017-12-19,raiden-network-token,4.56314,16909300
2017-12-20,raiden-network-token,4.00785,9964100
2017-12-21,raiden-network-token,3.87042,12131800
2017-12-22,raiden-network-token,3.26033,7735300
2017-12-23,raiden-network-token,3.48061,8805680
2017-12-24,raiden-network-token,3.2642,7503070
2017-12-25,raiden-network-token,3.9042,10632300
2017-12-26,raiden-network-token,3.9228,8098340
2017-12-27,raiden-network-token,3.96592,8066360
2017-12-28,raiden-network-token,3.85101,9278120
2017-12-29,raiden-network-token,4.35062,10376800
2017-12-30,raiden-network-token,4.14197,13007900
2017-12-31,raiden-network-token,4.27644,13348300
2018-01-01,raiden-network-token,4.90949,16697500
2018-01-02,raiden-network-token,5.42679,28490300
2018-01-03,raiden-network-token,5.52795,22636800
2018-01-04,raiden-network-token,6.52601,26520200
2018-01-05,raiden-network-token,6.07146,47997500
2018-01-06,raiden-network-token,6.6547,41039600
2018-01-07,raiden-network-token,7.54229,47176400
2018-01-08,raiden-network-token,7.42006,36955200
2018-01-09,raiden-network-token,7.96561,62951600
2018-01-10,raiden-network-token,7.74707,37060100
2018-01-11,raiden-network-token,6.58352,38122600
2018-01-12,raiden-network-token,6.78114,18335700
2018-01-13,raiden-network-token,6.41879,19581400
2018-01-14,raiden-network-token,6.17876,18083200
2018-01-15,raiden-network-token,5.68764,16798900
2018-01-16,raiden-network-token,4.287,16324800
2018-01-17,raiden-network-token,4.19435,16882600
2018-01-18,raiden-network-token,4.77445,16352900
2018-01-19,raiden-network-token,4.74651,13576000
2018-01-20,raiden-network-token,5.03621,14023900
2018-01-21,raiden-network-token,4.47939,10727100
2018-01-22,raiden-network-token,4.04151,17414600
2018-01-23,raiden-network-token,4.40155,15671100
2018-01-24,raiden-network-token,4.40655,18215300
2018-01-25,raiden-network-token,4.25806,16628200
2018-01-26,raiden-network-token,4.3229,13433300
2018-01-27,raiden-network-token,4.51385,15033500
2018-01-28,raiden-network-token,4.9518,22717700
2018-01-29,raiden-network-token,4.62585,13884000
2018-01-30,raiden-network-token,3.95886,12081800
2018-01-31,raiden-network-token,4.04286,15361400
2018-02-01,raiden-network-token,3.58826,11682700
2018-02-02,raiden-network-token,3.13759,6702780
2018-02-03,raiden-network-token,3.39733,8134220
2018-02-04,raiden-network-token,2.8663,6941920
2018-02-05,raiden-network-token,2.32183,5514460
2018-02-06,raiden-network-token,2.69476,5459720
2018-02-07,raiden-network-token,2.57229,5848140
2018-02-08,raiden-network-token,2.79347,4423440
2018-02-09,raiden-network-token,2.98896,3692920
2018-02-10,raiden-network-token,2.71853,4029240
2018-02-11,raiden-network-token,2.52317,2959620
2018-02-12,raiden-network-token,2.777,2818200
2018-02-13,raiden-network-token,2.65277,2425640
2018-02-14,raiden-network-token,2.85707,3314710
2018-02-15,raiden-network-token,3.02151,3462470
2018-02-16,raiden-network-token,3.11177,4022350
2018-02-17,raiden-network-token,3.4042,3443030
2018-02-18,raiden-network-token,3.32891,4987070
2018-02-19,raiden-network-token,3.73616,7358230
2018-02-20,raiden-network-token,3.64037,17211400
2018-02-21,raiden-network-token,3.14981,7021380
2018-02-22,raiden-network-token,3.21504,4205740
2018-02-23,raiden-network-token,3.30684,4159440
2018-02-24,raiden-network-token,3.15983,3122730
2018-02-25,raiden-network-token,3.08608,3045500
2018-02-26,raiden-network-token,3.04822,4351610
2018-02-27,raiden-network-token,3.10276,4096370
2018-02-28,raiden-network-token,2.65439,7590020
2018-03-01,raiden-network-token,2.69639,5147330
2018-03-02,raiden-network-token,2.85138,4877660
2018-03-03,raiden-network-token,2.74658,4219520
2018-03-04,raiden-network-token,2.73485,6250780
2018-03-05,raiden-network-token,2.68338,3700610
2018-03-06,raiden-network-token,2.46279,4844220
2018-03-07,raiden-network-token,2.17235,3996130
2018-03-08,raiden-network-token,1.91629,2528400
2018-03-09,raiden-network-token,1.98497,2290390
2018-03-10,raiden-network-token,1.96948,3382740
2018-03-11,raiden-network-token,2.15867,3078670
2018-03-12,raiden-network-token,1.94427,13099000
2018-03-13,raiden-network-token,1.87322,8135580
2018-03-14,raiden-network-token,1.68981,9168070
2018-03-15,raiden-network-token,1.69902,8407510
2018-03-16,raiden-network-token,1.74931,8716940
2018-03-17,raiden-network-token,1.55946,6822270
2018-03-18,raiden-network-token,1.44107,8164660
2018-03-19,raiden-network-token,1.50666,9071000
2018-03-20,raiden-network-token,1.57585,8901680
2018-03-21,raiden-network-token,1.63578,6946920
2018-03-22,raiden-network-token,1.60203,6572660
2018-03-23,raiden-network-token,1.64551,6737000
2018-03-24,raiden-network-token,1.72099,8227530
2018-03-25,raiden-network-token,1.64934,6749380
2018-03-26,raiden-network-token,1.58462,6807430
2018-03-27,raiden-network-token,1.49903,4825730
2018-03-28,raiden-network-token,1.70355,8132610
2018-03-29,raiden-network-token,1.38301,13456800
