day,asset,close,volume
2017-06-28,status,0.0561502,13747700
2017-06-29,status,0.0519211,18083200
2017-06-30,status,0.0442565,10133300
2017-07-01,status,0.0439217,10307200
2017-07-02,status,0.0423079,7502210
2017-07-03,status,0.0566675,28853300
2017-07-04,status,0.0565627,18958100
2017-07-05,status,0.0504883,11487700
2017-07-06,status,0.0504572,10173100
2017-07-07,status,0.0441987,7012400
2017-07-08,status,0.0442103,6282280
2017-07-09,status,0.040234,3429300
2017-07-10,status,0.0314298,6133140
2017-07-11,status,0.0251834,7617130
2017-07-12,status,0.0308814,5178400
2017-07-13,status,0.0282346,5187090
2017-07-14,status,0.0254113,3055070
2017-07-15,status,0.0236731,2668550
2017-07-16,status,0.023595,2339710
2017-07-17,status,0.0260255,3764400
2017-07-18,status,0.0288376,5126630
2017-07-19,status,0.0267456,4366050
2017-07-20,status,0.0299428,3753830
2017-07-21,status,0.0383167,11944800
2017-07-22,status,0.0828123,38566700
2017-07-23,status,0.084381,159816000
2017-07-24,status,0.0765128,48405700
2017-07-25,status,0.0592356,52165600
2017-07-26,status,0.0592318,51832700
2017-07-27,status,0.0588969,27039600
2017-07-28,status,0.0540085,17827200
2017-07-29,status,0.0531865,17077400
2017-07-30,status,0.050664,8438260
2017-07-31,status,0.0540705,17412400
2017-08-01,status,0.0550078,23845300
2017-08-02,status,0.0545045,15754800
2017-08-03,status,0.0556744,15695800
2017-08-04,status,0.0570819,16038900
2017-08-05,status,0.0654761,37828900
2017-08-06,status,0.0618289,24237700
2017-08-07,status,0.0713033,40894300
2017-08-08,status,0.0724667,35787700
2017-08-09,status,0.0653059,18237500
2017-08-10,status,0.0655955,27412400
2017-08-11,status,0.0783068,58822600
2017-08-12,status,0.0685346,24574100
2017-08-13,status,0.0639498,21679300
2017-08-14,status,0.0615867,23224100
2017-08-15,status,0.0608367,19850100
2017-08-16,status,0.0598705,11186700
2017-08-17,status,0.0611912,22798200
2017-08-18,status,0.0547552,13896200
2017-08-19,status,0.0551064,12062400
2017-08-20,status,0.0552485,6738530
2017-08-21,status,0.051012,9409920
2017-08-22,status,0.0500453,5745640
2017-08-23,status,0.0515933,8995140
2017-08-24,status,0.0527402,8706810
2017-08-25,status,0.0509519,5922650
2017-08-26,status,0.0505146,5512320
2017-08-27,status,0.0513728,6815440
2017-08-28,status,0.0489656,7486210
2017-08-29,status,0.0494734,10873400
2017-08-30,status,0.0465845,9555330
2017-08-31,status,0.0481054,7463400
2017-09-01,status,0.0475263,7175300
2017-09-02,status,0.0412565,8260080
2017-09-03,status,0.039323,6755000
2017-09-04,status,0.0295225,9710210
2017-09-05,status,0.0310525,5825530
2017-09-06,status,0.0403333,9953750
2017-09-07,status,0.0378916,5490620
2017-09-08,status,0.0307961,4653740
2017-09-09,status,0.0311085,2524890
2017-09-10,status,0.0294104,2373310
2017-09-11,status,0.028615,2069680
2017-09-12,status,0.0284359,2734640
2017-09-13,status,0.026371,1880030
2017-09-14,status,0.01979,1721860
2017-09-15,status,0.0217553,2521070
2017-09-16,status,0.0214374,1879180
2017-09-17,status,0.021799,1746130
2017-09-18,status,0.0292915,3417560
2017-09-19,status,0.0241894,2937340
2017-09-20,status,0.023876,1865680
2017-09-21,status,0.0212651,1304980
2017-09-22,status,0.0213421,1173930
2017-09-23,status,0.0224866,869073
2017-09-24,status,0.0218886,826610
2017-09-25,status,0.0233434,781467
2017-09-26,status,0.0272959,3457510
2017-09-27,status,0.0291117,6734420
2017-09-28,status,0.028793,2452520
2017-09-29,status,0.0275137,1392230
2017-09-30,status,0.0306191,1101880
2017-10-01,status,0.0315668,2076910
2017-10-02,status,0.0299024,2272790
2017-10-03,status,0.0272217,1966990
2017-10-04,status,0.0275542,1452180
2017-10-05,status,0.027321,1362430
2017-10-06,status,0.028313,1178510
2017-10-07,status,0.0272377,1041620
2017-10-08,status,0.0247308,1529830
2017-10-09,status,0.0229696,1822000
2017-10-10,status,0.0233476,1741170
2017-10-11,status,0.0264565,1307350
2017-10-12,status,0.026112,2200490
2017-10-13,status,0.0249966,1702500
2017-10-14,status,0.0266175,1030100
2017-10-15,status,0.0293818,1748810
2017-10-16,status,0.0288289,2145970
2017-10-17,status,0.0271456,1521100
2017-10-18,status,0.0288188,1658160
2017-10-19,status,0.0274025,2075060
2017-10-20,status,0.0267952,1425160
2017-10-21,status,0.0257987,1511950
2017-10-22,status,0.0257744,1432060
2017-10-23,status,0.0253268,1781260
2017-10-24,status,0.0268169,2305600
