day,asset,close,volume
2017-08-05,stox,1.21496,1294120
2017-08-06,stox,0.943123,1173690
2017-08-07,stox,1.03559,1050580
2017-08-08,stox,1.12823,686479
2017-08-09,stox,1.02593,806426
2017-08-10,stox,1.1759,1045590
2017-08-11,stox,1.46314,2686410
2017-08-12,stox,1.7729,4181980
2017-08-13,stox,1.85408,1445090
2017-08-14,stox,1.71774,1728160
2017-08-15,stox,1.68655,1360200
2017-08-16,stox,1.91518,1472680
2017-08-17,stox,2.05534,3414940
2017-08-18,stox,2.38467,3907910
2017-08-19,stox,2.34696,2084280
2017-08-20,stox,2.34057,1228510
2017-08-21,stox,2.09684,1822100
2017-08-22,stox,2.36831,1148600
2017-08-23,stox,2.19812,1401010
2017-08-24,stox,2.45327,2104870
2017-08-25,stox,2.59249,4244360
2017-08-26,stox,2.40125,2332920
2017-08-27,stox,1.57356,2443730
2017-08-28,stox,1.54772,2138600
2017-08-29,stox,1.82218,2661780
2017-08-30,stox,1.42858,1845940
2017-08-31,stox,1.44205,1392460
2017-09-01,stox,1.3294,1222090
2017-09-02,stox,1.13426,1060590
2017-09-03,stox,1.06313,766971
2017-09-04,stox,0.843535,975575
2017-09-05,stox,0.920664,1069460
2017-09-06,stox,1.30725,1217280
2017-09-07,stox,1.24572,1197140
2017-09-08,stox,0.956652,781652
2017-09-09,stox,0.867269,737767
2017-09-10,stox,0.882254,575539
2017-09-11,stox,0.84933,493245
2017-09-12,stox,0.854965,1916640
2017-09-13,stox,0.809777,479670
2017-09-14,stox,0.623992,395631
2017-09-15,stox,0.803255,546859
2017-09-16,stox,0.674735,358418
2017-09-17,stox,0.654308,357187
2017-09-18,stox,0.677537,530342
2017-09-19,stox,0.623522,524111
2017-09-20,stox,0.552894,641242
2017-09-21,stox,0.518916,498746
2017-09-22,stox,0.497653,447113
2017-09-23,stox,0.447655,539514
2017-09-24,stox,0.512389,464836
2017-09-25,stox,0.522077,384375
2017-09-26,stox,0.507721,386768
2017-09-27,stox,0.585844,277026
2017-09-28,stox,0.666729,390225
2017-09-29,stox,0.630381,322824
2017-09-30,stox,0.606823,305152
2017-10-01,stox,0.611006,318907
2017-10-02,stox,0.79952,724785
2017-10-03,stox,0.826593,694653
2017-10-04,stox,0.838063,630404
2017-10-05,stox,0.993545,956095
2017-10-06,stox,0.923495,916855
2017-10-07,stox,0.854379,606437
2017-10-08,stox,0.830834,677465
2017-10-09,stox,0.716309,804191
2017-10-10,stox,0.630725,710684
2017-10-11,stox,0.650372,655532
2017-10-12,stox,0.578555,988625
2017-10-13,stox,0.590502,759585
2017-10-14,stox,0.588173,469529
2017-10-15,stox,0.588491,552831
2017-10-16,stox,0.567974,897477
2017-10-17,stox,0.516687,696646
2017-10-18,stox,0.506504,592808
2017-10-19,stox,0.511596,602662
2017-10-20,stox,0.494779,439604
2017-10-21,stox,0.474609,495791
2017-10-22,stox,0.455409,581302
2017-10-23,stox,0.442978,507887
2017-10-24,stox,0.459128,482067
2017-10-25,stox,0.458514,501878
2017-10-26,stox,0.451847,590273
2017-10-27,stox,0.448724,536479
2017-10-28,stox,0.443674,425886
2017-10-29,stox,0.45378,503634
2017-10-30,stox,0.452124,494937
2017-10-31,stox,0.433364,540763
2017-11-01,stox,0.471073,850118
2017-11-02,stox,0.456468,744524
2017-11-03,stox,0.476992,789870
2017-11-04,stox,0.522949,962609
2017-11-05,stox,0.589982,808624
2017-11-06,stox,0.692535,1047130
2017-11-07,stox,0.747323,714374
2017-11-08,stox,0.725045,1192280
2017-11-09,stox,0.778552,719341
2017-11-10,stox,0.622279,863933
2017-11-11,stox,0.601688,625095
2017-11-12,stox,0.531725,523624
2017-11-13,stox,0.537451,433258
2017-11-14,stox,0.549757,745771
2017-11-15,stox,0.519937,641716
2017-11-16,stox,0.508942,921349
2017-11-17,stox,0.49494,649288
2017-11-18,stox,0.514243,568689
2017-11-19,stox,0.510635,650330
2017-11-20,stox,0.520385,425655
2017-11-21,stox,0.48305,520389
2017-11-22,stox,0.526786,1054940
2017-11-23,stox,0.552711,1095770
2017-11-24,stox,0.614557,944561
2017-11-25,stox,0.598513,1050950
2017-11-26,stox,0.587521,2038250
2017-11-27,stox,0.575967,1942930
2017-11-28,stox,0.517985,2321360
2017-11-29,stox,0.450528,2340580
2017-11-30,stox,0.46617,1404650
2017-12-01,stox,0.488803,1123060
2017-12-02,stox,0.490151,1154090
2017-12-03,stox,0.489344,1552260
2017-12-04,stox,0.510437,1132440
2017-12-05,stox,0.511934,1166670
2017-12-06,stox,0.483793,1449020
2017-12-07,stox,0.494724,1377560
2017-12-08,stox,0.518525,1506750
2017-12-09,stox,0.49958,1453070
2017-12-10,stox,0.458436,1386260
2017-12-11,stox,0.507943,1632330
2017-12-12,stox,0.537042,1623670
2017-12-13,stox,0.479301,1365530
2017-12-14,stox,0.506794,1369220
2017-12-15,stox,0.64801,2378890
2017-12-16,stox,0.673956,1959110
2017-12-17,stox,0.71978,1875610
2017-12-18,stox,0.761068,1737880
2017-12-19,stox,0.669318,2361320
2017-12-20,stox,0.680682,1986700
2017-12-21,stox,0.618716,1623840
2017-12-22,stox,0.573108,1702280
2017-12-23,stox,0.601303,1579950
2017-12-24,stox,0.545585,1405630
2017-12-25,stox,0.644222,1738340
2017-12-26,stox,0.655416,1979410
2017-12-27,stox,0.660081,1834980
2017-12-28,stox,0.650769,1612520
2017-12-29,stox,0.764998,2404000
2017-12-30,stox,0.784748,2557630
2017-12-31,stox,0.928266,2554820
2018-01-01,stox,0.955013,2096210
2018-01-02,stox,1.17466,3961710
2018-01-03,stox,1.14846,2865750
2018-01-04,stox,1.05505,1902910
2018-01-05,stox,1.14985,2570430
2018-01-06,stox,1.42077,3156410
2018-01-07,stox,1.67896,2487890
2018-01-08,stox,1.4731,2750430
2018-01-09,stox,1.45663,2842580
2018-01-10,stox,1.3665,2325350
2018-01-11,stox,1.1838,2138520
2018-01-12,stox,1.23973,3067910
2018-01-13,stox,1.31644,1935650
2018-01-14,stox,1.16265,2166720
2018-01-15,stox,1.08078,1566440
2018-01-16,stox,0.776413,1926190
2018-01-17,stox,0.795839,1295180
2018-01-18,stox,0.807889,1230510
2018-01-19,stox,0.834913,1483160
2018-01-20,stox,1.10675,2582470
2018-01-21,stox,0.909976,1158750
2018-01-22,stox,0.824854,1184230
2018-01-23,stox,0.795674,923830
2018-01-24,stox,0.843567,1359530
2018-01-25,stox,0.880886,1179360
2018-01-26,stox,0.851949,1061920
2018-01-27,stox,0.84882,1493640
2018-01-28,stox,0.901993,1544100
2018-01-29,stox,0.8229,1138970
2018-01-30,stox,0.715151,1272850
2018-01-31,stox,0.718479,1164480
2018-02-01,stox,0.614996,1126800
2018-02-02,stox,0.568724,797009
2018-02-03,stox,0.585767,725340
2018-02-04,stox,0.51627,966619
2018-02-05,stox,0.41735,853656
2018-02-06,stox,0.453978,912869
2018-02-07,stox,0.435387,1011900
2018-02-08,stox,0.456559,897001
