day,asset,close,volume
2017-08-30,suretly,13.0542,12584.7001953125
2017-08-31,suretly,11.3299,13503.599609375
2017-09-01,suretly,11.3557,14253.900390625
2017-09-02,suretly,6.14549,2839.1298828125
2017-09-03,suretly,7.03594,2369.02001953125
2017-09-04,suretly,5.11125,2487.429931640625
2017-09-05,suretly,7.38446,2408.030029296875
2017-09-06,suretly,5.08188,8837.1298828125
2017-09-07,suretly,4.53712,7319.93017578125
2017-09-08,suretly,6.13021,6084.080078125
2017-09-09,suretly,6.08146,2251.72998046875
2017-09-10,suretly,4.06782,790.2470092773438
2017-09-11,suretly,4.58209,10241.599609375
2017-09-12,suretly,4.26359,1104.3299560546875
2017-09-13,suretly,3.87132,1248.93994140625
2017-09-14,suretly,3.04937,56.93560028076172
2017-09-15,suretly,3.4737,3175.35009765625
2017-09-16,suretly,3.80974,12576.2001953125
2017-09-17,suretly,3.15415,2607.75
2017-09-18,suretly,4.1078,2794.639892578125
2017-09-19,suretly,3.26656,79.15440368652344
2017-09-20,suretly,3.98321,627.6859741210938
2017-09-21,suretly,4.36634,28607.80078125
2017-09-22,suretly,3.51134,2037.0999755859375
2017-09-23,suretly,3.20403,5410.39013671875
2017-09-24,suretly,2.99471,4368.4599609375
2017-09-25,suretly,3.60624,2612.5
2017-09-26,suretly,3.06614,39.34560012817383
2017-09-27,suretly,3.10538,4189.22021484375
2017-09-28,suretly,3.03612,728.3579711914062
2017-09-29,suretly,3.33582,437.27899169921875
2017-09-30,suretly,4.24094,344.1499938964844
2017-10-01,suretly,3.50414,56.30459976196289
2017-10-02,suretly,3.44817,890.6270141601562
2017-10-03,suretly,3.43963,159.06700134277344
2017-10-04,suretly,4.1706,183.60699462890625
2017-10-05,suretly,4.44309,44.42499923706055
2017-10-06,suretly,4.55461,353.7829895019531
2017-10-07,suretly,4.24567,83.60910034179688
2017-10-08,suretly,3.59288,932.8679809570312
2017-10-09,suretly,3.32362,1109.1600341796875
2017-10-10,suretly,3.04476,461.75799560546875
2017-10-11,suretly,3.09111,44.798301696777344
2017-10-12,suretly,3.1851,1171.5899658203125
2017-10-13,suretly,3.4003,92.21330261230469
2017-10-14,suretly,4.22542,187.7550048828125
2017-10-15,suretly,3.9316,590.7459716796875
2017-10-16,suretly,3.37221,165.41600036621094
2017-10-17,suretly,3.16666,477.1260070800781
