day,asset,close,volume
2018-01-15,telcoin,0.00603141,842193
2018-01-16,telcoin,0.00493463,573317
2018-01-17,telcoin,0.0045395,477139
2018-01-18,telcoin,0.00720011,15296600
2018-01-19,telcoin,0.00832531,15603100
2018-01-20,telcoin,0.0111316,36150600
2018-01-21,telcoin,0.00888518,10352800
2018-01-22,telcoin,0.00748011,10660000
2018-01-23,telcoin,0.00693163,6797740
2018-01-24,telcoin,0.00616241,5694840
2018-01-25,telcoin,0.0064373,4808480
2018-01-26,telcoin,0.0070627,5616650
2018-01-27,telcoin,0.00709442,4477210
2018-01-28,telcoin,0.0066794,5643160
2018-01-29,telcoin,0.00647231,4303240
2018-01-30,telcoin,0.00522209,3131770
2018-01-31,telcoin,0.00498501,4424450
2018-02-01,telcoin,0.00375462,3890730
2018-02-02,telcoin,0.00388902,2563820
2018-02-03,telcoin,0.00459915,2539840
2018-02-04,telcoin,0.00369229,1923660
2018-02-05,telcoin,0.00278517,1759590
2018-02-06,telcoin,0.00375843,2021800
2018-02-07,telcoin,0.00332335,1315010
2018-02-08,telcoin,0.00341899,1083160
2018-02-09,telcoin,0.00386579,902050
2018-02-10,telcoin,0.00342759,1266430
2018-02-11,telcoin,0.00328355,821490
2018-02-12,telcoin,0.00348337,1204650
2018-02-13,telcoin,0.00365738,767926
2018-02-14,telcoin,0.00398672,1109190
2018-02-15,telcoin,0.00442191,1363610
2018-02-16,telcoin,0.00411095,789515
2018-02-17,telcoin,0.00452933,978353
2018-02-18,telcoin,0.0040984,738734
2018-02-19,telcoin,0.0046907,1357450
2018-02-20,telcoin,0.0043188,1415980
2018-02-21,telcoin,0.00393674,827350
2018-02-22,telcoin,0.00362868,726478
2018-02-23,telcoin,0.00392928,613134
2018-02-24,telcoin,0.003796,496123
2018-02-25,telcoin,0.00356795,667905
2018-02-26,telcoin,0.00373879,1416610
2018-02-27,telcoin,0.00310341,930931
2018-02-28,telcoin,0.00305362,534781
2018-03-01,telcoin,0.00341251,463164
2018-03-02,telcoin,0.00341618,455032
2018-03-03,telcoin,0.00327474,424451
2018-03-04,telcoin,0.00335199,615115
2018-03-05,telcoin,0.00313883,651034
2018-03-06,telcoin,0.0027847,606582
2018-03-07,telcoin,0.00249379,779937
2018-03-08,telcoin,0.00239088,777176
2018-03-09,telcoin,0.00266822,499291
2018-03-10,telcoin,0.00237143,281937
2018-03-11,telcoin,0.00228079,319798
2018-03-12,telcoin,0.00219116,311979
2018-03-13,telcoin,0.00211661,373694
2018-03-14,telcoin,0.00176398,497267
2018-03-15,telcoin,0.00172208,1023830
2018-03-16,telcoin,0.0017651,532861
2018-03-17,telcoin,0.00165405,370168
2018-03-18,telcoin,0.00154775,544464
2018-03-19,telcoin,0.00168787,297457
2018-03-20,telcoin,0.00170014,264432
2018-03-21,telcoin,0.00180301,267818
2018-03-22,telcoin,0.00180877,354571
2018-03-23,telcoin,0.00176393,396828
2018-03-24,telcoin,0.00172905,401920
2018-03-25,telcoin,0.00237945,1983490
2018-03-26,telcoin,0.00205835,1080370
2018-03-27,telcoin,0.0022413,1121340
2018-03-28,telcoin,0.00207268,946342
2018-03-29,telcoin,0.0015725,706150
2018-03-30,telcoin,0.00176797,843746
2018-03-31,telcoin,0.00174731,298274
2018-04-01,telcoin,0.00163599,323483
2018-04-02,telcoin,0.00163641,251755
