day,asset,close,volume
2017-06-27,tenx,47.7954,303595
2017-06-28,tenx,24.9179,97388
2017-06-29,tenx,42.6347,98292.1015625
2017-06-30,tenx,38.9861,50486.19921875
2017-07-01,tenx,32.3704,47036.5
2017-07-02,tenx,28.3471,23087.30078125
2017-07-03,tenx,42.6588,54180.1015625
2017-07-04,tenx,49.6835,54173.3984375
2017-07-05,tenx,63.4248,81558.5
2017-07-06,tenx,63.8316,57748.3984375
2017-07-07,tenx,1.09678,17115200
2017-07-08,tenx,1.10291,9172650
2017-07-09,tenx,0.901177,5116090
2017-07-10,tenx,0.705818,4091090
2017-07-11,tenx,0.659714,2728010
2017-07-12,tenx,0.790517,2263570
2017-07-13,tenx,0.720255,1315660
2017-07-14,tenx,0.676471,888570
2017-07-15,tenx,0.60068,658322
2017-07-16,tenx,0.569964,762642
2017-07-17,tenx,0.701529,1064690
2017-07-18,tenx,0.699843,1299010
2017-07-19,tenx,0.623537,892973
2017-07-20,tenx,0.700288,1104700
2017-07-21,tenx,0.670482,941278
2017-07-22,tenx,0.818033,1105650
2017-07-23,tenx,0.897774,1372810
2017-07-24,tenx,1.06968,6187510
2017-07-25,tenx,0.87115,3183140
2017-07-26,tenx,0.959473,1773700
2017-07-27,tenx,0.97892,1375970
2017-07-28,tenx,0.894037,1532520
2017-07-29,tenx,0.938536,821267
2017-07-30,tenx,0.887132,761095
2017-07-31,tenx,0.886032,927682
2017-08-01,tenx,0.948275,1974540
2017-08-02,tenx,0.920336,1214640
2017-08-03,tenx,1.00829,2287810
2017-08-04,tenx,1.26911,6686840
2017-08-05,tenx,2.18512,20158400
2017-08-06,tenx,1.81465,22959900
2017-08-07,tenx,2.04719,17232100
2017-08-08,tenx,2.21496,11213800
2017-08-09,tenx,2.13017,8207280
2017-08-10,tenx,2.81062,36245500
2017-08-11,tenx,4.51779,72243200
2017-08-12,tenx,4.67174,144768992
2017-08-13,tenx,5.10877,63744900
2017-08-14,tenx,4.57901,40308400
2017-08-15,tenx,4.12978,32234900
2017-08-16,tenx,4.68829,38520100
2017-08-17,tenx,4.29241,27541400
2017-08-18,tenx,3.64212,27194300
2017-08-19,tenx,4.22749,29938900
2017-08-20,tenx,4.04833,21808800
2017-08-21,tenx,3.65588,17514800
2017-08-22,tenx,3.53384,15464100
2017-08-23,tenx,3.61319,16820800
2017-08-24,tenx,3.6137,13663200
2017-08-25,tenx,3.48077,10738900
2017-08-26,tenx,3.70229,13238500
2017-08-27,tenx,3.60012,9396920
2017-08-28,tenx,3.76813,19053600
2017-08-29,tenx,4.22637,55100500
2017-08-30,tenx,4.3545,38732600
2017-08-31,tenx,4.26501,18249400
2017-09-01,tenx,4.00048,19597000
2017-09-02,tenx,3.60488,17736200
2017-09-03,tenx,3.53128,13885000
2017-09-04,tenx,2.75249,25177900
2017-09-05,tenx,2.923,15330600
2017-09-06,tenx,2.97114,13894900
2017-09-07,tenx,3.17529,10850500
2017-09-08,tenx,2.73361,11828700
2017-09-09,tenx,2.67319,5556020
2017-09-10,tenx,2.57124,5583990
2017-09-11,tenx,2.55315,3785740
2017-09-12,tenx,2.52627,6993150
2017-09-13,tenx,2.33278,4374450
2017-09-14,tenx,1.73903,5434480
2017-09-15,tenx,2.21519,7176660
2017-09-16,tenx,2.16555,3924690
2017-09-17,tenx,2.05837,1812480
2017-09-18,tenx,2.18439,3764930
2017-09-19,tenx,1.98293,3948150
2017-09-20,tenx,1.87373,3408460
2017-09-21,tenx,1.61396,3126050
2017-09-22,tenx,2.01085,20251500
2017-09-23,tenx,2.07614,5925450
2017-09-24,tenx,2.05992,2556770
2017-09-25,tenx,2.32359,5107580
2017-09-26,tenx,2.50877,8809800
2017-09-27,tenx,3.09062,9783940
2017-09-28,tenx,2.78071,8056480
2017-09-29,tenx,2.50349,4474950
2017-09-30,tenx,2.69467,2678700
2017-10-01,tenx,2.73485,3566410
2017-10-02,tenx,2.41508,3960140
2017-10-03,tenx,2.36432,2411880
2017-10-04,tenx,2.18884,2734090
2017-10-05,tenx,2.12086,2960440
2017-10-06,tenx,2.18668,1841650
2017-10-07,tenx,2.13223,1399150
2017-10-08,tenx,1.87644,3127350
2017-10-09,tenx,1.87819,3114140
2017-10-10,tenx,2.03827,2615710
2017-10-11,tenx,2.1944,3066290
2017-10-12,tenx,2.07237,3646780
2017-10-13,tenx,1.96506,3008780
2017-10-14,tenx,1.89659,1953950
2017-10-15,tenx,1.93202,2014170
2017-10-16,tenx,1.92616,1765220
2017-10-17,tenx,1.84836,1935210
2017-10-18,tenx,1.99476,3166310
2017-10-19,tenx,1.94848,2116140
2017-10-20,tenx,1.76139,2239300
2017-10-21,tenx,1.78761,1803770
2017-10-22,tenx,1.77678,1364770
2017-10-23,tenx,1.6982,1626990
2017-10-24,tenx,1.86861,3257940
2017-10-25,tenx,1.81559,1537370
2017-10-26,tenx,1.79409,1999040
2017-10-27,tenx,1.80105,1353430
2017-10-28,tenx,1.73401,877822
2017-10-29,tenx,1.71165,1600250
2017-10-30,tenx,1.78488,1515540
2017-10-31,tenx,1.7808,1749920
2017-11-01,tenx,1.5216,3436630
2017-11-02,tenx,1.54303,3165970
2017-11-03,tenx,1.72654,3130570
2017-11-04,tenx,1.64381,1288170
2017-11-05,tenx,1.61086,1473870
2017-11-06,tenx,1.6002,1778150
2017-11-07,tenx,1.69681,1840750
2017-11-08,tenx,1.90202,3642740
2017-11-09,tenx,1.97976,3661920
2017-11-10,tenx,1.74105,3848040
2017-11-11,tenx,1.69764,1556640
2017-11-12,tenx,1.54442,2781570
2017-11-13,tenx,1.63517,1939190
2017-11-14,tenx,1.70546,1972060
2017-11-15,tenx,1.642,2120990
2017-11-16,tenx,1.64735,2465150
2017-11-17,tenx,1.63854,2184110
2017-11-18,tenx,1.70595,2325690
2017-11-19,tenx,1.67192,2376050
2017-11-20,tenx,1.99269,17108600
2017-11-21,tenx,1.87103,6465280
2017-11-22,tenx,1.90596,3539160
2017-11-23,tenx,1.87757,3252390
2017-11-24,tenx,1.89512,2940540
2017-11-25,tenx,2.01234,3554900
2017-11-26,tenx,2.34346,9158000
2017-11-27,tenx,2.35712,6787580
2017-11-28,tenx,2.68084,13254900
2017-11-29,tenx,2.03734,13209400
2017-11-30,tenx,2.146,6059510
2017-12-01,tenx,2.38577,4928220
2017-12-02,tenx,2.34359,4476150
2017-12-03,tenx,2.37812,5821760
2017-12-04,tenx,2.70041,9442190
2017-12-05,tenx,2.65886,17721300
2017-12-06,tenx,2.24581,12131500
2017-12-07,tenx,1.93858,11229200
2017-12-08,tenx,2.34676,8592790
2017-12-09,tenx,2.15052,6269350
2017-12-10,tenx,1.94686,5839650
2017-12-11,tenx,2.11001,6871600
2017-12-12,tenx,2.21757,10193500
2017-12-13,tenx,2.37598,10059800
2017-12-14,tenx,2.56907,12869900
2017-12-15,tenx,2.45402,10062700
2017-12-16,tenx,2.91291,20847000
2017-12-17,tenx,3.73033,24384600
2017-12-18,tenx,3.97459,28914900
2017-12-19,tenx,3.44329,25958300
2017-12-20,tenx,3.55234,18190000
2017-12-21,tenx,3.62171,28856500
2017-12-22,tenx,2.92175,14858200
2017-12-23,tenx,3.78794,25941600
2017-12-24,tenx,4.68188,84506600
2017-12-25,tenx,4.57733,55733200
2017-12-26,tenx,4.38862,35774200
2017-12-27,tenx,4.15186,26603000
2017-12-28,tenx,4.18344,25092700
2017-12-29,tenx,4.2159,19693700
2017-12-30,tenx,3.61915,14236400
2017-12-31,tenx,4.08104,22511900
2018-01-01,tenx,4.03454,16548300
2018-01-02,tenx,4.2449,34190000
2018-01-03,tenx,4.59162,31290500
2018-01-04,tenx,4.64966,37993800
2018-01-05,tenx,3.92276,45959500
2018-01-06,tenx,3.7317,32369500
2018-01-07,tenx,3.97385,33424500
2018-01-08,tenx,3.90522,25176900
2018-01-09,tenx,3.84835,23811700
2018-01-10,tenx,3.5896,21191800
2018-01-11,tenx,3.08539,19377200
2018-01-12,tenx,3.46167,24575400
2018-01-13,tenx,3.69771,24171100
2018-01-14,tenx,3.84752,30756100
2018-01-15,tenx,3.41355,24344000
2018-01-16,tenx,2.50906,20981500
2018-01-17,tenx,2.56853,16197400
2018-01-18,tenx,2.54638,14577400
2018-01-19,tenx,2.5865,10953400
2018-01-20,tenx,2.88798,8661910
2018-01-21,tenx,2.41915,8606860
2018-01-22,tenx,2.27951,11879200
2018-01-23,tenx,2.4114,9939170
2018-01-24,tenx,2.53394,11992000
2018-01-25,tenx,2.48487,11502100
2018-01-26,tenx,2.40516,11024300
2018-01-27,tenx,2.50832,11630600
2018-01-28,tenx,2.77815,20534600
2018-01-29,tenx,2.52828,12845800
2018-01-30,tenx,2.34826,9836630
2018-01-31,tenx,2.31394,15233400
2018-02-01,tenx,1.95309,7751300
2018-02-02,tenx,1.89424,5891370
2018-02-03,tenx,2.01319,9382430
2018-02-04,tenx,1.71276,8106130
2018-02-05,tenx,1.3539,7011110
2018-02-06,tenx,1.60436,7260520
2018-02-07,tenx,1.45338,7972840
2018-02-08,tenx,1.5694,5187240
2018-02-09,tenx,1.75062,4060050
2018-02-10,tenx,1.83072,6578240
2018-02-11,tenx,1.75215,3566390
2018-02-12,tenx,1.94769,3602900
2018-02-13,tenx,1.80782,2966310
2018-02-14,tenx,1.94335,2950240
2018-02-15,tenx,1.98669,2964980
2018-02-16,tenx,1.96662,2369250
