day,asset,close,volume
2017-10-02,tezos,1.85183,459394
2017-10-03,tezos,1.92488,476488
2017-10-04,tezos,2.15111,476292
2017-10-05,tezos,2.13466,501729
2017-10-06,tezos,2.1756,524678
2017-10-07,tezos,2.38194,453749
2017-10-08,tezos,2.34767,466671
2017-10-09,tezos,2.31666,751712
2017-10-10,tezos,2.32008,799158
2017-10-11,tezos,2.26039,484819
2017-10-12,tezos,2.47328,460146
2017-10-13,tezos,2.44075,691607
2017-10-14,tezos,2.62007,649276
2017-10-15,tezos,2.49656,339115
2017-10-16,tezos,2.59237,478468
2017-10-17,tezos,2.4989,1080100
2017-10-18,tezos,2.28386,1072900
2017-10-19,tezos,2.02832,1489370
2017-10-20,tezos,1.8934,869169
2017-10-21,tezos,1.82452,662759
2017-10-22,tezos,1.6778,568426
2017-10-23,tezos,1.71706,437565
2017-10-24,tezos,1.84073,391817
2017-10-25,tezos,1.78119,185990
2017-10-26,tezos,1.78895,215177
2017-10-27,tezos,1.77974,283231
2017-10-28,tezos,1.79522,353571
2017-10-29,tezos,1.7455,571833
2017-10-30,tezos,1.75327,666903
2017-10-31,tezos,1.75496,714885
2017-11-01,tezos,1.71973,486612
2017-11-02,tezos,1.61234,701330
2017-11-03,tezos,1.74289,642585
2017-11-04,tezos,1.76536,567026
2017-11-05,tezos,1.70008,338133
2017-11-06,tezos,1.55425,504421
2017-11-07,tezos,1.71671,599851
2017-11-08,tezos,1.61884,603375
2017-11-09,tezos,1.70631,506992
2017-11-10,tezos,1.55684,507916
2017-11-11,tezos,1.58338,500045
2017-11-12,tezos,1.47648,278535
2017-11-13,tezos,1.45946,390003
2017-11-14,tezos,1.55708,372245
2017-11-15,tezos,1.61052,178352
2017-11-16,tezos,1.66001,386974
2017-11-17,tezos,1.65402,271884
2017-11-18,tezos,1.6866,187698
2017-11-19,tezos,1.72436,255118
2017-11-20,tezos,1.7479,287842
2017-11-21,tezos,1.72161,295924
2017-11-22,tezos,2.32322,853953
2017-11-23,tezos,2.02165,321518
2017-11-24,tezos,1.97599,787662
2017-11-25,tezos,2.0302,589199
2017-11-26,tezos,2.17157,799362
2017-11-27,tezos,2.16713,391622
2017-11-28,tezos,2.12569,504296
2017-11-29,tezos,2.05811,412355
2017-11-30,tezos,2.18631,340965
2017-12-01,tezos,2.41762,530200
2017-12-02,tezos,2.49449,463783
2017-12-03,tezos,2.71852,511950
2017-12-04,tezos,2.66819,643893
2017-12-05,tezos,2.79833,496599
2017-12-06,tezos,3.30939,708488
2017-12-07,tezos,3.77556,463861
2017-12-08,tezos,3.81724,924748
2017-12-09,tezos,3.40772,866925
2017-12-10,tezos,3.44675,923580
2017-12-11,tezos,3.86971,735963
2017-12-12,tezos,4.30114,838919
2017-12-13,tezos,4.06814,692505
2017-12-14,tezos,4.44303,582458
2017-12-15,tezos,5.00353,972025
2017-12-16,tezos,5.98416,755714
2017-12-17,tezos,10.5579,3035850
2017-12-18,tezos,8.34931,2967030
2017-12-19,tezos,7.562,3158240
2017-12-20,tezos,4.84764,2464740
2017-12-21,tezos,5.03263,1804550
2017-12-22,tezos,3.85322,1721410
2017-12-23,tezos,4.4319,1516870
2017-12-24,tezos,4.01854,1639850
2017-12-25,tezos,3.90003,1310020
2017-12-26,tezos,4.26095,813451
2017-12-27,tezos,3.87085,1123050
2017-12-28,tezos,3.78985,579467
2017-12-29,tezos,3.7571,945485
2017-12-30,tezos,3.8825,713963
2017-12-31,tezos,4.07938,519750
2018-01-01,tezos,4.52693,675780
2018-01-02,tezos,5.54168,1814600
2018-01-03,tezos,7.0878,1702840
2018-01-04,tezos,6.15175,1201580
2018-01-05,tezos,5.4839,1852540
2018-01-06,tezos,5.4489,1202100
2018-01-07,tezos,5.43926,1354790
2018-01-08,tezos,4.73595,1398750
2018-01-09,tezos,4.97075,1552540
2018-01-10,tezos,4.94718,1154550
2018-01-11,tezos,5.27148,961974
2018-01-12,tezos,5.74704,1125140
2018-01-13,tezos,6.07283,1687140
2018-01-14,tezos,5.55123,3379230
2018-01-15,tezos,5.22887,3217700
2018-01-16,tezos,4.83939,3465340
2018-01-17,tezos,4.52802,2515590
2018-01-18,tezos,5.13298,3888860
2018-01-19,tezos,4.74365,4734330
2018-01-20,tezos,4.98721,3153040
2018-01-21,tezos,4.58456,1290190
2018-01-22,tezos,4.73121,2760220
2018-01-23,tezos,4.74482,4212570
2018-01-24,tezos,4.24427,1542820
2018-01-25,tezos,4.03549,1303740
2018-01-26,tezos,4.10801,621430
2018-01-27,tezos,4.09062,343186
2018-01-28,tezos,4.57822,617533
2018-01-29,tezos,3.28209,2035690
2018-01-30,tezos,3.43583,1429180
2018-01-31,tezos,3.38878,2148400
2018-02-01,tezos,3.0636,3109900
2018-02-02,tezos,2.8519,2820460
2018-02-03,tezos,3.1757,1660240
2018-02-04,tezos,3.06664,1498690
2018-02-05,tezos,2.41393,2070610
2018-02-06,tezos,2.46371,1706220
2018-02-07,tezos,2.41574,2082500
2018-02-08,tezos,2.95394,1888850
2018-02-09,tezos,3.16982,1119960
2018-02-10,tezos,3.2748,1086180
2018-02-11,tezos,2.98182,606314
2018-02-12,tezos,3.2182,928316
2018-02-13,tezos,2.60651,1543840
2018-02-14,tezos,2.49669,1870300
2018-02-15,tezos,2.57202,751962
2018-02-16,tezos,2.69342,903445
2018-02-17,tezos,2.74507,900364
2018-02-18,tezos,2.87295,1038200
2018-02-19,tezos,3.44309,1528560
2018-02-20,tezos,3.90808,2076160
2018-02-21,tezos,3.52862,1102720
2018-02-22,tezos,4.05516,2167420
2018-02-23,tezos,4.69462,1623090
2018-02-24,tezos,4.84152,1219590
2018-02-25,tezos,4.67394,524865
2018-02-26,tezos,3.96411,1583130
2018-02-27,tezos,4.36355,556383
2018-02-28,tezos,4.23379,702098
2018-03-01,tezos,4.38551,547252
2018-03-02,tezos,4.30557,327186
2018-03-03,tezos,4.40805,257175
2018-03-04,tezos,4.25898,425664
2018-03-05,tezos,4.05369,306890
2018-03-06,tezos,3.61665,925033
