day,asset,close,volume
2017-08-27,tierion,0.23326,1142210
2017-08-28,tierion,0.240774,1571580
2017-08-29,tierion,0.203106,4604530
2017-08-30,tierion,0.230057,2834140
2017-08-31,tierion,0.211936,2285170
2017-09-01,tierion,0.194102,2189470
2017-09-02,tierion,0.158348,1845180
2017-09-03,tierion,0.16572,1962340
2017-09-04,tierion,0.123492,1808250
2017-09-05,tierion,0.122829,1207500
2017-09-06,tierion,0.128119,1417820
2017-09-07,tierion,0.15075,1426240
2017-09-08,tierion,0.117074,1316520
2017-09-09,tierion,0.123816,1143130
2017-09-10,tierion,0.117677,808065
2017-09-11,tierion,0.11634,900860
2017-09-12,tierion,0.153554,2127140
2017-09-13,tierion,0.144117,2048460
2017-09-14,tierion,0.110875,1007460
2017-09-15,tierion,0.124125,1227720
2017-09-16,tierion,0.117094,1509900
2017-09-17,tierion,0.103925,950560
2017-09-18,tierion,0.105156,1177010
2017-09-19,tierion,0.0974501,1387650
2017-09-20,tierion,0.0990485,1156930
2017-09-21,tierion,0.0966351,1161540
2017-09-22,tierion,0.0966162,1118690
2017-09-23,tierion,0.0954714,969271
2017-09-24,tierion,0.0895034,1146560
2017-09-25,tierion,0.0791366,1135590
2017-09-26,tierion,0.0846248,650145
2017-09-27,tierion,0.0972764,707044
2017-09-28,tierion,0.0920835,631078
2017-09-29,tierion,0.0827515,404920
2017-09-30,tierion,0.086188,585885
2017-10-01,tierion,0.0840678,656043
2017-10-02,tierion,0.0785571,535584
2017-10-03,tierion,0.077366,620283
2017-10-04,tierion,0.0746655,626961
2017-10-05,tierion,0.0764817,521424
2017-10-06,tierion,0.0735428,386219
2017-10-07,tierion,0.0722068,414938
2017-10-08,tierion,0.0647726,531630
2017-10-09,tierion,0.0538838,440279
2017-10-10,tierion,0.0574649,344480
2017-10-11,tierion,0.0586843,303406
2017-10-12,tierion,0.0578314,298303
2017-10-13,tierion,0.0549425,343801
2017-10-14,tierion,0.0564798,288636
