day,asset,close,volume
2017-11-06,unikoin-gold,0.208294,78455.6015625
2017-11-07,unikoin-gold,0.20729,56463.80078125
2017-11-08,unikoin-gold,0.227809,115434
2017-11-09,unikoin-gold,0.227094,75158.3984375
2017-11-10,unikoin-gold,0.26696,164942
2017-11-11,unikoin-gold,0.223628,302011
2017-11-12,unikoin-gold,0.170173,133285
2017-11-13,unikoin-gold,0.187943,127720
2017-11-14,unikoin-gold,0.205492,194652
2017-11-15,unikoin-gold,0.181557,241187
2017-11-16,unikoin-gold,0.155667,246355
2017-11-17,unikoin-gold,0.135451,237318
2017-11-18,unikoin-gold,0.140449,113394
2017-11-19,unikoin-gold,0.124406,81080.296875
2017-11-20,unikoin-gold,0.137933,64464.1015625
2017-11-21,unikoin-gold,0.119025,106568
2017-11-22,unikoin-gold,0.11531,149211
2017-11-23,unikoin-gold,0.166354,153182
2017-11-24,unikoin-gold,0.217517,174324
2017-11-25,unikoin-gold,0.186419,225900
2017-11-26,unikoin-gold,0.193097,231770
2017-11-27,unikoin-gold,0.184864,212204
2017-11-28,unikoin-gold,0.167184,207079
2017-11-29,unikoin-gold,0.158022,167543
2017-11-30,unikoin-gold,0.192645,137392
2017-12-01,unikoin-gold,0.201707,106988
2017-12-02,unikoin-gold,0.187149,195615
2017-12-03,unikoin-gold,0.166106,133351
2017-12-04,unikoin-gold,0.185537,108511
2017-12-05,unikoin-gold,0.190073,101850
2017-12-06,unikoin-gold,0.174044,141748
2017-12-07,unikoin-gold,0.17417,102140
2017-12-08,unikoin-gold,0.150127,119102
2017-12-09,unikoin-gold,0.169655,124853
2017-12-10,unikoin-gold,0.181216,73465.703125
2017-12-11,unikoin-gold,0.18611,156774
2017-12-12,unikoin-gold,0.182025,132933
2017-12-13,unikoin-gold,0.188982,176989
2017-12-14,unikoin-gold,0.193901,194950
2017-12-15,unikoin-gold,0.174831,185557
2017-12-16,unikoin-gold,0.163025,193913
2017-12-17,unikoin-gold,0.187631,151516
2017-12-18,unikoin-gold,0.283145,564576
2017-12-19,unikoin-gold,0.328217,462245
2017-12-20,unikoin-gold,0.421831,457256
2017-12-21,unikoin-gold,0.394849,534359
2017-12-22,unikoin-gold,0.298062,306824
2017-12-23,unikoin-gold,0.300422,332197
2017-12-24,unikoin-gold,0.303649,220325
2017-12-25,unikoin-gold,0.324309,206433
2017-12-26,unikoin-gold,0.327424,200105
2017-12-27,unikoin-gold,0.293078,183643
2017-12-28,unikoin-gold,0.272758,152311
2017-12-29,unikoin-gold,0.717295,1007910
2017-12-30,unikoin-gold,0.624454,16852300
2017-12-31,unikoin-gold,0.607715,4432200
2018-01-01,unikoin-gold,0.598422,3005680
2018-01-02,unikoin-gold,0.72552,6901820
2018-01-03,unikoin-gold,1.01469,12807800
2018-01-04,unikoin-gold,0.922629,8060500
2018-01-05,unikoin-gold,0.834507,7116520
2018-01-06,unikoin-gold,1.29449,20960700
2018-01-07,unikoin-gold,2.07136,74984400
2018-01-08,unikoin-gold,1.95702,49083700
2018-01-09,unikoin-gold,1.75955,18220100
2018-01-10,unikoin-gold,1.46361,12917000
2018-01-11,unikoin-gold,1.39709,13167200
2018-01-12,unikoin-gold,1.49379,10342900
2018-01-13,unikoin-gold,1.3683,8985690
2018-01-14,unikoin-gold,1.1645,12345200
2018-01-15,unikoin-gold,1.15184,17974600
2018-01-16,unikoin-gold,0.730384,10121900
2018-01-17,unikoin-gold,0.745602,8388620
2018-01-18,unikoin-gold,0.801926,8566960
2018-01-19,unikoin-gold,0.83621,4849480
2018-01-20,unikoin-gold,0.901369,4235400
2018-01-21,unikoin-gold,0.733474,3148520
2018-01-22,unikoin-gold,0.675228,3925320
2018-01-23,unikoin-gold,0.790443,16280100
2018-01-24,unikoin-gold,0.999766,36118000
2018-01-25,unikoin-gold,0.88995,6354640
2018-01-26,unikoin-gold,0.932762,19395800
2018-01-27,unikoin-gold,0.941592,3520070
2018-01-28,unikoin-gold,0.897418,5291730
2018-01-29,unikoin-gold,0.873079,5994380
2018-01-30,unikoin-gold,0.718502,4669060
2018-01-31,unikoin-gold,0.756017,3322880
2018-02-01,unikoin-gold,0.569546,3228330
2018-02-02,unikoin-gold,0.487083,2434080
2018-02-03,unikoin-gold,0.515409,1824220
2018-02-04,unikoin-gold,0.435202,891799
2018-02-05,unikoin-gold,0.308016,736935
2018-02-06,unikoin-gold,0.381027,1221250
2018-02-07,unikoin-gold,0.361083,863974
2018-02-08,unikoin-gold,0.407286,1182730
2018-02-09,unikoin-gold,0.45435,789742
2018-02-10,unikoin-gold,0.433067,1605790
2018-02-11,unikoin-gold,0.391257,693858
2018-02-12,unikoin-gold,0.441724,2014230
2018-02-13,unikoin-gold,0.407696,829787
2018-02-14,unikoin-gold,0.426659,1643650
2018-02-15,unikoin-gold,0.406464,2326770
2018-02-16,unikoin-gold,0.385876,1302750
2018-02-17,unikoin-gold,0.410108,1177650
2018-02-18,unikoin-gold,0.355507,793241
2018-02-19,unikoin-gold,0.359125,700241
2018-02-20,unikoin-gold,0.346412,3309300
2018-02-21,unikoin-gold,0.313254,927108
2018-02-22,unikoin-gold,0.280559,626468
2018-02-23,unikoin-gold,0.312242,788042
2018-02-24,unikoin-gold,0.293582,354692
2018-02-25,unikoin-gold,0.289238,378087
2018-02-26,unikoin-gold,0.395268,8820530
2018-02-27,unikoin-gold,0.357823,4311490
2018-02-28,unikoin-gold,0.300348,1154230
2018-03-01,unikoin-gold,0.325797,1117310
2018-03-02,unikoin-gold,0.356435,6905620
2018-03-03,unikoin-gold,0.360073,2780540
2018-03-04,unikoin-gold,0.369962,1793500
2018-03-05,unikoin-gold,0.347254,1397590
2018-03-06,unikoin-gold,0.325027,1067460
2018-03-07,unikoin-gold,0.281579,831866
2018-03-08,unikoin-gold,0.264838,1158510
2018-03-09,unikoin-gold,0.246948,1793840
2018-03-10,unikoin-gold,0.229974,491210
2018-03-11,unikoin-gold,0.243056,398333
2018-03-12,unikoin-gold,0.222329,567226
2018-03-13,unikoin-gold,0.212493,365636
2018-03-14,unikoin-gold,0.170459,498712
2018-03-15,unikoin-gold,0.172464,1128330
2018-03-16,unikoin-gold,0.160968,222312
2018-03-17,unikoin-gold,0.164679,1724270
2018-03-18,unikoin-gold,0.153224,579981
2018-03-19,unikoin-gold,0.164985,304196
2018-03-20,unikoin-gold,0.169077,246172
2018-03-21,unikoin-gold,0.203657,974822
2018-03-22,unikoin-gold,0.18443,1102450
2018-03-23,unikoin-gold,0.180979,1056350
2018-03-24,unikoin-gold,0.179679,1078930
2018-03-25,unikoin-gold,0.178349,1131590
2018-03-26,unikoin-gold,0.17066,1374340
