day,asset,close,volume
2017-09-25,vibe,0.0100437,17250
2017-09-26,vibe,0.0112328,6384.66015625
2017-09-27,vibe,0.0195399,17489
2017-09-28,vibe,0.0496811,108046
2017-09-29,vibe,0.0612734,191043
2017-09-30,vibe,0.0582281,83173.8984375
2017-10-01,vibe,0.0548757,75936.203125
2017-10-02,vibe,0.0452468,65007.5
2017-10-03,vibe,0.0385887,35642.19921875
2017-10-04,vibe,0.0435841,67990.703125
2017-10-05,vibe,0.0457145,39261.6015625
2017-10-06,vibe,0.0549031,67895.296875
2017-10-07,vibe,0.0533647,56605.3984375
2017-10-08,vibe,0.047107,33037.5
2017-10-09,vibe,0.0404172,37959.80078125
2017-10-10,vibe,0.0615171,120776
2017-10-11,vibe,0.0481893,68845
2017-10-12,vibe,0.0422917,42720.6015625
2017-10-13,vibe,0.0438251,67697.6015625
2017-10-14,vibe,0.0377269,26733.19921875
2017-10-15,vibe,0.0285558,37503.3984375
2017-10-16,vibe,0.0300651,16900.5
2017-10-17,vibe,0.0344225,58575.1015625
2017-10-18,vibe,0.034197,41745.19921875
2017-10-19,vibe,0.031311,18910.099609375
2017-10-20,vibe,0.0335715,20699.69921875
2017-10-21,vibe,0.0286624,23814.5
2017-10-22,vibe,0.034876,18866.900390625
2017-10-23,vibe,0.0305055,9730.0703125
2017-10-24,vibe,0.0323162,19224.5
2017-10-25,vibe,0.0332278,10022.2001953125
2017-10-26,vibe,0.0299757,9857.08984375
2017-10-27,vibe,0.0303711,17815.19921875
2017-10-28,vibe,0.0279717,14927.2998046875
2017-10-29,vibe,0.0238629,42641.6015625
2017-10-30,vibe,0.0226097,12096
2017-10-31,vibe,0.0224603,39137.6015625
2017-11-01,vibe,0.0210623,30818.19921875
2017-11-02,vibe,0.0214564,24326.5
2017-11-03,vibe,0.0276159,43535.8984375
2017-11-04,vibe,0.0318879,33244.8984375
2017-11-05,vibe,0.0311773,6194.7001953125
2017-11-06,vibe,0.0325323,17940.69921875
2017-11-07,vibe,0.0306646,19797.19921875
2017-11-08,vibe,0.0338868,65371.1015625
2017-11-09,vibe,0.0331536,31591.19921875
2017-11-10,vibe,0.0307874,31243.900390625
2017-11-11,vibe,0.031566,18389.400390625
