day,asset,close,volume
2018-02-03,zilla,0.0772604,11905500
2018-02-05,zilla,0.265395,4165550
2018-02-06,zilla,0.306703,4188530
2018-02-07,zilla,0.286318,4232990
2018-02-08,zilla,0.30462,4120290
2018-02-09,zilla,0.321361,3988130
2018-02-10,zilla,0.383249,4352500
2018-02-11,zilla,0.316726,3876780
2018-02-12,zilla,0.338362,3518190
2018-02-13,zilla,0.307553,3392290
2018-02-14,zilla,0.340288,4466200
2018-02-15,zilla,0.41901,6747450
2018-02-16,zilla,0.440529,2807920
2018-02-17,zilla,0.445651,2289360
2018-02-18,zilla,0.388384,2073750
2018-02-19,zilla,0.399625,1611930
2018-02-20,zilla,0.369134,1854530
2018-02-21,zilla,0.35375,1529220
2018-02-22,zilla,0.331359,1586430
2018-02-23,zilla,0.304671,1676180
2018-02-24,zilla,0.312489,1402390
2018-02-25,zilla,0.291085,1160330
2018-02-26,zilla,0.293551,1004990
2018-02-27,zilla,0.287691,1130690
2018-02-28,zilla,0.27719,1437530
2018-03-01,zilla,0.294202,1203450
2018-03-02,zilla,0.273179,1192150
2018-03-03,zilla,0.271397,1063380
2018-03-04,zilla,0.26016,1016980
2018-03-05,zilla,0.239855,1243820
2018-03-06,zilla,0.193635,1088940
2018-03-07,zilla,0.144928,1246990
2018-03-08,zilla,0.130603,1188190
2018-03-09,zilla,0.140776,732587
2018-03-10,zilla,0.130564,913630
2018-03-11,zilla,0.131328,939539
2018-03-12,zilla,0.126269,1587000
2018-03-13,zilla,0.127056,281144
2018-03-14,zilla,0.117507,631462
2018-03-15,zilla,0.119626,893783
2018-03-16,zilla,0.1144,1558670
2018-03-17,zilla,0.107427,1604670
2018-03-18,zilla,0.103782,2585960
2018-03-19,zilla,0.10498,873312
2018-03-20,zilla,0.114077,1035920
2018-03-21,zilla,0.112974,1241010
2018-03-22,zilla,0.113761,1925140
2018-03-23,zilla,0.143229,1449950
2018-03-24,zilla,0.142046,1832080
2018-03-25,zilla,0.133859,1446060
2018-03-26,zilla,0.124387,1287840
2018-03-27,zilla,0.125205,1960510
2018-03-28,zilla,0.205544,5691900
2018-03-29,zilla,0.161378,2942220
2018-03-30,zilla,0.167834,2141630
2018-03-31,zilla,0.162136,1995520
2018-04-01,zilla,0.142561,2310720
2018-04-02,zilla,0.136085,2111410
