day,asset,close,volume
2017-06-16,zrcoin,74.9401,2302.760009765625
2017-06-17,zrcoin,59.9496,1251.6300048828125
2017-06-18,zrcoin,74.9302,3403.85009765625
2017-06-19,zrcoin,44.9641,1467
2017-06-20,zrcoin,40.9673,483.2909851074219
2017-06-21,zrcoin,31.841,17807.400390625
2017-06-22,zrcoin,4.48873,8621.4501953125
2017-06-23,zrcoin,2.86398,13149.5
2017-06-24,zrcoin,1.82648,13783.2998046875
2017-06-25,zrcoin,2.26296,38104.69921875
2017-06-26,zrcoin,1.74076,16261.900390625
2017-06-27,zrcoin,1.60892,3796.64990234375
2017-06-28,zrcoin,1.62123,22007.599609375
2017-06-29,zrcoin,1.63837,16875.30078125
2017-06-30,zrcoin,5.27761,15328.900390625
2017-07-01,zrcoin,2.08783,9894.150390625
2017-07-02,zrcoin,1.84552,7599.85009765625
2017-07-03,zrcoin,1.62578,17482.599609375
2017-07-04,zrcoin,1.38877,18887.099609375
2017-07-05,zrcoin,1.50409,16062.7001953125
2017-07-06,zrcoin,4.76463,12184.400390625
2017-07-07,zrcoin,1.3317,34526.30078125
2017-07-08,zrcoin,1.36535,4549.83984375
2017-07-09,zrcoin,1.36829,9775.580078125
2017-07-10,zrcoin,1.24348,19067.19921875
2017-07-11,zrcoin,0.792471,34758.69921875
2017-07-12,zrcoin,1.19387,32149.599609375
2017-07-13,zrcoin,1.17808,34716.80078125
2017-07-14,zrcoin,1.07229,38346.1015625
2017-07-15,zrcoin,1.12763,34036.30078125
2017-07-16,zrcoin,0.958966,45133.3984375
2017-07-17,zrcoin,1.07018,24666.19921875
2017-07-18,zrcoin,0.944869,18916.900390625
2017-07-19,zrcoin,0.903023,11611.599609375
2017-07-20,zrcoin,1.13021,9936.830078125
2017-07-21,zrcoin,1.10678,14409.7001953125
2017-07-22,zrcoin,1.27113,15354.599609375
2017-07-23,zrcoin,1.16802,8427.2900390625
2017-07-24,zrcoin,1.23513,24747.69921875
2017-07-25,zrcoin,1.04066,78268.796875
2017-07-26,zrcoin,1.37801,42071.6015625
2017-07-27,zrcoin,1.06119,34248.1015625
2017-07-28,zrcoin,1.17554,35441.8984375
2017-07-29,zrcoin,1.24251,32494.80078125
2017-07-30,zrcoin,0.936913,38489.69921875
2017-07-31,zrcoin,1.09752,40945.8984375
2017-08-01,zrcoin,1.0438,37697
2017-08-02,zrcoin,1.0551,35492.3984375
2017-08-03,zrcoin,1.30883,39281.19921875
2017-08-04,zrcoin,1.19209,27281.400390625
2017-08-05,zrcoin,1.36782,54301.69921875
2017-08-06,zrcoin,1.49599,64081.30078125
2017-08-07,zrcoin,1.27054,71728.203125
2017-08-08,zrcoin,1.24272,42858.3984375
2017-08-09,zrcoin,1.19931,46370
2017-08-10,zrcoin,1.39499,43892.19921875
2017-08-11,zrcoin,1.11805,32399.599609375
2017-08-12,zrcoin,1.0915,50568.69921875
2017-08-13,zrcoin,1.07523,58608.69921875
2017-08-14,zrcoin,1.126,54719.3984375
2017-08-15,zrcoin,1.13858,47128.1015625
2017-08-16,zrcoin,1.22143,44031.6015625
2017-08-17,zrcoin,1.19187,44596.3984375
2017-08-18,zrcoin,1.20898,60457.19921875
2017-08-19,zrcoin,1.33993,55075.80078125
2017-08-20,zrcoin,1.37737,67283.703125
2017-08-21,zrcoin,1.35894,64060.6015625
2017-08-22,zrcoin,1.21034,60566.1015625
2017-08-23,zrcoin,1.16682,74723
2017-08-24,zrcoin,1.33253,94546.203125
2017-08-25,zrcoin,1.63552,111430
2017-08-26,zrcoin,1.79046,88059.6015625
2017-08-27,zrcoin,1.55112,106978
2017-08-28,zrcoin,1.57201,89471.703125
2017-08-29,zrcoin,1.5465,80426.6015625
2017-08-30,zrcoin,1.41166,95004.5
2017-08-31,zrcoin,1.58463,84667.1015625
2017-09-01,zrcoin,1.62833,81590.703125
2017-09-02,zrcoin,1.54139,34365.6015625
2017-09-03,zrcoin,1.55481,18686.80078125
2017-09-04,zrcoin,1.4442,21205
2017-09-05,zrcoin,1.40629,12103.400390625
2017-09-06,zrcoin,1.2314,14242.5
2017-09-07,zrcoin,1.07766,64770.8984375
2017-09-08,zrcoin,1.25152,12888.099609375
2017-09-09,zrcoin,1.2339,9319.919921875
2017-09-10,zrcoin,1.24016,13882.900390625
2017-09-11,zrcoin,1.25132,12962.900390625
2017-09-12,zrcoin,1.13633,12998.2001953125
2017-09-13,zrcoin,0.978079,14443.599609375
2017-09-14,zrcoin,0.807123,13771
2017-09-15,zrcoin,0.98298,23098.900390625
2017-09-16,zrcoin,0.9704,12804.900390625
2017-09-17,zrcoin,1.0417,9734.0498046875
2017-09-18,zrcoin,1.12331,2807.8701171875
2017-09-19,zrcoin,1.13762,3923.4599609375
2017-09-20,zrcoin,0.962398,35105.6015625
2017-09-21,zrcoin,0.942995,34618.8984375
2017-09-22,zrcoin,0.95019,31371
2017-09-23,zrcoin,0.967509,34365.19921875
2017-09-24,zrcoin,0.9775,29692.19921875
2017-09-25,zrcoin,1.00274,30543.099609375
2017-09-26,zrcoin,1.21409,72086
2017-09-27,zrcoin,1.24213,70081.296875
2017-09-28,zrcoin,1.17732,50215.5
