day,asset,close,volume
2018-08-22,4new,0.0685476,98442.9
2018-08-23,4new,0.0616801,91102.1
2018-08-24,4new,0.0586382,50186.7
2018-08-25,4new,0.0566859,35510.2
2018-08-26,4new,0.049947,19831.9
2018-08-27,4new,0.052938,79846.5
2018-08-28,4new,0.0593407,62578.7
2018-08-29,4new,0.0714697,40592.3
2018-08-30,4new,0.112169,69522.5
2018-08-31,4new,0.0862293,97179.2
2018-09-01,4new,0.0878272,94439.2
2018-09-02,4new,0.0842699,95024.9
2018-09-03,4new,0.0720344,109948
2018-09-04,4new,0.0691201,75092.4
2018-09-05,4new,0.0417324,177503
2018-09-06,4new,0.0558403,192801
2018-09-07,4new,0.0467883,335611
2018-09-08,4new,0.0413406,21368.1
2018-09-09,4new,0.0385687,62779.2
2018-09-10,4new,0.0333178,407358
2018-09-11,4new,0.0359334,39538.4
2018-09-12,4new,0.0358801,145951
2018-09-13,4new,0.0385383,986230
2018-09-14,4new,0.0365219,390311
2018-09-15,4new,0.0376989,279855
2018-09-16,4new,0.0362031,225454
2018-09-17,4new,0.0300741,30948.4
2018-09-18,4new,0.0348552,22380.6
2018-09-19,4new,0.0587512,223088
2018-09-20,4new,0.0361555,53910.8
2018-09-21,4new,0.0398834,16533.8
2018-09-22,4new,0.0383249,22564.2
2018-09-23,4new,0.0497626,28990.2
2018-09-24,4new,0.0404466,44913.8
2018-09-25,4new,0.0366047,37771.1
2018-09-26,4new,0.0362764,63711.7
2018-09-27,4new,0.0372669,50965.5
2018-09-28,4new,0.0375109,43196.4
2018-09-29,4new,0.0379186,24558.9
2018-09-30,4new,0.0419152,26845.1
2018-10-01,4new,0.0356791,32891.9
2018-10-02,4new,0.0321399,72241.3
2018-10-03,4new,0.0352787,48708.4
2018-10-04,4new,0.0345028,65003.5
2018-10-05,4new,0.0363686,36713.1
2018-10-06,4new,0.0552023,80432.5
2018-10-07,4new,0.0625199,57962.1
2018-10-08,4new,0.0682066,67839.1
2018-10-09,4new,0.0624805,44810.3
2018-10-10,4new,0.0557604,59771.9
