day,asset,close,volume
2018-08-13,airbloc,0.0346079,993836
2018-08-14,airbloc,0.0202378,774655
2018-08-15,airbloc,0.0211341,292591
2018-08-16,airbloc,0.0207147,249978
2018-08-17,airbloc,0.0250118,327130
2018-08-18,airbloc,0.0233225,263590
2018-08-19,airbloc,0.0233239,258511
2018-08-20,airbloc,0.0233649,297691
2018-08-21,airbloc,0.0237685,446213
2018-08-22,airbloc,0.0226432,368790
2018-08-23,airbloc,0.0231362,460686
2018-08-24,airbloc,0.0238213,849035
2018-08-25,airbloc,0.0233368,715606
2018-08-26,airbloc,0.0231062,626286
2018-08-27,airbloc,0.0236166,976088
2018-08-28,airbloc,0.023818,644906
2018-08-29,airbloc,0.0234949,982674
2018-08-30,airbloc,0.0231729,639000
2018-08-31,airbloc,0.02566,613197
2018-09-01,airbloc,0.0269125,537614
2018-09-02,airbloc,0.0295475,623741
2018-09-03,airbloc,0.0345729,888702
2018-09-04,airbloc,0.047794,1552560
2018-09-05,airbloc,0.0317135,1137160
2018-09-06,airbloc,0.0330602,799621
2018-09-07,airbloc,0.0344026,1525390
2018-09-08,airbloc,0.0294831,1330260
2018-09-09,airbloc,0.0308446,1417970
2018-09-10,airbloc,0.027053,928485
2018-09-11,airbloc,0.0227602,961690
2018-09-12,airbloc,0.0234748,794503
2018-09-13,airbloc,0.0282605,372473
2018-09-14,airbloc,0.0282471,375214
2018-09-15,airbloc,0.0278248,295176
2018-09-16,airbloc,0.0279924,296316
2018-09-17,airbloc,0.0243781,433475
2018-09-18,airbloc,0.0262289,299439
2018-09-19,airbloc,0.0265426,325615
2018-09-20,airbloc,0.0314296,388060
2018-09-21,airbloc,0.0339287,474227
2018-09-22,airbloc,0.033941,554067
2018-09-23,airbloc,0.035305,457369
2018-09-24,airbloc,0.034723,352197
2018-09-25,airbloc,0.0333952,382739
2018-09-26,airbloc,0.035201,425630
2018-09-27,airbloc,0.0366431,397357
2018-09-28,airbloc,0.0359734,381279
2018-09-29,airbloc,0.0369499,630559
2018-09-30,airbloc,0.037973,541341
