day,asset,close,volume
2018-04-16,apex,0.168872,9262900
2018-04-17,apex,0.169669,745825
2018-04-18,apex,0.182238,967031
2018-04-19,apex,0.191704,776325
2018-04-20,apex,0.224398,1266500
2018-04-21,apex,0.233659,1365510
2018-04-22,apex,0.220737,3540990
2018-04-23,apex,0.235342,3987500
2018-04-24,apex,0.28084,3469690
2018-04-25,apex,0.233257,3973130
2018-04-26,apex,0.25932,4881570
2018-04-27,apex,0.245124,3894110
2018-04-28,apex,0.260763,1070410
2018-04-29,apex,0.292859,1645520
2018-04-30,apex,0.279025,1504400
2018-05-01,apex,0.302768,2442020
2018-05-02,apex,0.306489,2432820
2018-05-03,apex,0.330206,4279750
2018-05-04,apex,0.316755,3706100
2018-05-05,apex,0.31115,3662170
2018-05-06,apex,0.304711,2804320
2018-05-07,apex,0.299057,2867750
2018-05-08,apex,0.281276,3004920
2018-05-09,apex,0.272688,1297180
2018-05-10,apex,0.248656,1107310
2018-05-11,apex,0.224516,644385
2018-05-12,apex,0.228013,600379
2018-05-13,apex,0.223204,708959
2018-05-14,apex,0.208458,178751
2018-05-15,apex,0.206521,462367
2018-05-16,apex,0.183256,498431
2018-05-17,apex,0.182672,583471
2018-05-18,apex,0.193724,848364
2018-05-19,apex,0.193653,716552
2018-05-20,apex,0.204834,530909
2018-05-21,apex,0.186907,715079
2018-05-22,apex,0.16373,509507
2018-05-23,apex,0.155647,752413
2018-05-24,apex,0.164768,453578
2018-05-25,apex,0.155338,374864
2018-05-26,apex,0.152013,374331
2018-05-27,apex,0.136295,410935
2018-05-28,apex,0.12982,1608020
2018-05-29,apex,0.139728,1654110
2018-05-30,apex,0.129962,1529800
2018-05-31,apex,0.127016,1790980
2018-06-01,apex,0.133772,1826000
2018-06-02,apex,0.133899,1472690
2018-06-03,apex,0.133199,1688650
2018-06-04,apex,0.127456,1705770
2018-06-05,apex,0.124518,1698780
2018-06-06,apex,0.128081,1674910
2018-06-07,apex,0.127022,1929950
2018-06-08,apex,0.120741,1935720
2018-06-09,apex,0.116092,1855750
2018-06-10,apex,0.102883,1667720
2018-06-11,apex,0.0949566,1545030
2018-06-12,apex,0.0860015,1456180
2018-06-13,apex,0.0851121,1400720
2018-06-14,apex,0.0987154,1757930
2018-06-15,apex,0.0927166,1669080
2018-06-16,apex,0.0875049,1409190
2018-06-17,apex,0.0887925,1492610
2018-06-18,apex,0.0908759,1466520
2018-06-19,apex,0.0890827,1419230
2018-06-20,apex,0.0924964,790142
2018-06-21,apex,0.0840325,811854
2018-06-22,apex,0.0733803,654204
2018-06-23,apex,0.0795265,735460
2018-06-24,apex,0.0739401,247126
2018-06-25,apex,0.0708572,290409
2018-06-26,apex,0.0627771,169822
2018-06-27,apex,0.0641829,198653
2018-06-28,apex,0.0613003,150197
2018-06-29,apex,0.0594608,176108
2018-06-30,apex,0.0621913,528898
2018-07-01,apex,0.0607495,883905
2018-07-02,apex,0.0746428,1380500
2018-07-03,apex,0.066246,1255960
2018-07-04,apex,0.0669938,1280510
2018-07-05,apex,0.0659143,1243810
2018-07-06,apex,0.0651097,1236470
2018-07-07,apex,0.0653472,1231900
2018-07-08,apex,0.0682328,1277470
2018-07-09,apex,0.0678478,1014100
2018-07-10,apex,0.0603337,1151840
2018-07-11,apex,0.0704813,1115880
2018-07-12,apex,0.0644774,833491
2018-07-13,apex,0.0648895,580995
2018-07-14,apex,0.0638327,485349
2018-07-15,apex,0.0605285,632071
2018-07-16,apex,0.0686371,668157
2018-07-17,apex,0.0713973,1058120
2018-07-18,apex,0.0681451,850155
2018-07-19,apex,0.0624704,886465
2018-07-20,apex,0.0540758,937197
2018-07-21,apex,0.0539562,657182
2018-07-22,apex,0.0515079,552710
2018-07-23,apex,0.0436697,218348
2018-07-24,apex,0.0439162,225023
2018-07-25,apex,0.0426859,143001
2018-07-26,apex,0.0416471,133150
2018-07-27,apex,0.0417879,130441
2018-07-28,apex,0.0397962,110702
2018-07-29,apex,0.0484789,226783
2018-07-30,apex,0.0445459,182415
2018-07-31,apex,0.0398868,64594
2018-08-01,apex,0.0375439,62831.3
2018-08-02,apex,0.0359337,99881.2
2018-08-03,apex,0.0330707,97045.8
2018-08-04,apex,0.0295366,41689.1
2018-08-05,apex,0.0295162,69271.9
2018-08-06,apex,0.0265274,66007.6
2018-08-07,apex,0.0246355,102932
2018-08-08,apex,0.0242097,95650
2018-08-09,apex,0.0260322,85956.7
2018-08-10,apex,0.0255236,124238
2018-08-11,apex,0.0241565,114684
2018-08-12,apex,0.0226841,44356.6
2018-08-13,apex,0.0214558,52119.4
2018-08-14,apex,0.018789,76811.3
2018-08-15,apex,0.0199285,67151.1
2018-08-16,apex,0.0194807,52025.8
2018-08-17,apex,0.024575,72961.8
2018-08-18,apex,0.0230359,43301.8
2018-08-19,apex,0.0243929,17067.3
2018-08-20,apex,0.0224116,29648.2
2018-08-21,apex,0.0220637,53409.7
2018-08-22,apex,0.0204696,39178.2
2018-08-23,apex,0.020746,30464.7
2018-08-24,apex,0.0206912,44855.8
2018-08-25,apex,0.0163794,58359.1
2018-08-26,apex,0.0176354,59330.7
2018-08-27,apex,0.0196541,22958.1
2018-08-28,apex,0.0205429,57351.9
2018-08-29,apex,0.0201263,19470.3
2018-08-30,apex,0.0189664,40143.6
2018-08-31,apex,0.0200385,59926.8
2018-09-01,apex,0.0228279,33513.2
2018-09-02,apex,0.0230368,16678.1
2018-09-03,apex,0.021123,32891.5
2018-09-04,apex,0.0219054,46410.4
2018-09-05,apex,0.0177004,20744.5
2018-09-06,apex,0.0175293,31640.3
2018-09-07,apex,0.0176454,36601.7
2018-09-08,apex,0.0159395,23828.2
2018-09-09,apex,0.0150288,29613.7
