day,asset,close,volume
2018-01-19,aurora-dao,0.216768,239848
2018-01-20,aurora-dao,0.494369,615857
2018-01-21,aurora-dao,0.46304,703099
2018-01-22,aurora-dao,0.413719,461402
2018-01-23,aurora-dao,0.304724,264012
2018-01-24,aurora-dao,0.316185,288224
2018-01-25,aurora-dao,0.362525,112805
2018-01-26,aurora-dao,0.380836,278374
2018-01-27,aurora-dao,0.363504,136104
2018-01-28,aurora-dao,0.327421,361577
2018-01-29,aurora-dao,0.291545,231850
2018-01-30,aurora-dao,0.25374,112278
2018-01-31,aurora-dao,0.221382,87594
2018-02-01,aurora-dao,0.175358,132789
2018-02-02,aurora-dao,0.159668,56535.8984375
2018-02-03,aurora-dao,0.206199,18730.69921875
2018-02-04,aurora-dao,0.129474,99315.203125
2018-02-05,aurora-dao,0.107767,31929.19921875
2018-02-06,aurora-dao,0.133769,25627.30078125
2018-02-07,aurora-dao,0.150532,31298
2018-02-08,aurora-dao,0.152901,46182.30078125
2018-02-09,aurora-dao,0.188703,29052.900390625
2018-02-10,aurora-dao,0.206335,121301
2018-02-11,aurora-dao,0.215059,77700.8984375
2018-02-12,aurora-dao,0.243094,148388
2018-02-13,aurora-dao,0.231133,46496.30078125
2018-02-14,aurora-dao,0.231222,26275.69921875
2018-02-15,aurora-dao,0.234048,16852.30078125
2018-02-16,aurora-dao,0.270788,80178.3984375
2018-02-17,aurora-dao,0.291991,137199
2018-02-18,aurora-dao,0.326079,316354
2018-02-19,aurora-dao,0.281036,170925
2018-02-20,aurora-dao,0.280517,187044
2018-02-21,aurora-dao,0.281727,56454.3984375
2018-02-22,aurora-dao,0.229341,82960
2018-02-23,aurora-dao,0.251397,45042.5
2018-02-24,aurora-dao,0.215497,21932.30078125
2018-02-25,aurora-dao,0.218946,78319.1015625
2018-02-26,aurora-dao,0.241336,33966.6015625
2018-02-27,aurora-dao,0.250981,61137.69921875
2018-02-28,aurora-dao,0.222236,41658.30078125
2018-03-01,aurora-dao,0.217346,22683.30078125
2018-03-02,aurora-dao,0.214252,59120
2018-03-03,aurora-dao,0.23942,87323.8984375
2018-03-04,aurora-dao,0.292433,154787
2018-03-05,aurora-dao,0.298241,93438
2018-03-06,aurora-dao,0.233741,33330.80078125
2018-03-07,aurora-dao,0.200661,55586.80078125
2018-03-08,aurora-dao,0.201826,45744
2018-03-09,aurora-dao,0.185645,81102.3984375
2018-03-10,aurora-dao,0.190071,22105.19921875
2018-03-11,aurora-dao,0.20266,22323.5
2018-03-12,aurora-dao,0.168316,15544.7998046875
2018-03-13,aurora-dao,0.177972,3775.590087890625
2018-03-14,aurora-dao,0.165719,11629.099609375
2018-03-15,aurora-dao,0.152744,5425.080078125
2018-03-16,aurora-dao,0.156187,8396.5400390625
2018-03-17,aurora-dao,0.134419,12785
2018-03-18,aurora-dao,0.142183,24109.099609375
2018-03-19,aurora-dao,0.146071,15339.099609375
2018-03-20,aurora-dao,0.117009,96288.5
2018-03-21,aurora-dao,0.116205,54647.8984375
2018-03-22,aurora-dao,0.105549,32039.80078125
2018-03-23,aurora-dao,0.0979496,53177.30078125
2018-03-24,aurora-dao,0.0963223,27143.599609375
2018-03-25,aurora-dao,0.0997483,44006.3984375
2018-03-26,aurora-dao,0.0869443,41168.6015625
2018-03-27,aurora-dao,0.0827455,11714.900390625
2018-03-28,aurora-dao,0.0936736,33467.19921875
2018-03-29,aurora-dao,0.078225,6311.66015625
2018-03-30,aurora-dao,0.0771355,62289.5
2018-03-31,aurora-dao,0.0754879,80911.3984375
2018-04-01,aurora-dao,0.0695792,8369.4501953125
2018-04-02,aurora-dao,0.0710892,9175.3798828125
2018-04-03,aurora-dao,0.0780358,11406.7998046875
2018-04-04,aurora-dao,0.073472,27924
2018-04-05,aurora-dao,0.0709304,16447.5
2018-04-06,aurora-dao,0.0677234,11525.7998046875
2018-04-07,aurora-dao,0.0701745,6687.830078125
2018-04-08,aurora-dao,0.0738567,9100.1298828125
2018-04-09,aurora-dao,0.0730066,10308.7998046875
2018-04-10,aurora-dao,0.076732,10052
2018-04-11,aurora-dao,0.0786963,10043.2998046875
2018-04-12,aurora-dao,0.0871168,14208.099609375
2018-04-13,aurora-dao,0.0911004,19412.400390625
2018-04-14,aurora-dao,0.115544,39909.19921875
2018-04-15,aurora-dao,0.127922,34050.1015625
2018-04-16,aurora-dao,0.122716,17889.5
2018-04-17,aurora-dao,0.135881,56059.30078125
2018-04-18,aurora-dao,0.152167,69501
2018-04-19,aurora-dao,0.177694,107189
2018-04-20,aurora-dao,0.169499,61342.1015625
2018-04-21,aurora-dao,0.155715,75185.796875
2018-04-22,aurora-dao,0.169477,57861
2018-04-23,aurora-dao,0.174737,56594.3984375
2018-04-24,aurora-dao,0.209576,171323
2018-04-25,aurora-dao,0.177345,61342.69921875
2018-04-26,aurora-dao,0.186566,45974.3984375
2018-04-27,aurora-dao,0.16844,64835.80078125
2018-04-28,aurora-dao,0.187726,23718.400390625
2018-04-29,aurora-dao,0.177105,78716.5
