day,asset,close,volume
2018-07-25,bitrewards,0.00425599,130010
2018-07-26,bitrewards,0.0051044,147874
2018-07-27,bitrewards,0.00422678,142382
2018-07-28,bitrewards,0.00466786,78756.8984375
2018-07-29,bitrewards,0.00373457,157257
2018-07-30,bitrewards,0.00411489,149471
2018-07-31,bitrewards,0.00390927,111955
2018-08-01,bitrewards,0.00294401,88067.6
2018-08-02,bitrewards,0.0037143,126007
2018-08-03,bitrewards,0.00292874,138126
2018-08-04,bitrewards,0.00285163,76358.5
2018-08-05,bitrewards,0.00246308,81686.8
2018-08-06,bitrewards,0.00243961,117951
2018-08-07,bitrewards,0.00228253,108781
2018-08-08,bitrewards,0.00178338,84729.4
2018-08-09,bitrewards,0.00182963,129476
2018-08-10,bitrewards,0.00200477,125401
2018-08-11,bitrewards,0.00190498,827.187
2018-08-12,bitrewards,0.00191371,44172.6
2018-08-13,bitrewards,0.00171809,106299
2018-08-14,bitrewards,0.0013867,5821.71
2018-08-15,bitrewards,0.00168849,102259
2018-08-16,bitrewards,0.00115075,87835.5
2018-08-17,bitrewards,0.00157903,126491
2018-08-18,bitrewards,0.001478,34825.2
2018-08-19,bitrewards,0.00180647,111014
2018-08-20,bitrewards,0.001646,104323
2018-08-21,bitrewards,0.00169102,122687
2018-08-22,bitrewards,0.00189795,122397
2018-08-23,bitrewards,0.00221742,121713
2018-08-24,bitrewards,0.00226815,52784
2018-08-25,bitrewards,0.00243139,4360.88
2018-08-26,bitrewards,0.00192343,51593.1
2018-08-27,bitrewards,0.00199667,56251.5
2018-08-28,bitrewards,0.00178189,57710.6
2018-08-29,bitrewards,0.00202384,53430
2018-08-30,bitrewards,0.00198883,51597.3
2018-08-31,bitrewards,0.00169819,36285.4
2018-09-01,bitrewards,0.00176901,495.087
2018-09-02,bitrewards,0.0020596,3814.12
2018-09-03,bitrewards,0.00201936,2697.14
2018-09-04,bitrewards,0.00171043,2061.49
2018-09-05,bitrewards,0.00160444,7501.22
2018-09-06,bitrewards,0.00137927,62055.4
2018-09-07,bitrewards,0.00151848,69184.6
2018-09-08,bitrewards,0.00117769,906.976
2018-09-09,bitrewards,0.00118119,1719.37
2018-09-10,bitrewards,0.00137743,45793.8
2018-09-11,bitrewards,0.00129509,28483.7
2018-09-12,bitrewards,0.00109982,3977.5
2018-09-13,bitrewards,0.00127337,39297.6
2018-09-14,bitrewards,0.00127253,45417.9
2018-09-15,bitrewards,0.00156172,47184
2018-09-16,bitrewards,0.0013234,57957.1
2018-09-17,bitrewards,0.00126931,34077.7
2018-09-18,bitrewards,0.00128303,54655.3
2018-09-19,bitrewards,0.00126645,22011
2018-09-20,bitrewards,0.0013056,35868.3
2018-09-21,bitrewards,0.00140505,46669.6
2018-09-22,bitrewards,0.00135597,52255.9
2018-09-23,bitrewards,0.0014483,53362.2
2018-09-24,bitrewards,0.00125871,51322.3
2018-09-25,bitrewards,0.00109689,54274.9
2018-09-26,bitrewards,0.00115454,32616.7
2018-09-27,bitrewards,0.00118077,55742.7
2018-09-28,bitrewards,0.00124842,58338.6
2018-09-29,bitrewards,0.00120502,56302.4
2018-09-30,bitrewards,0.00122383,56802.2
2018-10-01,bitrewards,0.00121459,47049.8
2018-10-02,bitrewards,0.00134266,57784.7
2018-10-03,bitrewards,0.00129397,49198.7
2018-10-04,bitrewards,0.00129052,89124.4
2018-10-05,bitrewards,0.00149321,123046
2018-10-06,bitrewards,0.00159754,31508.8
2018-10-07,bitrewards,0.00178402,67070.9
2018-10-08,bitrewards,0.00206222,84853.1
2018-10-09,bitrewards,0.00189343,20776.1
2018-10-10,bitrewards,0.0018042,100378
2018-10-11,bitrewards,0.00148852,50897.3
2018-10-12,bitrewards,0.00165448,78980.5
2018-10-13,bitrewards,0.00160461,77253.3
2018-10-14,bitrewards,0.0015589,22304.6
2018-10-15,bitrewards,0.00167134,83162.4
2018-10-16,bitrewards,0.00161011,73545.6
2018-10-17,bitrewards,0.00167711,130792
2018-10-18,bitrewards,0.00161971,37939.1
2018-10-19,bitrewards,0.00137146,56478.7
